  6,213,940,273  99% - ...
  6,213,940,273  99%  - call-interactively
  6,213,940,273  99%   - apply
  6,213,940,273  99%    - call-interactively@ido-cr+-record-current-command
  6,213,940,273  99%     - #<primitive-function call-interactively>
  6,213,940,273  99%      - funcall-interactively
  6,213,940,273  99%       - smex
  6,213,940,273  99%        - smex-read-and-run
  6,213,940,273  99%         - execute-extended-command
  6,213,940,273  99%          - command-execute
  6,213,940,273  99%           - call-interactively
  6,213,940,273  99%            - apply
  6,213,940,273  99%             - call-interactively@ido-cr+-record-current-command
  6,213,940,273  99%              - #<primitive-function call-interactively>
  6,213,940,273  99%               - funcall-interactively
  6,213,940,273  99%                - pel-profile
  6,212,278,933  99%                 - call-interactively
  6,212,278,933  99%                  - apply
  6,212,278,933  99%                   - call-interactively@ido-cr+-record-current-command
  6,212,278,933  99%                    - #<primitive-function call-interactively>
  6,212,278,933  99%                     - funcall-interactively
  6,212,278,917  99%                      - seed7-complete-statement-or-indent
  6,212,278,917  99%                       - seed7-indent-region
  6,212,278,917  99%                        - seed7--indent-one-line
  6,210,225,525  99%                         - seed7-calc-indent
  4,172,123,961  66%                          - seed7-line-is-defun-end
  3,581,464,711  57%                           - seed7-end-of-defun
  3,534,727,982  56%                            - seed7-top-block-name
  3,530,823,122  56%                             - seed7--to-top
  3,520,060,498  56%                              - seed7-re-search-backward
  3,052,968,333  48%                               - run-with-timer
  3,052,968,333  48%                                - run-at-time
  1,747,335,715  28%                                 - timer-activate
  1,747,335,715  28%                                  - timer--activate
  1,747,335,715  28%                                   - timer--time-less-p
      1,543,333   0%                                      timer--time
    736,551,427  11%                                   timer-relative-time
    492,287,380   7%                                 - timer-set-time
    492,286,920   7%                                    timer--time-setter
     76,792,464   1%                                   timer-create
          1,347   0%                                   timer-set-function
    310,736,189   4%                               - seed7-inside-string-p
     47,051,485   0%                                - syntax-ppss
     45,869,936   0%                                   make-closure
      1,179,424   0%                                 - parse-partial-sexp
        654,752   0%                                  - internal--syntax-propertize
        447,552   0%                                   - syntax-propertize
        240,352   0%                                      seed7-mode-syntax-propertize
     97,998,240   1%                               - seed7-inside-comment-p
     47,420,720   0%                                - syntax-ppss
     45,198,608   0%                                   make-closure
      1,761,472   0%                                 - syntax-propertize
      1,578,486   0%                                  - seed7-mode-syntax-propertize
          1,112   0%                                     #<byte-code-function 87E>
            650   0%                                    #<byte-code-function A18>
        426,296   0%                                   parse-partial-sexp
            117   0%                                   #<byte-code-function 4B1>
     52,974,267   0%                                 make-closure
      5,250,603   0%                                 re-search-backward
     10,325,880   0%                              - run-with-timer
     10,325,880   0%                               - run-at-time
      5,507,688   0%                                - timer-activate
      5,507,688   0%                                 - timer--activate
      5,507,688   0%                                  - timer--time-less-p
         32,792   0%                                     timer--time
      2,780,368   0%                                  timer-relative-time
      1,797,472   0%                                - timer-set-time
      1,797,472   0%                                   timer--time-setter
        240,352   0%                                  timer-create
        207,200   0%                                make-closure
      3,689,372   0%                             - seed7--block-name
      3,224,124   0%                              - seed7-re-search-forward
      2,212,896   0%                               - seed7-inside-string-p
        236,208   0%                                - syntax-ppss
        236,208   0%                                   make-closure
      1,011,228   0%                               - seed7-inside-comment-p
        895,196   0%                                - syntax-ppss
        485,660   0%                                 - syntax-propertize
        311,612   0%                                    seed7-mode-syntax-propertize
        343,952   0%                                   make-closure
         65,584   0%                                   parse-partial-sexp
        161,784   0%                                match-string
     24,757,463   0%                            - seed7-re-search-forward
     15,960,664   0%                             - seed7-inside-comment-p
     15,554,552   0%                              - syntax-ppss
     15,198,168   0%                               - syntax-propertize
     14,796,200   0%                                  seed7-mode-syntax-propertize
        356,384   0%                                 make-closure
      1,833,728   0%                             - internal--syntax-propertize
      1,676,256   0%                              - syntax-propertize
      1,563,334   0%                                 seed7-mode-syntax-propertize
      1,597,167   0%                             - seed7-inside-string-p
        300,095   0%                              - syntax-ppss
        298,368   0%                                 make-closure
     13,302,782   0%                            - seed7-re-search-backward
     10,588,462   0%                             - run-with-timer
     10,588,462   0%                              - run-at-time
      5,579,440   0%                               - timer-activate
      5,579,440   0%                                - timer--activate
      5,579,440   0%                                   timer--time-less-p
      2,780,352   0%                                 timer-relative-time
