         497  85% - ...
         497  85%  - command-execute
         497  85%   - call-interactively
         497  85%    - apply
         497  85%     - call-interactively@ido-cr+-record-current-command
         497  85%      - #<primitive-function call-interactively>
         497  85%       - funcall-interactively
         497  85%        - pel-profile-all
         497  85%         - pel-profile-indent
         497  85%          - pel-profile-indentation-test-of
         497  85%           - call-interactively
         497  85%            - apply
         497  85%             - call-interactively@ido-cr+-record-current-command
         497  85%              - #<primitive-function call-interactively>
         497  85%               - funcall-interactively
         497  85%                - seed7-complete-statement-or-indent
         497  85%                 - seed7-indent-region
         496  84%                  - seed7--indent-one-line
         496  84%                   - seed7-calc-indent
         204  34%                    - seed7-line-is-defun-end
         183  31%                     - seed7-end-of-defun
         167  28%                      - seed7-top-block-name
         167  28%                       - seed7--to-top
         166  28%                        - seed7-re-search-backward
         132  22%                         - seed7-inside-comment-p
         132  22%                          - syntax-ppss
         131  22%                             parse-partial-sexp
          27   4%                         - run-with-timer
          27   4%                          - run-at-time
          15   2%                           - timer-activate
          15   2%                            - timer--activate
          14   2%                               timer--time-less-p
           7   1%                           - timer-set-time
           7   1%                              timer--time-setter
           5   0%                             timer-relative-time
           5   0%                           re-search-backward
           1   0%                         - seed7-inside-string-p
           1   0%                            syntax-ppss
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
          13   2%                      - seed7-re-search-forward
           5   0%                         re-search-forward
           4   0%                       - seed7-inside-comment-p
           4   0%                        - syntax-ppss
           4   0%                           parse-partial-sexp
           4   0%                       - seed7-inside-string-p
           4   0%                        - syntax-ppss
           4   0%                           parse-partial-sexp
           2   0%                      - seed7-re-search-backward
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                        string-match
          16   2%                     - seed7-beg-of-defun
           7   1%                      - seed7-re-search-backward-closest
           7   1%                       - seed7-re-search-backward
           4   0%                        - seed7-inside-comment-p
           4   0%                         - syntax-ppss
           4   0%                            parse-partial-sexp
           1   0%                        - seed7-inside-string-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                          re-search-backward
           4   0%                      - seed7-re-search-backward
           3   0%                       - seed7-inside-comment-p
           3   0%                        - syntax-ppss
           3   0%                           parse-partial-sexp
           1   0%                         re-search-backward
           4   0%                      - seed7-top-block-name
           4   0%                       - seed7--to-top
           3   0%                        - seed7-re-search-backward
           1   0%                         - seed7-inside-string-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                             timer-relative-time
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           1   0%                        looking-at
           5   0%                     - seed7-move-to-line
           5   0%                      - seed7-to-previous-non-empty-line
           5   0%                       - seed7-inside-comment-p
           5   0%                        - syntax-ppss
           5   0%                           parse-partial-sexp
         130  22%                    - seed7--indent-search-boundary
         130  22%                     - seed7--indent-search-boundary-uncached
         129  22%                      - syntax-ppss
         128  21%                         parse-partial-sexp
           1   0%                         make-closure
          62  10%                    - seed7-comment-column
          55   9%                     - seed7-calc-indent
          24   4%                      - seed7--indent-search-boundary
          24   4%                       - seed7--indent-search-boundary-uncached
          21   3%                        - syntax-ppss
          20   3%                           parse-partial-sexp
           7   1%                      - seed7-line-is-defun-end
           4   0%                       - seed7-end-of-defun
           2   0%                        - seed7-re-search-forward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
