     13,752,684  99% - ...
     13,752,684  99%  - call-interactively@ido-cr+-record-current-command
     13,752,684  99%   - #<primitive-function call-interactively>
     13,752,684  99%    - funcall-interactively
     13,752,684  99%     - smex
     13,752,684  99%      - smex-read-and-run
     13,752,684  99%       - execute-extended-command
     13,752,684  99%        - command-execute
     13,752,684  99%         - call-interactively
     13,752,684  99%          - apply
     13,752,684  99%           - call-interactively@ido-cr+-record-current-command
     13,752,684  99%            - #<primitive-function call-interactively>
     13,752,684  99%             - funcall-interactively
     13,752,684  99%              - pel-profile-all
     13,752,684  99%               - pel-profile-indent
     13,752,684  99%                - pel-profile-indentation-test-of
     12,183,152  88%                 - call-interactively
     12,183,152  88%                  - apply
     12,183,152  88%                   - call-interactively@ido-cr+-record-current-command
     12,183,152  88%                    - #<primitive-function call-interactively>
     12,183,152  88%                     - funcall-interactively
     12,183,136  88%                      - seed7-complete-statement-or-indent
     12,183,136  88%                       - seed7-indent-region
     12,183,136  88%                        - seed7--indent-one-line
     12,183,136  88%                         - seed7-calc-indent
      5,943,156  43%                          - seed7-line-is-defun-end
      3,783,156  27%                           - seed7-end-of-defun
      3,318,728  24%                            - seed7-top-block-name
      3,310,544  24%                             - seed7--to-top
      3,163,408  22%                              - seed7-re-search-backward
      3,163,408  22%                               - run-with-timer
      3,163,408  22%                                - run-at-time
      1,542,496  11%                                 - timer-activate
      1,542,496  11%                                  - timer--activate
      1,542,496  11%                                     timer--time-less-p
        993,456   7%                                   timer-relative-time
        627,456   4%                                 - timer-set-time
        627,456   4%                                    timer--time-setter
        147,136   1%                              - run-with-timer
        147,136   1%                               - run-at-time
         71,744   0%                                - timer-activate
         71,744   0%                                 - timer--activate
         71,744   0%                                    timer--time-less-p
         46,208   0%                                  timer-relative-time
         29,184   0%                                - timer-set-time
         29,184   0%                                   timer--time-setter
          8,184   0%                             - seed7--block-name
          8,184   0%                                match-string
        179,378   1%                            - seed7-re-search-forward
        130,434   0%                             - re-search-forward
         40,322   0%                              - internal--syntax-propertize
         40,322   0%                               - syntax-propertize
         40,322   0%                                - seed7-mode-syntax-propertize
         40,322   0%                                   re-search-forward
         48,944   0%                             - seed7-inside-comment-p
         48,944   0%                              - syntax-ppss
         48,944   0%                               - syntax-propertize
         48,944   0%                                - seed7-mode-syntax-propertize
         48,944   0%                                   re-search-forward
        147,136   1%                            - seed7-re-search-backward
        147,136   1%                             - run-with-timer
        147,136   1%                              - run-at-time
         71,744   0%                               - timer-activate
         71,744   0%                                - timer--activate
         71,744   0%                                   timer--time-less-p
         46,208   0%                                 timer-relative-time
         29,184   0%                               - timer-set-time
         29,184   0%                                  timer--time-setter
         74,442   0%                              looking-at
         55,288   0%                              string-match
          8,184   0%                              match-string
      1,100,232   7%                           - seed7-beg-of-defun
        298,684   2%                              looking-at
        260,925   1%                            - seed7-top-block-name
        148,144   1%                             - seed7--to-top
        105,552   0%                              - seed7-re-search-backward
         62,960   0%                                 re-search-backward
         42,592   0%                               - run-with-timer
         42,592   0%                                - run-at-time
         20,768   0%                                 - timer-activate
         20,768   0%                                  - timer--activate
         20,768   0%                                     timer--time-less-p
         13,376   0%                                   timer-relative-time
          8,448   0%                                 - timer-set-time
          8,448   0%                                    timer--time-setter
         42,592   0%                              - run-with-timer
         42,592   0%                               - run-at-time
         20,768   0%                                - timer-activate
