      8,456,012  99% - ...
      8,456,012  99%  - call-interactively@ido-cr+-record-current-command
      8,456,012  99%   - #<primitive-function call-interactively>
      8,456,012  99%    - funcall-interactively
      8,456,012  99%     - smex
      8,456,012  99%      - smex-read-and-run
      8,456,012  99%       - execute-extended-command
      8,456,012  99%        - command-execute
      8,456,012  99%         - call-interactively
      8,456,012  99%          - apply
      8,456,012  99%           - call-interactively@ido-cr+-record-current-command
      8,456,012  99%            - #<primitive-function call-interactively>
      8,456,012  99%             - funcall-interactively
      8,456,012  99%              - pel-profile-all
      8,456,012  99%               - pel-profile-indent
      8,456,012  99%                - pel-profile-indentation-test-of
      6,892,112  81%                 - call-interactively
      6,892,112  81%                  - apply
      6,892,112  81%                   - call-interactively@ido-cr+-record-current-command
      6,892,112  81%                    - #<primitive-function call-interactively>
      6,892,112  81%                     - funcall-interactively
      6,892,096  81%                      - seed7-complete-statement-or-indent
      6,892,096  81%                       - seed7-indent-region
      6,892,096  81%                        - seed7--indent-one-line
      6,892,096  81%                         - seed7-calc-indent
      1,629,781  19%                          - seed7-line-inside-a-block-cached
      1,629,781  19%                           - seed7-line-inside-a-block
      1,044,726  12%                            - seed7--safe-enclosing-block-bounds
      1,044,726  12%                             - seed7--block-end-pos-for
        960,510  11%                              - seed7-to-block-forward
        627,339   7%                               - seed7-end-of-defun
        501,887   5%                                - seed7-top-block-name
        486,043   5%                                 - seed7--to-top
        435,707   5%                                  - seed7-re-search-backward
        390,104   4%                                   - run-with-timer
        390,104   4%                                    - run-at-time
        190,216   2%                                     - timer-activate
        190,216   2%                                      - timer--activate
        190,216   2%                                         timer--time-less-p
        122,512   1%                                       timer-relative-time
         77,376   0%                                     - timer-set-time
         77,376   0%                                        timer--time-setter
         32,291   0%                                   - seed7-inside-comment-p
         32,291   0%                                    - syntax-ppss
         32,291   0%                                     - syntax-propertize
         32,291   0%                                      - seed7-mode-syntax-propertize
         32,291   0%                                         re-search-forward
         13,312   0%                                     re-search-backward
         50,336   0%                                  - run-with-timer
         50,336   0%                                   - run-at-time
         24,544   0%                                    - timer-activate
         24,544   0%                                     - timer--activate
         24,544   0%                                        timer--time-less-p
         15,808   0%                                      timer-relative-time
          9,984   0%                                    - timer-set-time
          9,984   0%                                       timer--time-setter
         15,844   0%                                 - seed7--block-name
         15,844   0%                                  - seed7-re-search-forward
         15,844   0%                                     re-search-forward
         50,336   0%                                - seed7-re-search-backward
         50,336   0%                                 - run-with-timer
         50,336   0%                                  - run-at-time
         24,544   0%                                   - timer-activate
         24,544   0%                                    - timer--activate
         24,544   0%                                       timer--time-less-p
         15,808   0%                                     timer-relative-time
          9,984   0%                                   - timer-set-time
          9,984   0%                                      timer--time-setter
         45,412   0%                                - seed7-re-search-forward
         45,412   0%                                   re-search-forward
         14,352   0%                                  looking-at
          8,184   0%                                  match-string
          7,168   0%                                  string-match
        206,211   2%                               - seed7-re-search-forward
        206,211   2%                                  re-search-forward
        103,424   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        103,424   1%                                  looking-at
         23,536   0%                               - seed7--current-line-nth-word
         23,536   0%                                - thing-at-point
         23,536   0%                                 - bounds-of-thing-at-point
         16,368   0%                                  - #<byte-code-function FCA>
         16,368   0%                                   - forward-thing
         16,368   0%                                      format
