         609  92% - ...
         609  92%  - pel-profile-indent
         609  92%   - pel-profile-indentation-test-of
         609  92%    - call-interactively
         609  92%     - apply
         609  92%      - call-interactively@ido-cr+-record-current-command
         609  92%       - #<primitive-function call-interactively>
         609  92%        - funcall-interactively
         524  79%         - pel-profile-all
         524  79%          - pel-profile-indent
         524  79%           - pel-profile-indentation-test-of
         524  79%            - call-interactively
         524  79%             - apply
         524  79%              - call-interactively@ido-cr+-record-current-command
         524  79%               - #<primitive-function call-interactively>
         524  79%                - funcall-interactively
         524  79%                 - seed7-complete-statement-or-indent
         524  79%                  - seed7-indent-region
         524  79%                   - seed7--indent-one-line
         524  79%                    - seed7-calc-indent
         381  57%                     - seed7--indent-search-boundary
         381  57%                      - seed7--indent-search-boundary-uncached
         374  56%                       - syntax-ppss
         373  56%                          parse-partial-sexp
           2   0%                         seed7-to-indent
          60   9%                     - seed7-line-inside-array-definition-block
          53   8%                      - forward-sexp
          53   8%                       - seed7--forward-sexp-function
          53   8%                        - scan-sexps
          29   4%                         - internal--syntax-propertize
          28   4%                          - syntax-propertize
          25   3%                           - seed7-mode-syntax-propertize
          24   3%                              re-search-forward
           1   0%                              put-text-property
           7   1%                      - seed7-re-search-backward
           5   0%                         re-search-backward
           2   0%                       - seed7-inside-comment-p
           2   0%                        - syntax-ppss
           2   0%                           parse-partial-sexp
          35   5%                     - seed7-line-is-defun-end
          21   3%                      - seed7-end-of-defun
          16   2%                       - seed7-top-block-name
          15   2%                        - seed7--to-top
          15   2%                         - seed7-re-search-backward
          13   1%                          - seed7-inside-comment-p
          13   1%                           - syntax-ppss
          13   1%                              parse-partial-sexp
           2   0%                          - run-with-timer
           2   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                              timer-relative-time
           1   0%                        - seed7--block-name
           1   0%                         - seed7-re-search-forward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           3   0%                       - seed7-re-search-forward
           2   0%                          re-search-forward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           2   0%                       - seed7-re-search-backward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           9   1%                      - seed7-beg-of-defun
           4   0%                       - seed7-re-search-backward-closest
           4   0%                        - seed7-re-search-backward
           4   0%                           re-search-backward
           4   0%                       - seed7-re-search-backward
           4   0%                        - seed7-inside-comment-p
           4   0%                         - syntax-ppss
           4   0%                            parse-partial-sexp
           1   0%                       - seed7-top-block-name
           1   0%                        - seed7--to-top
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           2   0%                      - seed7-move-to-line
           2   0%                       - seed7-to-previous-non-empty-line
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           1   0%                      - seed7--current-line-nth-word
           1   0%                       - thing-at-point
           1   0%                        - bounds-of-thing-at-point
           1   0%                         - #<byte-code-function 022>
           1   0%                          - forward-thing
           1   0%                             forward-word
           1   0%                      - seed7--safe-current-line-defun-start-indent
           1   0%                       - seed7-to-block-backward
           1   0%                        - seed7-re-search-backward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                        line-end-position
          34   5%                     - seed7-comment-column
          33   5%                      - seed7-calc-indent
          19   2%                       - seed7--indent-search-boundary
          19   2%                        - seed7--indent-search-boundary-uncached
          18   2%                         - syntax-ppss
          18   2%                            parse-partial-sexp
           1   0%                           seed7-to-indent
           4   0%                       - seed7-line-at-endof-array-definition-block
           4   0%                        - seed7-move-to-line
           4   0%                         - seed7-to-previous-non-empty-line
           4   0%                          - seed7-inside-comment-p
           4   0%                           - syntax-ppss
           4   0%                              parse-partial-sexp
           3   0%                       - seed7-line-inside-a-block-cached
           3   0%                        - seed7-line-inside-a-block
           3   0%                         - seed7--safe-enclosing-block-bounds
           3   0%                          - seed7--block-end-pos-for
           3   0%                           - seed7-to-block-forward
           3   0%                            - seed7-end-of-defun
           2   0%                             - seed7-top-block-name
           2   0%                              - seed7--to-top
           2   0%                               - seed7-re-search-backward
           2   0%                                - seed7-inside-comment-p
           2   0%                                 - syntax-ppss
           2   0%                                    parse-partial-sexp
           1   0%                             - seed7-re-search-forward
           1   0%                                re-search-forward
           2   0%                       - seed7-line-inside-parens-pair-column
           2   0%                        - seed7-line-inside-parens-pair
           2   0%                         - seed7-re-search-backward
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                       - seed7-line-at-endof-set-definition-block
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                       - seed7-line-after-short-func-end
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                            seed7-inside-comment-p
           1   0%                       - seed7-line-is-defun-end
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                       - seed7-line-starts-with-open-paren-after-logic-operator
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                       - seed7-line-inside-array-definition-block
           1   0%                        - forward-sexp
           1   0%                         - seed7--forward-sexp-function
           1   0%                            scan-sexps
           1   0%                      - seed7-line-code-ends-with
           1   0%                       - seed7-move-to-line
           1   0%                        - seed7-to-previous-non-empty-line
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           7   1%                     - seed7-line-inside-parens-pair-column
           7   1%                      - seed7-line-inside-parens-pair
           5   0%                       - seed7-re-search-backward
           2   0%                        - seed7-inside-string-p
           2   0%                         - syntax-ppss
           1   0%                            #<byte-code-function DCD>
           1   0%                            parse-partial-sexp
           2   0%                        - run-with-timer
           2   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                            timer-relative-time
           1   0%                          re-search-backward
           2   0%                       - seed7-line-inside-syntax-parens-pair
           2   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                           syntax-ppss--update-stats
           4   0%                     - seed7-line-inside-set-definition-block
           4   0%                      - seed7-re-search-backward
           4   0%                         re-search-backward
           3   0%                     - seed7-current-line-start-inside-comment-p
           3   0%                      - seed7-inside-comment-p
           3   0%                       - syntax-ppss
           3   0%                          parse-partial-sexp
          85  12%         - seed7-complete-statement-or-indent
          85  12%          - seed7-indent-region
          85  12%           - seed7--indent-one-line
          85  12%            - seed7-calc-indent
          40   6%             - seed7-line-inside-a-block-cached
          40   6%              - seed7-line-inside-a-block
          16   2%               - seed7--safe-enclosing-block-bounds
          16   2%                - seed7--block-end-pos-for
          16   2%                 - seed7-to-block-forward
          13   1%                  - seed7-end-of-defun
          12   1%                   - seed7-top-block-name
          12   1%                    - seed7--to-top
          12   1%                     - seed7-re-search-backward
           5   0%                      - seed7-inside-comment-p
           5   0%                       - syntax-ppss
           5   0%                          parse-partial-sexp
           5   0%                      - run-with-timer
           5   0%                       - run-at-time
           3   0%                        - timer-set-time
           3   0%                           timer--time-setter
           2   0%                        - timer-activate
           2   0%                         - timer--activate
           2   0%                            timer--time-less-p
           1   0%                      - seed7-inside-string-p
           1   0%                         match-data
           1   0%                        re-search-backward
           1   0%                   - seed7-re-search-backward
           1   0%                    - seed7-inside-string-p
           1   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           1   0%                  - seed7--end-regexp-for
           1   0%                     format
           1   0%                  - seed7--current-line-nth-word
           1   0%                   - thing-at-point
           1   0%                    - bounds-of-thing-at-point
           1   0%                     - #<byte-code-function 4CE>
           1   0%                      - forward-thing
           1   0%                         forward-word
           1   0%                  - seed7-re-search-forward
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       syntax-table
          13   1%               - seed7-re-search-backward
          12   1%                - seed7-inside-comment-p
          12   1%                 - syntax-ppss
          12   1%                    parse-partial-sexp
           1   0%                - run-with-timer
           1   0%                 - run-at-time
           1   0%                  - timer-activate
           1   0%                   - timer--activate
           1   0%                      timer--time-less-p
          11   1%               - seed7-calc-indent
           7   1%                - seed7--indent-search-boundary
           7   1%                 - seed7--indent-search-boundary-uncached
           7   1%                  - syntax-ppss
           7   1%                     parse-partial-sexp
           3   0%                - seed7-line-inside-a-block-cached
           3   0%                 - seed7-line-inside-a-block
           2   0%                  - seed7--safe-enclosing-block-bounds
           2   0%                   - seed7--block-end-pos-for
           2   0%                    - seed7-to-block-forward
           2   0%                     - seed7-end-of-defun
           2   0%                      - seed7-top-block-name
           2   0%                       - seed7--to-top
           2   0%                        - seed7-re-search-backward
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           1   0%                  - seed7-re-search-backward
           1   0%                     re-search-backward
           1   0%                - seed7-current-line-start-inside-comment-p
           1   0%                 - seed7-inside-comment-p
           1   0%                  - syntax-ppss
           1   0%                     parse-partial-sexp
          21   3%             - seed7-line-inside-nested-parens-pairs-column
          21   3%              - seed7-line-inside-nested-parens-pairs
          21   3%               - seed7-line-inside-parens-pair
          20   3%                - seed7-line-inside-syntax-parens-pair
          13   1%                 - forward-sexp
          13   1%                  - seed7--forward-sexp-function
          13   1%                     scan-sexps
           7   1%                 - syntax-ppss
           7   1%                    parse-partial-sexp
           1   0%                - seed7-re-search-backward
           1   0%                 - run-with-timer
           1   0%                  - run-at-time
           1   0%                   - timer-set-time
           1   0%                      timer--time-setter
          15   2%             - seed7--current-line-nth-word
          15   2%              - thing-at-point
          15   2%               - bounds-of-thing-at-point
          15   2%                - #<byte-code-function 5CD>
          15   2%                 - forward-thing
          15   2%                  - forward-word
          15   2%                   - internal--syntax-propertize
          15   2%                    - syntax-propertize
          15   2%                     - seed7-mode-syntax-propertize
          13   1%                        re-search-forward
           2   0%                        put-text-property
           7   1%             - seed7-line-inside-assign-statement-continuation
           7   1%              - seed7-assign-op-pos
           7   1%               - seed7-re-search-backward
           5   0%                - seed7-inside-comment-p
           5   0%                 - syntax-ppss
           5   0%                    parse-partial-sexp
           2   0%                - run-with-timer
           2   0%                 - run-at-time
           1   0%                  - timer-set-time
           1   0%                     timer--time-setter
           1   0%                  - timer-activate
           1   0%                   - timer--activate
           1   0%                      timer--time-less-p
           1   0%             - seed7-line-after-func-return-logic-operator-column
           1   0%              - seed7-move-to-line
           1   0%               - seed7-to-previous-non-empty-line
           1   0%                - seed7-inside-comment-p
           1   0%                 - syntax-ppss
           1   0%                    parse-partial-sexp
           1   0%             - seed7-line-inside-array-definition-block
           1   0%              - seed7-re-search-backward
           1   0%               - run-with-timer
           1   0%                - run-at-time
           1   0%                   timer-relative-time
          49   7%   Automatic GC
