      5,048,684  99% - ...
      5,048,684  99%  - call-interactively@ido-cr+-record-current-command
      5,048,684  99%   - #<primitive-function call-interactively>
      5,048,684  99%    - funcall-interactively
      5,048,684  99%     - smex
      5,048,684  99%      - smex-read-and-run
      5,048,684  99%       - execute-extended-command
      5,048,684  99%        - command-execute
      5,048,684  99%         - call-interactively
      5,048,684  99%          - apply
      5,048,684  99%           - call-interactively@ido-cr+-record-current-command
      5,048,684  99%            - #<primitive-function call-interactively>
      5,048,684  99%             - funcall-interactively
      5,048,684  99%              - pel-profile-all
      5,048,684  99%               - pel-profile-indent
      5,048,684  99%                - pel-profile-indentation-test-of
      3,487,600  69%                 - call-interactively
      3,487,600  69%                  - apply
      3,487,600  69%                   - call-interactively@ido-cr+-record-current-command
      3,487,600  69%                    - #<primitive-function call-interactively>
      3,487,600  69%                     - funcall-interactively
      3,487,584  69%                      - seed7-complete-statement-or-indent
      3,487,584  69%                       - seed7-indent-region
      3,487,584  69%                        - seed7--indent-one-line
      3,487,584  69%                         - seed7-calc-indent
        790,026  15%                          - seed7-line-is-defun-end
        237,065   4%                           - seed7-beg-of-defun
         78,275   1%                            - seed7-re-search-backward-closest
         78,275   1%                             - seed7-re-search-backward
         43,523   0%                                re-search-backward
         34,752   0%                              - run-with-timer
         34,752   0%                               - run-at-time
         22,848   0%                                - timer-activate
         22,848   0%                                 - timer--activate
         22,848   0%                                    timer--time-less-p
          7,296   0%                                  timer-relative-time
          4,608   0%                                - timer-set-time
          4,608   0%                                   timer--time-setter
         66,509   1%                            - seed7-re-search-backward
         34,752   0%                             - run-with-timer
         34,752   0%                              - run-at-time
         22,848   0%                               - timer-activate
         22,848   0%                                - timer--activate
         22,848   0%                                   timer--time-less-p
          7,296   0%                                 timer-relative-time
          4,608   0%                               - timer-set-time
          4,608   0%                                  timer--time-setter
         31,757   0%                               re-search-backward
         50,348   0%                              looking-at
         21,461   0%                            - seed7-top-block-name
         16,320   0%                             - seed7--to-top
         10,528   0%                              - seed7-re-search-backward
          6,432   0%                               - run-with-timer
          6,432   0%                                - run-at-time
          4,448   0%                                 - timer-activate
          4,448   0%                                  - timer--activate
          4,448   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
          4,096   0%                                 re-search-backward
          5,792   0%                              - run-with-timer
          5,792   0%                               - run-at-time
          3,808   0%                                - timer-activate
          3,808   0%                                 - timer--activate
          3,808   0%                                    timer--time-less-p
          1,216   0%                                  timer-relative-time
            768   0%                                - timer-set-time
            768   0%                                   timer--time-setter
          5,141   0%                             - seed7--block-name
          5,141   0%                              - seed7-re-search-forward
          5,141   0%                                 re-search-forward
         12,288   0%                              string-match
          8,184   0%                              match-string
        180,670   3%                           - seed7-line-starts-with-any
        180,670   3%                            - seed7-line-starts-with
        180,670   3%                               looking-at
        173,816   3%                           - seed7-end-of-defun
        126,080   2%                            - seed7-top-block-name
        126,080   2%                             - seed7--to-top
        102,912   2%                              - seed7-re-search-backward
        102,912   2%                               - run-with-timer
        102,912   2%                                - run-at-time
         71,168   1%                                 - timer-activate
         71,168   1%                                  - timer--activate
         71,168   1%                                     timer--time-less-p
