    164,062,727  99% - ...
    164,062,727  99%  - call-interactively@ido-cr+-record-current-command
    164,062,727  99%   - #<primitive-function call-interactively>
    164,062,727  99%    - funcall-interactively
    164,062,727  99%     - smex
    164,062,727  99%      - smex-read-and-run
    164,062,727  99%       - execute-extended-command
    164,062,727  99%        - command-execute
    164,062,727  99%         - call-interactively
    164,062,727  99%          - apply
    164,062,727  99%           - call-interactively@ido-cr+-record-current-command
    164,062,727  99%            - #<primitive-function call-interactively>
    164,062,727  99%             - funcall-interactively
    164,062,727  99%              - pel-profile-all
    164,062,727  99%               - pel-profile-indent
    164,062,727  99%                - pel-profile-indentation-test-of
    162,481,931  98%                 - call-interactively
    162,481,931  98%                  - apply
    162,481,931  98%                   - call-interactively@ido-cr+-record-current-command
    162,481,931  98%                    - #<primitive-function call-interactively>
    162,481,931  98%                     - funcall-interactively
    162,481,915  98%                      - seed7-complete-statement-or-indent
    162,481,915  98%                       - seed7-indent-region
    162,481,915  98%                        - seed7--indent-one-line
    162,481,915  98%                         - seed7-calc-indent
     40,090,361  24%                          - seed7-line-inside-a-block-cached
     40,090,361  24%                           - seed7-line-inside-a-block
     25,382,912  15%                            - seed7-re-search-backward
     22,158,744  13%                             - run-with-timer
     22,158,744  13%                              - run-at-time
     14,568,456   8%                               - timer-activate
     14,568,456   8%                                - timer--activate
     14,568,456   8%                                   timer--time-less-p
      4,652,112   2%                                 timer-relative-time
      2,938,176   1%                               - timer-set-time
      2,938,176   1%                                  timer--time-setter
      3,224,168   1%                               re-search-backward
      9,702,720   5%                            - seed7--safe-enclosing-block-bounds
      9,702,720   5%                             - seed7--block-end-pos-for
      8,096,184   4%                              - seed7-to-block-forward
      3,704,529   2%                               - seed7-re-search-forward
      2,681,853   1%                                  re-search-forward
      1,022,676   0%                                - seed7-inside-comment-p
      1,022,676   0%                                 - syntax-ppss
      1,022,676   0%                                  - syntax-propertize
      1,022,676   0%                                   - seed7-mode-syntax-propertize
      1,022,676   0%                                      re-search-forward
      1,668,567   1%                               - seed7-end-of-defun
      1,536,459   0%                                - seed7-top-block-name
      1,527,055   0%                                 - seed7--to-top
      1,428,591   0%                                  - seed7-re-search-backward
      1,392,528   0%                                   - run-with-timer
      1,392,528   0%                                    - run-at-time
        962,992   0%                                     - timer-activate
        962,992   0%                                      - timer--activate
        962,992   0%                                         timer--time-less-p
        263,264   0%                                       timer-relative-time
        166,272   0%                                     - timer-set-time
        166,272   0%                                        timer--time-setter
         30,943   0%                                   - seed7-inside-comment-p
         30,943   0%                                    - syntax-ppss
         30,943   0%                                     - syntax-propertize
         30,943   0%                                      - seed7-mode-syntax-propertize
         30,943   0%                                         re-search-forward
          5,120   0%                                     re-search-backward
         98,464   0%                                  - run-with-timer
         98,464   0%                                   - run-at-time
         64,736   0%                                    - timer-activate
         64,736   0%                                     - timer--activate
         64,736   0%                                        timer--time-less-p
         20,672   0%                                      timer-relative-time
         13,056   0%                                    - timer-set-time
         13,056   0%                                       timer--time-setter
          9,404   0%                                 - seed7--block-name
          9,404   0%                                  - seed7-re-search-forward
          9,404   0%                                     re-search-forward
         98,448   0%                                - seed7-re-search-backward
         98,448   0%                                 - run-with-timer
         98,448   0%                                  - run-at-time
         64,736   0%                                   - timer-activate
         64,736   0%                                    - timer--activate
         64,736   0%                                       timer--time-less-p
         20,656   0%                                     timer-relative-time
         13,056   0%                                   - timer-set-time
         13,056   0%                                      timer--time-setter
         21,606   0%                                - seed7-re-search-forward
         21,606   0%                                   re-search-forward
          8,982   0%                                  looking-at
          3,072   0%                                  string-match
      1,566,952   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      1,566,952   0%                                  looking-at
      1,147,952   0%                               - seed7--current-line-nth-word
      1,147,952   0%                                - thing-at-point
        886,064   0%                                 - bounds-of-thing-at-point
        499,224   0%                                  - #<byte-code-function 4D9>
        499,224   0%                                   - forward-thing
        499,224   0%                                      format
        368,280   0%                                  - #<byte-code-function B7C>
        368,280   0%                                   - forward-thing
        368,280   0%                                      format
         18,560   0%                                    re-search-forward
          8,184   0%                               - seed7--end-regexp-for
          8,184   0%                                  format
      1,543,944   0%                              - seed7-to-next-line-starts-with
      1,339,344   0%                               - seed7-re-search-forward
      1,339,344   0%                                  re-search-forward
         49,280   0%                              - seed7--line-ends-a-statement-p
         34,816   0%                                 looking-at
         14,464   0%                               - forward-sexp
         14,464   0%                                - seed7--forward-sexp-function
         14,464   0%                                   looking-at
          8,192   0%                                re-search-forward
          4,096   0%                                looking-at
          1,024   0%                              - seed7-re-search-forward-closest
          1,024   0%                               - seed7-re-search-forward
          1,024   0%                                  re-search-forward
      3,222,032   1%                            - replace-regexp-in-string
        343,728   0%                               concat
        822,264   0%                            - seed7--indent-offset-for
        822,264   0%                               string-match
        392,832   0%                              substring-no-properties
        368,280   0%                              match-string
        150,217   0%                            - seed7-calc-indent
         24,896   0%                             - seed7-line-inside-a-block-cached
         24,896   0%                              - seed7-line-inside-a-block
         14,656   0%                               - seed7-re-search-backward
         11,584   0%                                - run-with-timer
         11,584   0%                                 - run-at-time
          7,616   0%                                  - timer-activate
          7,616   0%                                   - timer--activate
          7,616   0%                                      timer--time-less-p
          2,432   0%                                    timer-relative-time
          1,536   0%                                  - timer-set-time
          1,536   0%                                     timer--time-setter
          3,072   0%                                  re-search-backward
          8,192   0%                               - seed7--safe-enclosing-block-bounds
          8,192   0%                                - seed7--block-end-pos-for
          4,096   0%                                   re-search-forward
          2,048   0%                                 - seed7-re-search-forward-closest
          2,048   0%                                  - seed7-re-search-forward
          2,048   0%                                     re-search-forward
          2,048   0%                                   looking-at
          2,048   0%                                 replace-regexp-in-string
