     37,237,801  99% - ...
     37,237,801  99%  - call-interactively@ido-cr+-record-current-command
     37,237,801  99%   - #<primitive-function call-interactively>
     37,237,801  99%    - funcall-interactively
     37,237,801  99%     - smex
     37,237,801  99%      - smex-read-and-run
     37,237,801  99%       - execute-extended-command
     37,237,801  99%        - command-execute
     37,237,801  99%         - call-interactively
     37,237,801  99%          - apply
     37,237,801  99%           - call-interactively@ido-cr+-record-current-command
     37,237,801  99%            - #<primitive-function call-interactively>
     37,237,801  99%             - funcall-interactively
     37,237,801  99%              - pel-profile-all
     37,237,801  99%               - pel-profile-indent
     37,237,801  99%                - pel-profile-indentation-test-of
     35,673,901  95%                 - call-interactively
     35,673,901  95%                  - apply
     35,673,901  95%                   - call-interactively@ido-cr+-record-current-command
     35,673,901  95%                    - #<primitive-function call-interactively>
     35,673,901  95%                     - funcall-interactively
     35,673,885  95%                      - seed7-complete-statement-or-indent
     35,673,885  95%                       - seed7-indent-region
     35,673,885  95%                        - seed7--indent-one-line
     35,673,885  95%                         - seed7-calc-indent
      7,563,776  20%                          - seed7-line-inside-a-block-cached
      7,563,776  20%                           - seed7-line-inside-a-block
      4,787,031  12%                            - seed7--safe-enclosing-block-bounds
      4,787,031  12%                             - seed7--block-end-pos-for
      4,744,023  12%                              - seed7-to-block-forward
      2,637,345   7%                               - seed7-end-of-defun
      2,407,214   6%                                - seed7-top-block-name
      2,367,158   6%                                 - seed7--to-top
      2,245,526   6%                                  - seed7-re-search-backward
      2,161,152   5%                                   - run-with-timer
      2,161,152   5%                                    - run-at-time
      1,494,528   4%                                     - timer-activate
      1,494,528   4%                                      - timer--activate
      1,494,528   4%                                         timer--time-less-p
        408,576   1%                                       timer-relative-time
        258,048   0%                                     - timer-set-time
        258,048   0%                                        timer--time-setter
         62,038   0%                                   - seed7-inside-comment-p
         62,038   0%                                    - syntax-ppss
         62,038   0%                                     - syntax-propertize
         62,038   0%                                      - seed7-mode-syntax-propertize
         62,038   0%                                         re-search-forward
         22,336   0%                                     re-search-backward
        121,632   0%                                  - run-with-timer
        121,632   0%                                   - run-at-time
         79,968   0%                                    - timer-activate
         79,968   0%                                     - timer--activate
         79,968   0%                                        timer--time-less-p
         25,536   0%                                      timer-relative-time
         16,128   0%                                    - timer-set-time
         16,128   0%                                       timer--time-setter
         40,056   0%                                 - seed7--block-name
         31,872   0%                                  - seed7-re-search-forward
         31,872   0%                                     re-search-forward
          8,184   0%                                    match-string
        121,632   0%                                - seed7-re-search-backward
        121,632   0%                                 - run-with-timer
        121,632   0%                                  - run-at-time
         79,968   0%                                   - timer-activate
         79,968   0%                                    - timer--activate
         79,968   0%                                       timer--time-less-p
         25,536   0%                                     timer-relative-time
         16,128   0%                                   - timer-set-time
         16,128   0%                                      timer--time-setter
         81,955   0%                                - seed7-re-search-forward
         45,848   0%                                   re-search-forward
         36,107   0%                                 - seed7-inside-comment-p
         36,107   0%                                  - syntax-ppss
         36,107   0%                                   - syntax-propertize
         36,107   0%                                    - seed7-mode-syntax-propertize
         36,107   0%                                       re-search-forward
         24,496   0%                                  looking-at
          2,048   0%                                  string-match
      1,309,174   3%                               - seed7-re-search-forward
      1,241,039   3%                                  re-search-forward
         68,135   0%                                - seed7-inside-comment-p
         68,135   0%                                 - syntax-ppss
         68,135   0%                                  - syntax-propertize
         68,135   0%                                   - seed7-mode-syntax-propertize
         68,135   0%                                      re-search-forward
        588,792   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        588,792   1%                                  looking-at
        167,792   0%                               - seed7--current-line-nth-word
        167,792   0%                                - thing-at-point
        135,056   0%                                 - bounds-of-thing-at-point
         73,656   0%                                  - #<byte-code-function DA4>
         73,656   0%                                   - forward-thing
         73,656   0%                                      format
         40,920   0%                                  - #<byte-code-function BAD>
         40,920   0%                                   - forward-thing
         40,920   0%                                      format
         20,480   0%                                    re-search-forward
         40,920   0%                               - seed7--end-regexp-for
         40,920   0%                                  format
         38,912   0%                              - seed7--line-ends-a-statement-p
         38,912   0%                                 looking-at
          4,096   0%                                re-search-forward
      2,007,409   5%                            - seed7-re-search-backward
      1,282,928   3%                             - run-with-timer
      1,282,928   3%                              - run-at-time
        843,472   2%                               - timer-activate
        843,472   2%                                - timer--activate
        843,472   2%                                   timer--time-less-p
        269,344   0%                                 timer-relative-time
        170,112   0%                               - timer-set-time
        170,112   0%                                  timer--time-setter
        724,481   1%                               re-search-backward
        687,128   1%                            - replace-regexp-in-string
         32,736   0%                               concat
         40,920   0%                              buffer-substring-no-properties
         32,080   0%                            - seed7-calc-indent
