           5 100% - ...
           5 100%  - pel-profile-indentation-test-of
           5 100%   - call-interactively
           5 100%    - apply
           5 100%     - call-interactively@ido-cr+-record-current-command
           5 100%      - #<primitive-function call-interactively>
           5 100%       - funcall-interactively
           5 100%        - seed7-complete-statement-or-indent
           5 100%         - seed7-indent-region
           5 100%          - seed7--indent-one-line
           5 100%           - seed7-calc-indent
           2  40%            - seed7-line-inside-parens-pair-column
           2  40%             - seed7-line-inside-parens-pair
           2  40%              - seed7-re-search-backward
           1  20%               - run-with-timer
           1  20%                - run-at-time
           1  20%                 - timer-activate
           1  20%                  - timer--activate
           1  20%                     timer--time-less-p
           1  20%               - seed7-inside-string-p
           1  20%                - syntax-ppss
           1  20%                   parse-partial-sexp
           1  20%            - seed7-comment-column
           1  20%             - seed7-calc-indent
           1  20%              - seed7-line-after-func-return-logic-operator-column
           1  20%               - seed7-move-to-line
           1  20%                - seed7-to-previous-non-empty-line
           1  20%                 - seed7-inside-comment-p
           1  20%                  - syntax-ppss
           1  20%                     parse-partial-sexp
           1  20%            - seed7-line-after-short-func-end
           1  20%             - seed7-move-to-line
           1  20%              - seed7-to-previous-non-empty-line
           1  20%               - seed7-inside-comment-p
           1  20%                - syntax-ppss
           1  20%                   parse-partial-sexp
           1  20%            - seed7-line-inside-argument-list-section
           1  20%             - seed7-re-search-backward
           1  20%              - run-with-timer
           1  20%               - run-at-time
           1  20%                - timer-activate
           1  20%                 - timer--activate
           1  20%                    timer--time-less-p
