      7,238,244  99% - ...
      7,238,244  99%  - call-interactively@ido-cr+-record-current-command
      7,238,244  99%   - #<primitive-function call-interactively>
      7,238,244  99%    - funcall-interactively
      7,238,244  99%     - smex
      7,238,244  99%      - smex-read-and-run
      7,238,244  99%       - execute-extended-command
      7,238,244  99%        - command-execute
      7,238,244  99%         - call-interactively
      7,238,244  99%          - apply
      7,238,244  99%           - call-interactively@ido-cr+-record-current-command
      7,238,244  99%            - #<primitive-function call-interactively>
      7,238,244  99%             - funcall-interactively
      7,238,244  99%              - pel-profile-all
      7,238,244  99%               - pel-profile-indent
      7,238,244  99%                - pel-profile-indentation-test-of
      5,674,344  78%                 - call-interactively
      5,674,344  78%                  - apply
      5,674,344  78%                   - call-interactively@ido-cr+-record-current-command
      5,674,344  78%                    - #<primitive-function call-interactively>
      5,674,344  78%                     - funcall-interactively
      5,674,328  78%                      - seed7-complete-statement-or-indent
      5,674,328  78%                       - seed7-indent-region
      5,674,328  78%                        - seed7--indent-one-line
      5,674,328  78%                         - seed7-calc-indent
        933,857  12%                          - seed7-line-is-defun-end
        278,752   3%                             looking-back
        272,049   3%                           - seed7-line-starts-with-any
        272,049   3%                            - seed7-line-starts-with
        272,049   3%                               looking-at
        165,700   2%                           - seed7-beg-of-defun
         51,048   0%                            - seed7-re-search-backward-closest
         51,048   0%                             - seed7-re-search-backward
         31,688   0%                                re-search-backward
         19,360   0%                              - run-with-timer
         19,360   0%                               - run-at-time
          9,440   0%                                - timer-activate
          9,440   0%                                 - timer--activate
          9,440   0%                                    timer--time-less-p
          6,080   0%                                  timer-relative-time
          3,840   0%                                - timer-set-time
          3,840   0%                                   timer--time-setter
         46,300   0%                            - seed7-re-search-backward
         23,232   0%                             - run-with-timer
         23,232   0%                              - run-at-time
         11,328   0%                               - timer-activate
         11,328   0%                                - timer--activate
         11,328   0%                                   timer--time-less-p
          7,296   0%                                 timer-relative-time
          4,608   0%                               - timer-set-time
          4,608   0%                                  timer--time-setter
         23,068   0%                               re-search-backward
         29,896   0%                              looking-at
         24,120   0%                            - seed7-top-block-name
         12,280   0%                             - seed7--block-name
         12,280   0%                              - seed7-re-search-forward
         12,280   0%                                 re-search-forward
         11,840   0%                             - seed7--to-top
          7,968   0%                              - seed7-re-search-backward
          4,096   0%                                 re-search-backward
          3,872   0%                               - run-with-timer
          3,872   0%                                - run-at-time
          1,888   0%                                 - timer-activate
          1,888   0%                                  - timer--activate
          1,888   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
          3,872   0%                              - run-with-timer
          3,872   0%                               - run-at-time
          1,888   0%                                - timer-activate
          1,888   0%                                 - timer--activate
          1,888   0%                                    timer--time-less-p
          1,216   0%                                  timer-relative-time
            768   0%                                - timer-set-time
            768   0%                                   timer--time-setter
         14,336   0%                              string-match
        103,504   1%                           - seed7-end-of-defun
         73,568   1%                            - seed7-top-block-name
         73,568   1%                             - seed7--to-top
         60,016   0%                              - seed7-re-search-backward
         60,016   0%                               - run-with-timer
         60,016   0%                                - run-at-time
         29,264   0%                                 - timer-activate
         29,264   0%                                  - timer--activate
         29,264   0%                                     timer--time-less-p
         18,848   0%                                   timer-relative-time
         11,904   0%                                 - timer-set-time
         11,904   0%                                    timer--time-setter
         13,552   0%                              - run-with-timer
         13,552   0%                               - run-at-time
