           6 100% - ...
           6 100%  - pel-profile-all
           6 100%   - pel-profile-indent
           6 100%    - pel-profile-indentation-test-of
           6 100%     - call-interactively
           6 100%      - apply
           6 100%       - call-interactively@ido-cr+-record-current-command
           6 100%        - #<primitive-function call-interactively>
           6 100%         - funcall-interactively
           6 100%          - seed7-complete-statement-or-indent
           6 100%           - seed7-indent-region
           6 100%            - seed7--indent-one-line
           6 100%             - seed7-calc-indent
           3  50%              - seed7-comment-column
           3  50%               - seed7-calc-indent
           1  16%                - seed7-line-is-defun-end
           1  16%                 - seed7-move-to-line
           1  16%                  - seed7-to-previous-non-empty-line
           1  16%                   - seed7-inside-comment-p
           1  16%                    - syntax-ppss
           1  16%                       parse-partial-sexp
           1  16%                - seed7-line-inside-assign-statement-continuation
           1  16%                 - seed7-assign-op-pos
           1  16%                  - seed7-re-search-backward
           1  16%                   - run-with-timer
           1  16%                    - run-at-time
           1  16%                     - timer-activate
           1  16%                      - timer--activate
           1  16%                         timer--time-less-p
           1  16%                - seed7-line-at-endof-set-definition-block
           1  16%                 - seed7-move-to-line
           1  16%                  - seed7-to-previous-non-empty-line
           1  16%                   - seed7-inside-comment-p
           1  16%                    - syntax-ppss
           1  16%                       parse-partial-sexp
           1  16%              - seed7-line-is-defun-end
           1  16%               - seed7-move-to-line
           1  16%                - seed7-to-previous-non-empty-line
           1  16%                 - seed7-inside-comment-p
           1  16%                  - syntax-ppss
           1  16%                     parse-partial-sexp
           1  16%              - seed7-current-line-start-inside-comment-p
           1  16%               - seed7-inside-comment-p
           1  16%                - syntax-ppss
           1  16%                   parse-partial-sexp
           1  16%              - seed7-line-inside-assign-statement-continuation
           1  16%               - seed7-assign-op-pos
           1  16%                - seed7-re-search-backward
           1  16%                 - run-with-timer
           1  16%                  - run-at-time
           1  16%                   - timer-activate
           1  16%                    - timer--activate
           1  16%                       timer--time-less-p
