         669  86% - ...
         669  86%  - pel-profile-indentation-test-of
         669  86%   - call-interactively
         669  86%    - apply
         669  86%     - call-interactively@ido-cr+-record-current-command
         669  86%      - #<primitive-function call-interactively>
         669  86%       - funcall-interactively
         662  85%        - pel-profile-all
         662  85%         - pel-profile-indent
         662  85%          - pel-profile-indentation-test-of
         662  85%           - call-interactively
         662  85%            - apply
         662  85%             - call-interactively@ido-cr+-record-current-command
         662  85%              - #<primitive-function call-interactively>
         662  85%               - funcall-interactively
         662  85%                - seed7-complete-statement-or-indent
         662  85%                 - seed7-indent-region
         662  85%                  - seed7--indent-one-line
         662  85%                   - seed7-calc-indent
         279  35%                    - seed7-line-is-defun-end
         194  24%                     - seed7-end-of-defun
         155  19%                      - seed7-top-block-name
         155  19%                       - seed7--to-top
         154  19%                        - seed7-re-search-backward
         134  17%                         - seed7-inside-comment-p
         134  17%                          - syntax-ppss
         134  17%                             parse-partial-sexp
          18   2%                         - run-with-timer
          18   2%                          - run-at-time
          11   1%                           - timer-activate
          11   1%                            - timer--activate
          11   1%                               timer--time-less-p
           4   0%                           - timer-set-time
           4   0%                              timer--time-setter
           3   0%                             timer-relative-time
           1   0%                         - seed7-inside-string-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                           re-search-backward
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
          31   3%                      - seed7-re-search-forward
          14   1%                       - seed7-inside-comment-p
          14   1%                        - syntax-ppss
          12   1%                           parse-partial-sexp
           2   0%                         - syntax-propertize
           1   0%                          - seed7-mode-syntax-propertize
           1   0%                             put-text-property
           9   1%                         re-search-forward
           8   1%                       - seed7-inside-string-p
           8   1%                        - syntax-ppss
           8   1%                           parse-partial-sexp
           8   1%                      - seed7-re-search-backward
           6   0%                       - seed7-inside-comment-p
           6   0%                        - syntax-ppss
           6   0%                           parse-partial-sexp
           2   0%                       - run-with-timer
           2   0%                        - run-at-time
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
          45   5%                     - seed7--indent-search-boundary-uncached
          45   5%                      - syntax-ppss
