     49,593,876  99% - ...
     49,593,876  99%  - call-interactively@ido-cr+-record-current-command
     49,593,876  99%   - #<primitive-function call-interactively>
     49,593,876  99%    - funcall-interactively
     49,593,876  99%     - smex
     49,593,876  99%      - smex-read-and-run
     49,593,876  99%       - execute-extended-command
     49,593,876  99%        - command-execute
     49,593,876  99%         - call-interactively
     49,593,876  99%          - apply
     49,593,876  99%           - call-interactively@ido-cr+-record-current-command
     49,593,876  99%            - #<primitive-function call-interactively>
     49,593,876  99%             - funcall-interactively
     49,593,876  99%              - pel-profile-all
     49,593,876  99%               - pel-profile-indent
     49,593,876  99%                - pel-profile-indentation-test-of
     48,024,344  96%                 - call-interactively
     48,024,344  96%                  - apply
     48,024,344  96%                   - call-interactively@ido-cr+-record-current-command
     48,024,344  96%                    - #<primitive-function call-interactively>
     48,024,344  96%                     - funcall-interactively
     48,024,328  96%                      - seed7-complete-statement-or-indent
     48,024,328  96%                       - seed7-indent-region
     48,024,328  96%                        - seed7--indent-one-line
     48,024,328  96%                         - seed7-calc-indent
     15,776,755  31%                          - seed7-line-is-defun-end
      8,850,080  17%                           - seed7-end-of-defun
      7,771,104  15%                            - seed7-top-block-name
      7,771,104  15%                             - seed7--to-top
      7,538,784  15%                              - seed7-re-search-backward
      7,538,784  15%                               - run-with-timer
      7,538,784  15%                                - run-at-time
      3,675,936   7%                                 - timer-activate
      3,675,936   7%                                  - timer--activate
      3,675,936   7%                                     timer--time-less-p
      2,367,552   4%                                   timer-relative-time
      1,495,296   3%                                 - timer-set-time
      1,495,296   3%                                    timer--time-setter
        232,320   0%                              - run-with-timer
        232,320   0%                               - run-at-time
        113,280   0%                                - timer-activate
        113,280   0%                                 - timer--activate
        113,280   0%                                    timer--time-less-p
         72,960   0%                                  timer-relative-time
         46,080   0%                                - timer-set-time
         46,080   0%                                   timer--time-setter
        384,947   0%                            - seed7-re-search-forward
        220,595   0%                             - seed7-inside-comment-p
        220,595   0%                              - syntax-ppss
        220,595   0%                               - syntax-propertize
        220,595   0%                                - seed7-mode-syntax-propertize
        220,595   0%                                   re-search-forward
        164,352   0%                               re-search-forward
        232,320   0%                            - seed7-re-search-backward
        232,320   0%                             - run-with-timer
        232,320   0%                              - run-at-time
        113,280   0%                               - timer-activate
        113,280   0%                                - timer--activate
        113,280   0%                                   timer--time-less-p
         72,960   0%                                 timer-relative-time
         46,080   0%                               - timer-set-time
         46,080   0%                                  timer--time-setter
        155,496   0%                              match-string-no-properties
        113,549   0%                              looking-at
         90,024   0%                              match-string
         86,272   0%                              string-match
         16,368   0%                              substring-no-properties
      2,491,538   5%                           - seed7-beg-of-defun
      1,044,427   2%                            - seed7-re-search-backward
        859,584   1%                             - run-with-timer
        859,584   1%                              - run-at-time
        419,136   0%                               - timer-activate
        419,136   0%                                - timer--activate
        419,136   0%                                   timer--time-less-p
        269,952   0%                                 timer-relative-time
        170,496   0%                               - timer-set-time
        170,496   0%                                  timer--time-setter
        184,843   0%                               re-search-backward
        436,711   0%                            - seed7-top-block-name
        251,576   0%                             - seed7--to-top
        174,136   0%                              - seed7-re-search-backward
         96,696   0%                                 re-search-backward
         77,440   0%                               - run-with-timer
         77,440   0%                                - run-at-time
         37,760   0%                                 - timer-activate
         37,760   0%                                  - timer--activate
         37,760   0%                                     timer--time-less-p
         24,320   0%                                   timer-relative-time
         15,360   0%                                 - timer-set-time
         15,360   0%                                    timer--time-setter
         77,440   0%                              - run-with-timer
         77,440   0%                               - run-at-time
         37,760   0%                                - timer-activate
         37,760   0%                                 - timer--activate
         37,760   0%                                    timer--time-less-p
         24,320   0%                                  timer-relative-time
         15,360   0%                                - timer-set-time
         15,360   0%                                   timer--time-setter
        185,135   0%                             - seed7--block-name
        176,951   0%                              - seed7-re-search-forward
        176,951   0%                                 re-search-forward
          8,184   0%                                substring-no-properties
        422,609   0%                            - seed7-re-search-backward-closest
        422,609   0%                             - seed7-re-search-backward
        259,985   0%                                re-search-backward
        162,624   0%                              - run-with-timer
        162,624   0%                               - run-at-time
         79,296   0%                                - timer-activate
         79,296   0%                                 - timer--activate
         79,296   0%                                    timer--time-less-p
         51,072   0%                                  timer-relative-time
         32,256   0%                                - timer-set-time
         32,256   0%                                   timer--time-setter
        358,231   0%                              looking-at
        164,088   0%                              string-match
         40,920   0%                              match-string-no-properties
         16,368   0%                              match-string
          8,184   0%                              substring-no-properties
      1,951,291   3%                           - seed7-line-starts-with-any
      1,951,291   3%                            - seed7-line-starts-with
      1,926,739   3%                               looking-at
      1,747,935   3%                             looking-back
        531,456   1%                           - seed7-move-to-line
        531,456   1%                            - seed7-to-previous-non-empty-line
        531,456   1%                               looking-at
        114,391   0%                           - seed7--safe-current-line-defun-start-indent
        114,391   0%                            - seed7-to-block-backward
        114,391   0%                             - seed7-re-search-backward
         66,792   0%                              - run-with-timer
         66,792   0%                               - run-at-time
         32,568   0%                                - timer-activate
         32,568   0%                                 - timer--activate
         32,568   0%                                    timer--time-less-p
         20,976   0%                                  timer-relative-time
         13,248   0%                                - timer-set-time
         13,248   0%                                   timer--time-setter
         47,599   0%                                re-search-backward
         90,064   0%                           - seed7--current-line-nth-word
         90,064   0%                            - thing-at-point
         81,880   0%                             - bounds-of-thing-at-point
         40,960   0%                                re-search-forward
         24,552   0%                              - #<byte-code-function B2B>
         24,552   0%                               - forward-thing
         24,552   0%                                  format
         16,368   0%                              - #<byte-code-function D0E>
         16,368   0%                               - forward-thing
