         119  83% - ...
         119  83%  - apply
         119  83%   - call-interactively@ido-cr+-record-current-command
         119  83%    - #<primitive-function call-interactively>
         119  83%     - funcall-interactively
         117  81%      - pel-profile-all
         117  81%       - pel-profile-indent
         117  81%        - pel-profile-indentation-test-of
         117  81%         - call-interactively
         117  81%          - apply
         117  81%           - call-interactively@ido-cr+-record-current-command
         117  81%            - #<primitive-function call-interactively>
         117  81%             - funcall-interactively
         117  81%              - seed7-complete-statement-or-indent
         117  81%               - seed7-indent-region
         117  81%                - seed7--indent-one-line
         117  81%                 - seed7-calc-indent
          40  27%                  - seed7--indent-search-boundary
          40  27%                   - seed7--indent-search-boundary-uncached
          40  27%                    - syntax-ppss
          40  27%                       parse-partial-sexp
          17  11%                  - seed7-line-inside-a-block-cached
          17  11%                   - seed7-line-inside-a-block
          11   7%                    - seed7--safe-enclosing-block-bounds
          11   7%                     - seed7--block-end-pos-for
          11   7%                      - seed7-to-block-forward
           9   6%                       - seed7-end-of-defun
           9   6%                        - seed7-top-block-name
           9   6%                         - seed7--to-top
           8   5%                          - seed7-re-search-backward
           7   4%                           - run-with-timer
           7   4%                            - run-at-time
           6   4%                             - timer-activate
           6   4%                              - timer--activate
           6   4%                                 timer--time-less-p
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           2   1%                       - seed7-re-search-forward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                          re-search-forward
           6   4%                    - seed7-re-search-backward
           6   4%                     - run-with-timer
           6   4%                      - run-at-time
           5   3%                       - timer-activate
           5   3%                        - timer--activate
           5   3%                           timer--time-less-p
           1   0%                       - timer-set-time
           1   0%                          timer--time-setter
          17  11%                  - seed7-line-inside-parens-pair-column
          17  11%                   - seed7-line-inside-parens-pair
          17  11%                    - seed7-re-search-backward
          16  11%                     - run-with-timer
          16  11%                      - run-at-time
          14   9%                       - timer-activate
          14   9%                        - timer--activate
          14   9%                           timer--time-less-p
           2   1%                       - timer-set-time
           2   1%                          timer--time-setter
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           8   5%                  - seed7-line-inside-set-definition-block
           8   5%                   - seed7-re-search-backward
           7   4%                    - run-with-timer
           7   4%                     - run-at-time
           6   4%                      - timer-activate
           6   4%                       - timer--activate
           6   4%                          timer--time-less-p
           1   0%                      - timer-set-time
