      4,881,174  99% - ...
      4,881,174  99%  - call-interactively@ido-cr+-record-current-command
      4,881,174  99%   - #<primitive-function call-interactively>
      4,881,174  99%    - funcall-interactively
      4,881,174  99%     - smex
      4,881,174  99%      - smex-read-and-run
      4,881,174  99%       - execute-extended-command
      4,881,174  99%        - command-execute
      4,881,174  99%         - call-interactively
      4,881,174  99%          - apply
      4,881,174  99%           - call-interactively@ido-cr+-record-current-command
      4,881,174  99%            - #<primitive-function call-interactively>
      4,881,174  99%             - funcall-interactively
      4,881,174  99%              - pel-profile-all
      4,881,174  99%               - pel-profile-indent
      4,881,174  99%                - pel-profile-indentation-test-of
      3,320,090  67%                 - call-interactively
      3,320,090  67%                  - apply
      3,320,090  67%                   - call-interactively@ido-cr+-record-current-command
      3,320,090  67%                    - #<primitive-function call-interactively>
      3,320,090  67%                     - funcall-interactively
      3,320,074  67%                      - seed7-complete-statement-or-indent
      3,320,074  67%                       - seed7-indent-region
      3,320,074  67%                        - seed7--indent-one-line
      3,320,074  67%                         - seed7-calc-indent
        571,468  11%                          - seed7-line-inside-a-block-cached
        571,468  11%                           - seed7-line-inside-a-block
        336,092   6%                            - seed7--safe-enclosing-block-bounds
        336,092   6%                             - seed7--block-end-pos-for
        321,756   6%                              - seed7-to-block-forward
        180,936   3%                               - seed7-end-of-defun
        126,888   2%                                - seed7-top-block-name
        116,440   2%                                 - seed7--to-top
         97,080   1%                                  - seed7-re-search-backward
         91,960   1%                                   - run-with-timer
         91,960   1%                                    - run-at-time
         44,840   0%                                     - timer-activate
         44,840   0%                                      - timer--activate
         44,840   0%                                         timer--time-less-p
         28,880   0%                                       timer-relative-time
         18,240   0%                                     - timer-set-time
         18,240   0%                                        timer--time-setter
          5,120   0%                                     re-search-backward
         19,360   0%                                  - run-with-timer
         19,360   0%                                   - run-at-time
          9,440   0%                                    - timer-activate
          9,440   0%                                     - timer--activate
          9,440   0%                                        timer--time-less-p
          6,080   0%                                      timer-relative-time
          3,840   0%                                    - timer-set-time
          3,840   0%                                       timer--time-setter
         10,448   0%                                 - seed7--block-name
         10,448   0%                                  - seed7-re-search-forward
         10,448   0%                                     re-search-forward
         19,360   0%                                - seed7-re-search-backward
         19,360   0%                                 - run-with-timer
         19,360   0%                                  - run-at-time
          9,440   0%                                   - timer-activate
          9,440   0%                                    - timer--activate
          9,440   0%                                       timer--time-less-p
          6,080   0%                                     timer-relative-time
          3,840   0%                                   - timer-set-time
          3,840   0%                                      timer--time-setter
         10,240   0%                                - seed7-re-search-forward
         10,240   0%                                   re-search-forward
          8,184   0%                                  match-string
          8,184   0%                                  substring-no-properties
          6,032   0%                                  looking-at
          2,048   0%                                  string-match
         84,500   1%                               - seed7-re-search-forward
         84,500   1%                                  re-search-forward
         52,224   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         52,224   1%                                  looking-at
          4,096   0%                               - seed7--current-line-nth-word
          4,096   0%                                - thing-at-point
          4,096   0%                                 - bounds-of-thing-at-point
          4,096   0%                                    re-search-forward
          8,192   0%                              - seed7--line-ends-a-statement-p
          4,096   0%                                 looking-at
          4,096   0%                               - forward-sexp
          4,096   0%                                - seed7--forward-sexp-function
          4,096   0%                                   looking-at
          6,144   0%                                re-search-forward
        144,424   2%                            - seed7-re-search-backward
         83,248   1%                             - run-with-timer
         83,248   1%                              - run-at-time
         40,592   0%                               - timer-activate
         40,592   0%                                - timer--activate
         40,592   0%                                   timer--time-less-p
         26,144   0%                                 timer-relative-time
         16,512   0%                               - timer-set-time
         16,512   0%                                  timer--time-setter
         61,176   1%                               re-search-backward
         52,352   1%                              replace-regexp-in-string
         28,368   0%                            - seed7-calc-indent
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                               - seed7-to-previous-non-empty-line
          1,024   0%                                  looking-at
          3,440   0%                             - seed7-line-inside-a-block-cached
          3,440   0%                              - seed7-line-inside-a-block
          3,440   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,504   0%                                  re-search-backward
          2,960   0%                             - seed7-line-at-endof-array-definition-block
          2,960   0%                              - seed7-line-code-ends-with
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
