      1,925,652  99% - ...
      1,925,652  99%  - call-interactively@ido-cr+-record-current-command
      1,925,652  99%   - #<primitive-function call-interactively>
      1,925,652  99%    - funcall-interactively
      1,925,652  99%     - smex
      1,925,652  99%      - smex-read-and-run
      1,925,652  99%       - execute-extended-command
      1,925,652  99%        - command-execute
      1,925,652  99%         - call-interactively
      1,925,652  99%          - apply
      1,925,652  99%           - call-interactively@ido-cr+-record-current-command
      1,925,652  99%            - #<primitive-function call-interactively>
      1,925,652  99%             - funcall-interactively
      1,925,652  99%              - pel-profile-all
      1,925,652  99%               - pel-profile-indent
      1,925,652  99%                - pel-profile-indentation-test-of
      1,561,084  80%                   profiler-stop
        364,568  18%                 - call-interactively
        364,568  18%                  - apply
        364,568  18%                   - call-interactively@ido-cr+-record-current-command
        364,568  18%                    - #<primitive-function call-interactively>
        364,568  18%                     - funcall-interactively
        364,552  18%                      - seed7-complete-statement-or-indent
        364,552  18%                       - seed7-indent-region
        364,552  18%                        - seed7--indent-one-line
        364,552  18%                         - seed7-calc-indent
        181,575   9%                          - seed7-comment-column
        171,063   8%                           - seed7-calc-indent
         26,192   1%                            - seed7-line-inside-array-definition-block
         26,192   1%                             - seed7-re-search-backward
         25,168   1%                              - run-with-timer
         25,168   1%                               - run-at-time
         12,272   0%                                - timer-activate
         12,272   0%                                 - timer--activate
         12,272   0%                                    timer--time-less-p
          7,904   0%                                  timer-relative-time
          4,992   0%                                - timer-set-time
          4,992   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
         26,192   1%                            - seed7-line-inside-set-definition-block
         26,192   1%                             - seed7-re-search-backward
         25,168   1%                              - run-with-timer
         25,168   1%                               - run-at-time
         12,272   0%                                - timer-activate
         12,272   0%                                 - timer--activate
         12,272   0%                                    timer--time-less-p
          7,904   0%                                  timer-relative-time
          4,992   0%                                - timer-set-time
          4,992   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
         26,192   1%                            - seed7-line-inside-assign-statement-continuation
         26,192   1%                             - seed7-assign-op-pos
         26,192   1%                              - seed7-re-search-backward
         25,168   1%                               - run-with-timer
         25,168   1%                                - run-at-time
         12,272   0%                                 - timer-activate
         12,272   0%                                  - timer--activate
         12,272   0%                                     timer--time-less-p
          7,904   0%                                   timer-relative-time
          4,992   0%                                 - timer-set-time
          4,992   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         26,192   1%                            - seed7-line-inside-a-block-cached
         26,192   1%                             - seed7-line-inside-a-block
         26,192   1%                              - seed7-re-search-backward
         25,168   1%                               - run-with-timer
         25,168   1%                                - run-at-time
         12,272   0%                                 - timer-activate
         12,272   0%                                  - timer--activate
         12,272   0%                                     timer--time-less-p
          7,904   0%                                   timer-relative-time
          4,992   0%                                 - timer-set-time
          4,992   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         26,192   1%                            - seed7-line-inside-parens-pair-column
         26,192   1%                             - seed7-line-inside-parens-pair
         26,192   1%                              - seed7-re-search-backward
         25,168   1%                               - run-with-timer
         25,168   1%                                - run-at-time
         12,272   0%                                 - timer-activate
         12,272   0%                                  - timer--activate
         12,272   0%                                     timer--time-less-p
          7,904   0%                                   timer-relative-time
          4,992   0%                                 - timer-set-time
          4,992   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         11,256   0%                            - seed7-line-is-defun-end
          8,184   0%                             - seed7--current-line-nth-word
          8,184   0%                              - thing-at-point
          8,184   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function C62>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          3,072   0%                               looking-back
         10,146   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          7,970   0%                             - seed7-move-to-line
          7,970   0%                              - seed7-to-previous-non-empty-line
          7,970   0%                               - seed7-inside-comment-p
          7,970   0%                                - syntax-ppss
          7,970   0%                                   #<byte-code-function F63>
          1,152   0%                               re-search-forward
          1,024   0%                             - seed7-line-starts-with
          1,024   0%                                looking-at
