     33,564,630  99% - ...
     33,564,630  99%  - call-interactively@ido-cr+-record-current-command
     33,564,630  99%   - #<primitive-function call-interactively>
     33,564,630  99%    - funcall-interactively
     33,564,630  99%     - smex
     33,564,630  99%      - smex-read-and-run
     33,564,630  99%       - execute-extended-command
     33,564,630  99%        - command-execute
     33,564,630  99%         - call-interactively
     33,564,630  99%          - apply
     33,564,630  99%           - call-interactively@ido-cr+-record-current-command
     33,564,630  99%            - #<primitive-function call-interactively>
     33,564,630  99%             - funcall-interactively
     33,564,630  99%              - pel-profile-all
     33,564,630  99%               - pel-profile-indent
     33,564,630  99%                - pel-profile-indentation-test-of
     31,995,098  95%                 - call-interactively
     31,995,098  95%                  - apply
     31,995,098  95%                   - call-interactively@ido-cr+-record-current-command
     31,995,098  95%                    - #<primitive-function call-interactively>
     31,995,098  95%                     - funcall-interactively
     31,995,082  95%                      - seed7-complete-statement-or-indent
     31,995,082  95%                       - seed7-indent-region
     31,995,082  95%                        - seed7--indent-one-line
     31,995,082  95%                         - seed7-calc-indent
      7,500,115  22%                          - seed7-line-is-defun-end
      1,805,510   5%                           - seed7-beg-of-defun
        925,185   2%                            - seed7-re-search-backward
        737,616   2%                             - run-with-timer
        737,616   2%                              - run-at-time
        359,664   1%                               - timer-activate
        359,664   1%                                - timer--activate
        359,664   1%                                   timer--time-less-p
        231,648   0%                                 timer-relative-time
        146,304   0%                               - timer-set-time
        146,304   0%                                  timer--time-setter
        187,569   0%                               re-search-backward
        366,326   1%                            - seed7-re-search-backward-closest
        365,262   1%                             - seed7-re-search-backward
        206,510   0%                                re-search-backward
        158,752   0%                              - run-with-timer
        158,752   0%                               - run-at-time
         77,408   0%                                - timer-activate
         77,408   0%                                 - timer--activate
         77,408   0%                                    timer--time-less-p
         49,856   0%                                  timer-relative-time
         31,488   0%                                - timer-set-time
         31,488   0%                                   timer--time-setter
          1,064   0%                             - seq-filter
          1,064   0%                                make-symbol
        249,558   0%                              looking-at
        126,976   0%                              string-match
         88,361   0%                            - seed7-top-block-name
         60,160   0%                             - seed7--to-top
         40,800   0%                              - seed7-re-search-backward
         21,440   0%                                 re-search-backward
         19,360   0%                               - run-with-timer
         19,360   0%                                - run-at-time
          9,440   0%                                 - timer-activate
          9,440   0%                                  - timer--activate
          9,440   0%                                     timer--time-less-p
          6,080   0%                                   timer-relative-time
          3,840   0%                                 - timer-set-time
          3,840   0%                                    timer--time-setter
         19,360   0%                              - run-with-timer
         19,360   0%                               - run-at-time
          9,440   0%                                - timer-activate
          9,440   0%                                 - timer--activate
          9,440   0%                                    timer--time-less-p
          6,080   0%                                  timer-relative-time
          3,840   0%                                - timer-set-time
          3,840   0%                                   timer--time-setter
         28,201   0%                             - seed7--block-name
         28,201   0%                              - seed7-re-search-forward
         28,201   0%                                 re-search-forward
         40,920   0%                              match-string-no-properties
          8,184   0%                            - user-error
          8,184   0%                               format-message
      1,667,737   4%                           - seed7-end-of-defun
      1,471,360   4%                            - seed7-top-block-name
      1,471,360   4%                             - seed7--to-top
      1,413,280   4%                              - seed7-re-search-backward
      1,413,280   4%                               - run-with-timer
      1,413,280   4%                                - run-at-time
        689,120   2%                                 - timer-activate
        689,120   2%                                  - timer--activate
        689,120   2%                                     timer--time-less-p
        443,840   1%                                   timer-relative-time
        280,320   0%                                 - timer-set-time
        280,320   0%                                    timer--time-setter
         58,080   0%                              - run-with-timer
         58,080   0%                               - run-at-time
         28,320   0%                                - timer-activate
         28,320   0%                                 - timer--activate
         28,320   0%                                    timer--time-less-p
         18,240   0%                                  timer-relative-time
         11,520   0%                                - timer-set-time
         11,520   0%                                   timer--time-setter
         63,157   0%                            - seed7-re-search-forward
         41,088   0%                               re-search-forward
         22,069   0%                             - seed7-inside-comment-p
         22,069   0%                              - syntax-ppss
         22,069   0%                               - syntax-propertize
         22,069   0%                                - seed7-mode-syntax-propertize
         22,069   0%                                   re-search-forward
         58,080   0%                            - seed7-re-search-backward
         58,080   0%                             - run-with-timer
         58,080   0%                              - run-at-time
         28,320   0%                               - timer-activate
         28,320   0%                                - timer--activate
         28,320   0%                                   timer--time-less-p
         18,240   0%                                 timer-relative-time
         11,520   0%                               - timer-set-time
         11,520   0%                                  timer--time-setter
         32,736   0%                              match-string-no-properties
         21,924   0%                              looking-at
         20,480   0%                              string-match
      1,639,717   4%                           - seed7-line-starts-with-any
      1,639,717   4%                            - seed7-line-starts-with
      1,598,797   4%                               looking-at
      1,492,888   4%                             looking-back
        721,775   2%                           - seed7-move-to-line
        721,775   2%                            - seed7-to-previous-non-empty-line
        459,776   1%                               looking-at
        261,999   0%                             - seed7-inside-comment-p
        261,999   0%                              - syntax-ppss
        261,999   0%                                 #<byte-code-function CFB>
         99,840   0%                           - seed7--safe-current-line-defun-start-indent
         99,840   0%                            - seed7-to-block-backward
         75,288   0%                             - seed7-re-search-backward
         54,208   0%                              - run-with-timer
         54,208   0%                               - run-at-time
         26,432   0%                                - timer-activate
         26,432   0%                                 - timer--activate
         26,432   0%                                    timer--time-less-p
         17,024   0%                                  timer-relative-time
         10,752   0%                                - timer-set-time
         10,752   0%                                   timer--time-setter
         21,080   0%                                re-search-backward
         24,552   0%                             - seed7--current-line-nth-word
         24,552   0%                              - thing-at-point
         16,368   0%                               - bounds-of-thing-at-point
         16,368   0%                                - #<byte-code-function DDE>
         16,368   0%                                 - forward-thing
         16,368   0%                                    format
         72,648   0%                           - seed7--current-line-nth-word
         72,648   0%                            - thing-at-point
         72,648   0%                             - bounds-of-thing-at-point
         40,920   0%                              - #<byte-code-function 43B>
         40,920   0%                               - forward-thing
         40,920   0%                                  format
         16,368   0%                              - #<byte-code-function 829>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
         15,360   0%                                re-search-forward
      6,435,755  19%                          - seed7-line-inside-a-block-cached
      6,435,755  19%                           - seed7-line-inside-a-block
      4,018,388  11%                            - seed7--safe-enclosing-block-bounds
      4,018,388  11%                             - seed7--block-end-pos-for
      3,861,460  11%                              - seed7-to-block-forward
      2,336,020   6%                               - seed7-end-of-defun
      2,082,949   6%                                - seed7-top-block-name
      2,058,384   6%                                 - seed7--to-top
      1,953,840   5%                                  - seed7-re-search-backward
      1,934,064   5%                                   - run-with-timer
