          80  72% - ...
          80  72%  - pel-profile-all
          80  72%   - pel-profile-indent
          80  72%    - pel-profile-indentation-test-of
          80  72%     - call-interactively
          80  72%      - apply
          80  72%       - call-interactively@ido-cr+-record-current-command
          80  72%        - #<primitive-function call-interactively>
          80  72%         - funcall-interactively
          48  43%          - seed7-complete-statement-or-indent
          48  43%           - seed7-indent-region
          48  43%            - seed7--indent-one-line
          48  43%             - seed7-calc-indent
          18  16%              - seed7-comment-column
          16  14%               - seed7-calc-indent
           4   3%                - seed7-line-at-endof-set-definition-block
           4   3%                 - seed7-move-to-line
           4   3%                  - seed7-to-previous-non-empty-line
           4   3%                   - seed7-inside-comment-p
           4   3%                    - syntax-ppss
           4   3%                       parse-partial-sexp
           3   2%                - seed7-line-starts-with-open-paren-after-logic-operator
           3   2%                 - seed7-move-to-line
           3   2%                  - seed7-to-previous-non-empty-line
           3   2%                   - seed7-inside-comment-p
           3   2%                    - syntax-ppss
           3   2%                       parse-partial-sexp
           2   1%                - seed7-line-inside-parens-pair-column
           2   1%                 - seed7-line-inside-parens-pair
           2   1%                  - seed7-re-search-backward
           2   1%                   - seed7-inside-comment-p
           2   1%                    - syntax-ppss
           2   1%                       parse-partial-sexp
           2   1%                - seed7-line-after-short-func-end
           2   1%                 - seed7-move-to-line
           2   1%                  - seed7-to-previous-non-empty-line
           2   1%                   - seed7-inside-comment-p
           2   1%                    - syntax-ppss
           2   1%                       parse-partial-sexp
           2   1%                - seed7-line-after-func-return-logic-operator-column
           2   1%                 - seed7-move-to-line
           2   1%                  - seed7-to-previous-non-empty-line
           2   1%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           2   1%                - seed7-line-is-defun-end
           2   1%                 - seed7-move-to-line
           2   1%                  - seed7-to-previous-non-empty-line
           2   1%                   - seed7-inside-comment-p
           2   1%                    - syntax-ppss
           2   1%                       parse-partial-sexp
           1   0%                - seed7-line-inside-assign-statement-continuation
           1   0%                 - seed7-assign-op-pos
           1   0%                  - seed7-re-search-backward
           1   0%                     re-search-backward
           2   1%               - seed7-line-code-ends-with
           2   1%                - seed7-move-to-line
           2   1%                 - seed7-to-previous-non-empty-line
           2   1%                  - seed7-inside-comment-p
           2   1%                   - syntax-ppss
           2   1%                      parse-partial-sexp
          15  13%              - seed7-line-inside-a-block-cached
          15  13%               - seed7-line-inside-a-block
          13  11%                - seed7--safe-enclosing-block-bounds
          13  11%                 - seed7--block-end-pos-for
          13  11%                  - seed7-to-block-forward
          11  10%                   - seed7-re-search-forward
           7   6%                    - seed7-inside-comment-p
           6   5%                     - syntax-ppss
           6   5%                        parse-partial-sexp
           3   2%                    - seed7-inside-string-p
           2   1%                     - syntax-ppss
           2   1%                        parse-partial-sexp
           2   1%                   - seed7-end-of-defun
           2   1%                    - seed7-top-block-name
           2   1%                     - seed7--to-top
           2   1%                      - seed7-re-search-backward
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                         re-search-backward
           2   1%                - seed7-re-search-backward
           1   0%                 - seed7-inside-comment-p
           1   0%                  - syntax-ppss
           1   0%                     parse-partial-sexp
           1   0%                 - run-with-timer
           1   0%                  - run-at-time
           1   0%                   - timer-activate
           1   0%                    - timer--activate
           1   0%                       timer--time-less-p
           7   6%              - seed7-line-inside-parens-pair-column
           7   6%               - seed7-line-inside-parens-pair
           6   5%                - seed7-re-search-backward
           3   2%                 - seed7-inside-string-p
           3   2%                  - syntax-ppss
           3   2%                     parse-partial-sexp
           2   1%                 - run-with-timer
           2   1%                  - run-at-time
           2   1%                   - timer-activate
           2   1%                    - timer--activate
           2   1%                       timer--time-less-p
           1   0%                 - seed7-inside-comment-p
           1   0%                  - syntax-ppss
