    102,601,703  99% - ...
    102,601,703  99%  - call-interactively@ido-cr+-record-current-command
    102,601,703  99%   - #<primitive-function call-interactively>
    102,601,703  99%    - funcall-interactively
    102,601,703  99%     - smex
    102,601,703  99%      - smex-read-and-run
    102,601,703  99%       - execute-extended-command
    102,601,703  99%        - command-execute
    102,601,703  99%         - call-interactively
    102,601,703  99%          - apply
    102,601,703  99%           - call-interactively@ido-cr+-record-current-command
    102,601,703  99%            - #<primitive-function call-interactively>
    102,601,703  99%             - funcall-interactively
    102,601,703  99%              - pel-profile-all
    102,601,703  99%               - pel-profile-indent
    102,601,703  99%                - pel-profile-indentation-test-of
    101,032,171  98%                 - call-interactively
    101,032,171  98%                  - apply
    101,032,171  98%                   - call-interactively@ido-cr+-record-current-command
    101,032,171  98%                    - #<primitive-function call-interactively>
    101,032,171  98%                     - funcall-interactively
    101,032,155  98%                      - seed7-complete-statement-or-indent
    101,032,155  98%                       - seed7-indent-region
    101,032,155  98%                        - seed7--indent-one-line
    101,032,155  98%                         - seed7-calc-indent
     29,497,986  28%                          - seed7-line-inside-a-block-cached
     29,496,153  28%                           - seed7-line-inside-a-block
     22,537,819  21%                            - seed7--safe-enclosing-block-bounds
     22,537,819  21%                             - seed7--block-end-pos-for
     22,114,651  21%                              - seed7-to-block-forward
     17,537,735  17%                               - seed7-end-of-defun
     16,342,429  15%                                - seed7-top-block-name
     16,118,196  15%                                 - seed7--to-top
     15,742,438  15%                                  - seed7-re-search-backward
     15,366,000  14%                                   - run-with-timer
     15,366,000  14%                                    - run-at-time
      7,492,528   7%                                     - timer-activate
      7,492,528   7%                                      - timer--activate
      7,492,528   7%                                         timer--time-less-p
      4,825,664   4%                                       timer-relative-time
      3,047,808   2%                                     - timer-set-time
      3,047,808   2%                                        timer--time-setter
        304,118   0%                                   - seed7-inside-comment-p
        304,118   0%                                    - syntax-ppss
        304,118   0%                                     - syntax-propertize
        304,118   0%                                      - seed7-mode-syntax-propertize
        302,086   0%                                         re-search-forward
          2,032   0%                                         put-text-property
         72,320   0%                                     re-search-backward
        375,758   0%                                  - run-with-timer
        375,758   0%                                   - run-at-time
        183,136   0%                                    - timer-activate
        183,136   0%                                     - timer--activate
        183,136   0%                                        timer--time-less-p
        118,126   0%                                      timer-relative-time
         74,496   0%                                    - timer-set-time
         74,496   0%                                       timer--time-setter
        224,233   0%                                 - seed7--block-name
        187,489   0%                                  - seed7-re-search-forward
        187,489   0%                                     re-search-forward
         28,560   0%                                    match-string
          8,184   0%                                    substring-no-properties
        575,825   0%                                - seed7-re-search-forward
        438,573   0%                                   re-search-forward
        137,252   0%                                 - seed7-inside-comment-p
        137,252   0%                                  - syntax-ppss
        137,252   0%                                   - syntax-propertize
        137,252   0%                                    - seed7-mode-syntax-propertize
        137,252   0%                                       re-search-forward
        375,584   0%                                - seed7-re-search-backward
        375,584   0%                                 - run-with-timer
        375,584   0%                                  - run-at-time
        183,136   0%                                   - timer-activate
        183,136   0%                                    - timer--activate
        183,136   0%                                       timer--time-less-p
        117,952   0%                                     timer-relative-time
         74,496   0%                                   - timer-set-time
         74,496   0%                                      timer--time-setter
         98,705   0%                                  looking-at
         62,144   0%                                  match-string
         58,496   0%                                  string-match
         24,552   0%                                  substring-no-properties
      2,228,076   2%                               - seed7-re-search-forward
      2,228,076   2%                                  re-search-forward
      1,382,504   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      1,382,504   1%                                  looking-at
        900,864   0%                               - seed7--current-line-nth-word
        900,864   0%                                - thing-at-point
        556,560   0%                                 - bounds-of-thing-at-point
        360,096   0%                                  - #<byte-code-function A0E>
        360,096   0%                                   - forward-thing
        360,096   0%                                      format
        147,312   0%                                  - #<byte-code-function E2C3>
        147,312   0%                                   - forward-thing
        147,312   0%                                      format
         49,152   0%                                    re-search-forward
         65,472   0%                               - seed7--end-regexp-for
         65,472   0%                                  format
        383,744   0%                              - seed7--line-ends-a-statement-p
        284,928   0%                                 looking-at
         98,816   0%                               - forward-sexp
         98,816   0%                                - seed7--forward-sexp-function
         98,816   0%                                   looking-at
         31,104   0%                                re-search-forward
          5,248   0%                                looking-at
          3,072   0%                              - seed7-re-search-forward-closest
          3,072   0%                               - seed7-re-search-forward
          3,072   0%                                  re-search-forward
      4,425,942   4%                            - seed7-re-search-backward
      2,596,176   2%                             - run-with-timer
      2,596,176   2%                              - run-at-time
      1,265,904   1%                               - timer-activate
      1,265,904   1%                                - timer--activate
      1,265,904   1%                                   timer--time-less-p
        815,328   0%                                 timer-relative-time
        514,944   0%                               - timer-set-time
        514,944   0%                                  timer--time-setter
      1,829,766   1%                               re-search-backward
      1,591,376   1%                            - replace-regexp-in-string
         40,920   0%                               concat
        633,304   0%                            - seed7-calc-indent
        278,363   0%                             - seed7-line-is-defun-end
        129,513   0%                              - seed7-beg-of-defun
         46,320   0%                               - seed7-re-search-backward-closest
         46,320   0%                                - seed7-re-search-backward
         28,896   0%                                   re-search-backward
         17,424   0%                                 - run-with-timer
         17,424   0%                                  - run-at-time
          8,496   0%                                   - timer-activate
          8,496   0%                                    - timer--activate
          8,496   0%                                       timer--time-less-p
          5,472   0%                                     timer-relative-time
          3,456   0%                                   - timer-set-time
          3,456   0%                                      timer--time-setter
         45,048   0%                                 looking-at
         29,961   0%                               - seed7-re-search-backward
         21,249   0%                                  re-search-backward
          8,712   0%                                - run-with-timer
          8,712   0%                                 - run-at-time
          4,248   0%                                  - timer-activate
          4,248   0%                                   - timer--activate
          4,248   0%                                      timer--time-less-p
          2,736   0%                                    timer-relative-time
          1,728   0%                                  - timer-set-time
          1,728   0%                                     timer--time-setter
          8,184   0%                               - user-error
          8,184   0%                                  format-message
        103,546   0%                              - seed7-line-starts-with-any
        103,546   0%                               - seed7-line-starts-with
        103,546   0%                                  looking-at
         34,048   0%                                looking-back
          8,184   0%                              - seed7--current-line-nth-word
          8,184   0%                               - thing-at-point
          8,184   0%                                - bounds-of-thing-at-point
          8,184   0%                                 - #<byte-code-function BF6>
          8,184   0%                                  - forward-thing
          8,184   0%                                     format
          3,072   0%                              - seed7-move-to-line
          3,072   0%                               - seed7-to-previous-non-empty-line
          3,072   0%                                  looking-at
