        5891  93% - ...
        5891  93%  - pel-profile-indentation-test-of
        5891  93%   - call-interactively
        5891  93%    - apply
        5891  93%     - call-interactively@ido-cr+-record-current-command
        5891  93%      - #<primitive-function call-interactively>
        5891  93%       - funcall-interactively
        5885  93%        - pel-profile-all
        5885  93%         - pel-profile-indent
        5885  93%          - pel-profile-indentation-test-of
        5885  93%           - call-interactively
        5885  93%            - apply
        5885  93%             - call-interactively@ido-cr+-record-current-command
        5885  93%              - #<primitive-function call-interactively>
        5885  93%               - funcall-interactively
        5885  93%                - seed7-complete-statement-or-indent
        5885  93%                 - seed7-indent-region
        5885  93%                  - seed7--indent-one-line
        5885  93%                   - seed7-calc-indent
        2297  36%                    - seed7--indent-search-boundary
        2296  36%                     - seed7--indent-search-boundary-uncached
        2124  33%                      - syntax-ppss
        2116  33%                         parse-partial-sexp
           3   0%                       - #<byte-code-function D13>
           1   0%                          set-syntax-table
           1   0%                         syntax-table
          17   0%                        seed7-to-indent
        1996  31%                    - seed7-line-inside-a-block-cached
        1996  31%                     - seed7-line-inside-a-block
        1264  20%                      - seed7--safe-enclosing-block-bounds
        1264  20%                       - seed7--block-end-pos-for
        1264  20%                        - seed7-to-block-forward
        1244  19%                         - seed7-end-of-defun
        1040  16%                          - seed7-top-block-name
        1038  16%                           - seed7--to-top
        1027  16%                            - seed7-re-search-backward
         694  10%                             - run-with-timer
         694  10%                              - run-at-time
         588   9%                               - timer-activate
         588   9%                                - timer--activate
         588   9%                                   timer--time-less-p
          99   1%                               - timer-set-time
          99   1%                                  timer--time-setter
           7   0%                                 timer-relative-time
         308   4%                             - seed7-inside-comment-p
         308   4%                              - syntax-ppss
         305   4%                                 parse-partial-sexp
           2   0%                               - syntax-propertize
           2   0%                                - seed7-mode-syntax-propertize
           2   0%                                   re-search-forward
          23   0%                               re-search-backward
           6   0%                            - run-with-timer
           6   0%                             - run-at-time
           5   0%                              - timer-activate
           5   0%                               - timer--activate
           5   0%                                  timer--time-less-p
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           2   0%                           - seed7--block-name
           2   0%                            - seed7-re-search-forward
           2   0%                               re-search-forward
         193   3%                          - seed7-re-search-forward
         192   3%                             re-search-forward
           1   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
          11   0%                          - seed7-re-search-backward
           6   0%                           - run-with-timer
           6   0%                            - run-at-time
           6   0%                             - timer-activate
           6   0%                              - timer--activate
           6   0%                                 timer--time-less-p
           5   0%                           - seed7-inside-comment-p
           5   0%                            - syntax-ppss
           5   0%                               parse-partial-sexp
          18   0%                         - seed7-re-search-forward
          10   0%                            re-search-forward
           5   0%                          - seed7-inside-comment-p
           5   0%                           - syntax-ppss
           5   0%                              parse-partial-sexp
           3   0%                          - seed7-inside-string-p
           2   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                           - #<byte-code-function C95>
           1   0%                              set-match-data
           2   0%                         - seed7--current-line-nth-word
           1   0%                          - thing-at-point
           1   0%                           - bounds-of-thing-at-point
           1   0%                            - #<byte-code-function 162>
           1   0%                             - forward-thing
           1   0%                                forward-word
         673  10%                      - seed7-calc-indent
         644  10%                       - seed7-line-inside-a-block-cached
         644  10%                        - seed7-line-inside-a-block
         629   9%                         - seed7--safe-enclosing-block-bounds
         629   9%                          - seed7--block-end-pos-for
         629   9%                           - seed7-to-block-forward
         628   9%                            - seed7-end-of-defun
         438   6%                             - seed7-top-block-name
         436   6%                              - seed7--to-top
         430   6%                               - seed7-re-search-backward
         307   4%                                - run-with-timer
         307   4%                                 - run-at-time
         271   4%                                  - timer-activate
         271   4%                                   - timer--activate
         271   4%                                      timer--time-less-p
          34   0%                                  - timer-set-time
          34   0%                                     timer--time-setter
           2   0%                                    timer-relative-time
         113   1%                                - seed7-inside-comment-p
         113   1%                                 - syntax-ppss
         112   1%                                    parse-partial-sexp
           1   0%                                    syntax-ppss--data
           9   0%                                  re-search-backward
           1   0%                                  make-closure
           4   0%                               - run-with-timer
           4   0%                                - run-at-time
           3   0%                                 - timer-set-time
           3   0%                                    timer--time-setter
           1   0%                                 - timer-activate
           1   0%                                  - timer--activate
           1   0%                                     timer--time-less-p
           2   0%                              - seed7--block-name
           2   0%                               - seed7-re-search-forward
           2   0%                                  re-search-forward
         187   2%                             - seed7-re-search-forward
         187   2%                                re-search-forward
           3   0%                             - seed7-re-search-backward
           3   0%                              - run-with-timer
           3   0%                               - run-at-time
           3   0%                                - timer-activate
           3   0%                                 - timer--activate
           3   0%                                    timer--time-less-p
           1   0%                            - seed7-re-search-forward
           1   0%                               re-search-forward
          15   0%                         - seed7-re-search-backward
          10   0%                          - run-with-timer
          10   0%                           - run-at-time
           8   0%                            - timer-activate
           8   0%                             - timer--activate
           8   0%                                timer--time-less-p
           1   0%                            - timer-set-time
           1   0%                               timer--time-setter
           1   0%                              timer-relative-time
           3   0%                          - seed7-inside-comment-p
           3   0%                           - syntax-ppss
           3   0%                              parse-partial-sexp
           2   0%                            re-search-backward
          16   0%                       - seed7-line-inside-parens-pair-column
          16   0%                        - seed7-line-inside-parens-pair
          16   0%                         - seed7-re-search-backward
          14   0%                          - run-with-timer
          14   0%                           - run-at-time
          12   0%                            - timer-activate
          12   0%                             - timer--activate
          12   0%                                timer--time-less-p
           2   0%                            - timer-set-time
           2   0%                               timer--time-setter
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           5   0%                       - seed7--indent-search-boundary
           5   0%                        - seed7--indent-search-boundary-uncached
           5   0%                         - syntax-ppss
           5   0%                            parse-partial-sexp
           5   0%                       - seed7-line-is-defun-end
           3   0%                        - seed7-beg-of-defun
           3   0%                         - seed7-re-search-backward
           2   0%                          - run-with-timer
           2   0%                           - run-at-time
           2   0%                            - timer-activate
           2   0%                             - timer--activate
           2   0%                                timer--time-less-p
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           2   0%                        - seed7--safe-current-line-defun-start-indent
           2   0%                         - seed7-to-block-backward
           2   0%                          - seed7-re-search-backward
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
           1   0%                             re-search-backward
           1   0%                       - seed7-line-at-endof-set-definition-block
           1   0%                        - seed7-line-code-ends-with
           1   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                       - seed7-line-after-short-func-end
           1   0%                          looking-at
           1   0%                       - seed7-line-inside-array-definition-block
           1   0%                        - seed7-re-search-backward
           1   0%                           re-search-backward
          59   0%                      - seed7-re-search-backward
          33   0%                       - run-with-timer
          33   0%                        - run-at-time
          30   0%                         - timer-activate
          30   0%                          - timer--activate
          30   0%                             timer--time-less-p
           2   0%                         - timer-set-time
           2   0%                            timer--time-setter
           1   0%                           timer-relative-time
          13   0%                         re-search-backward
          13   0%                       - seed7-inside-comment-p
          13   0%                        - syntax-ppss
          13   0%                           parse-partial-sexp
         468   7%                    - seed7-line-inside-set-definition-block
         467   7%                     - seed7-re-search-backward
         442   6%                        re-search-backward
          25   0%                      - run-with-timer
          25   0%                       - run-at-time
          23   0%                        - timer-activate
          23   0%                         - timer--activate
          23   0%                            timer--time-less-p
           1   0%                        - timer-set-time
           1   0%                           timer--time-setter
           1   0%                          timer-relative-time
         427   6%                    - seed7-line-is-defun-end
         318   5%                     - seed7-beg-of-defun
         228   3%                      - seed7-re-search-backward
          98   1%                         re-search-backward
