     15,133,844  99% - ...
     15,133,844  99%  - call-interactively@ido-cr+-record-current-command
     15,133,844  99%   - #<primitive-function call-interactively>
     15,133,844  99%    - funcall-interactively
     15,133,844  99%     - smex
     15,133,844  99%      - smex-read-and-run
     15,133,844  99%       - execute-extended-command
     15,133,844  99%        - command-execute
     15,133,844  99%         - call-interactively
     15,133,844  99%          - apply
     15,133,844  99%           - call-interactively@ido-cr+-record-current-command
     15,133,844  99%            - #<primitive-function call-interactively>
     15,133,844  99%             - funcall-interactively
     15,133,844  99%              - pel-profile-all
     15,133,844  99%               - pel-profile-indent
     15,133,844  99%                - pel-profile-indentation-test-of
     13,569,944  89%                 - call-interactively
     13,569,944  89%                  - apply
     13,569,944  89%                   - call-interactively@ido-cr+-record-current-command
     13,569,944  89%                    - #<primitive-function call-interactively>
     13,569,944  89%                     - funcall-interactively
     13,569,928  89%                      - seed7-complete-statement-or-indent
     13,569,928  89%                       - seed7-indent-region
     13,569,928  89%                        - seed7--indent-one-line
     13,569,928  89%                         - seed7-calc-indent
      4,430,448  29%                          - seed7-line-inside-parens-pair-column
      4,430,448  29%                           - seed7-line-inside-parens-pair
      4,119,032  27%                            - seed7-re-search-backward
      3,942,904  26%                             - run-with-timer
      3,942,904  26%                              - run-at-time
      2,592,296  17%                               - timer-activate
      2,592,296  17%                                - timer--activate
      2,592,296  17%                                   timer--time-less-p
        827,792   5%                                 timer-relative-time
        522,816   3%                               - timer-set-time
        522,816   3%                                  timer--time-setter
        176,128   1%                               re-search-backward
        311,416   2%                            - forward-sexp
        311,416   2%                             - seed7--forward-sexp-function
        311,416   2%                                looking-at
      1,962,087  12%                          - seed7-line-inside-a-block-cached
      1,962,087  12%                           - seed7-line-inside-a-block
      1,102,019   7%                            - seed7--safe-enclosing-block-bounds
      1,102,019   7%                             - seed7--block-end-pos-for
      1,085,635   7%                              - seed7-to-block-forward
        496,016   3%                               - seed7-re-search-forward
        496,016   3%                                  re-search-forward
        350,059   2%                               - seed7-end-of-defun
        283,401   1%                                - seed7-top-block-name
        269,227   1%                                 - seed7--to-top
        234,475   1%                                  - seed7-re-search-backward
        212,256   1%                                   - run-with-timer
        212,256   1%                                    - run-at-time
        146,784   0%                                     - timer-activate
        146,784   0%                                      - timer--activate
        146,784   0%                                         timer--time-less-p
         40,128   0%                                       timer-relative-time
         25,344   0%                                     - timer-set-time
         25,344   0%                                        timer--time-setter
         16,075   0%                                   - seed7-inside-comment-p
         16,075   0%                                    - syntax-ppss
         16,075   0%                                     - syntax-propertize
         16,075   0%                                      - seed7-mode-syntax-propertize
         16,075   0%                                         re-search-forward
          6,144   0%                                     re-search-backward
         34,752   0%                                  - run-with-timer
         34,752   0%                                   - run-at-time
         22,848   0%                                    - timer-activate
         22,848   0%                                     - timer--activate
         22,848   0%                                        timer--time-less-p
          7,296   0%                                      timer-relative-time
          4,608   0%                                    - timer-set-time
          4,608   0%                                       timer--time-setter
         14,174   0%                                 - seed7--block-name
         14,174   0%                                  - seed7-re-search-forward
         14,174   0%                                     re-search-forward
         34,752   0%                                - seed7-re-search-backward
         34,752   0%                                 - run-with-timer
         34,752   0%                                  - run-at-time
         22,848   0%                                   - timer-activate
         22,848   0%                                    - timer--activate
         22,848   0%                                       timer--time-less-p
          7,296   0%                                     timer-relative-time
          4,608   0%                                   - timer-set-time
          4,608   0%                                      timer--time-setter
         23,282   0%                                - seed7-re-search-forward
         23,282   0%                                   re-search-forward
          6,576   0%                                  looking-at
          2,048   0%                                  string-match
        184,312   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        184,312   1%                                  looking-at
         55,248   0%                               - seed7--current-line-nth-word
         55,248   0%                                - thing-at-point
         55,248   0%                                 - bounds-of-thing-at-point
         24,552   0%                                  - #<byte-code-function E2E>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
         24,552   0%                                  - #<byte-code-function 48C>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
          6,144   0%                                    re-search-forward
         12,288   0%                              - seed7--line-ends-a-statement-p
          8,192   0%                                 looking-at
          4,096   0%                               - forward-sexp
          4,096   0%                                - seed7--forward-sexp-function
          4,096   0%                                   looking-at
          4,096   0%                                re-search-forward
        584,684   3%                            - seed7-re-search-backward
        370,688   2%                             - run-with-timer
        370,688   2%                              - run-at-time
        243,712   1%                               - timer-activate
        243,712   1%                                - timer--activate
        243,712   1%                                   timer--time-less-p
         77,824   0%                                 timer-relative-time
         49,152   0%                               - timer-set-time
         49,152   0%                                  timer--time-setter
        213,996   1%                               re-search-backward
        208,864   1%                            - replace-regexp-in-string
         16,368   0%                               concat
         36,832   0%                            - seed7-calc-indent
          7,416   0%                             - seed7-line-inside-parens-pair-column
          7,416   0%                              - seed7-line-inside-parens-pair
          5,368   0%                               - seed7-re-search-backward
          4,344   0%                                - run-with-timer
          4,344   0%                                 - run-at-time
          2,856   0%                                  - timer-activate
          2,856   0%                                   - timer--activate
          2,856   0%                                      timer--time-less-p
            912   0%                                    timer-relative-time
            576   0%                                  - timer-set-time
            576   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,048   0%                               - forward-sexp
          2,048   0%                                - seed7--forward-sexp-function
          2,048   0%                                   looking-at
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                               - seed7-to-previous-non-empty-line
          1,024   0%                                  looking-at
          3,920   0%                             - seed7-line-inside-a-block-cached
          3,920   0%                              - seed7-line-inside-a-block
          3,920   0%                               - seed7-re-search-backward
          2,896   0%                                - run-with-timer
          2,896   0%                                 - run-at-time
          1,904   0%                                  - timer-activate
          1,904   0%                                   - timer--activate
          1,904   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          3,920   0%                             - seed7-line-at-endof-array-definition-block
          3,920   0%                              - seed7-line-code-ends-with
          3,920   0%                               - seed7-re-search-backward
          2,896   0%                                - run-with-timer
          2,896   0%                                 - run-at-time
          1,904   0%                                  - timer-activate
          1,904   0%                                   - timer--activate
          1,904   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,896   0%                             - seed7-line-at-endof-set-definition-block
          2,896   0%                              - seed7-line-code-ends-with
          2,896   0%                               - seed7-re-search-backward
          2,896   0%                                - run-with-timer
          2,896   0%                                 - run-at-time
          1,904   0%                                  - timer-activate
          1,904   0%                                   - timer--activate
          1,904   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          2,472   0%                             - seed7-line-inside-array-definition-block
          2,472   0%                              - seed7-re-search-backward
          1,448   0%                               - run-with-timer
          1,448   0%                                - run-at-time
            952   0%                                 - timer-activate
            952   0%                                  - timer--activate
            952   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,472   0%                             - seed7-line-inside-set-definition-block
          2,472   0%                              - seed7-re-search-backward
          1,448   0%                               - run-with-timer
          1,448   0%                                - run-at-time
            952   0%                                 - timer-activate
            952   0%                                  - timer--activate
            952   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,472   0%                             - seed7-line-inside-assign-statement-continuation
          2,472   0%                              - seed7-assign-op-pos
          2,472   0%                               - seed7-re-search-backward
          1,448   0%                                - run-with-timer
          1,448   0%                                 - run-at-time
            952   0%                                  - timer-activate
            952   0%                                   - timer--activate
            952   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,048   0%                             - seed7-line-after-short-func-end
          2,048   0%                                looking-at
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                              - seed7-line-starts-with
          1,024   0%                                 looking-at
          1,024   0%                             - seed7-line-starts-with
          1,024   0%                                looking-at
          1,024   0%                             - seed7-line-after-func-return-logic-operator-column
          1,024   0%                                re-search-forward
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                              - seed7-line-starts-with
          1,024   0%                                 looking-at
          1,024   0%                             - seed7-line-indent-step
          1,024   0%                                looking-at
         21,504   0%                            - seed7--indent-offset-for
         21,504   0%                               string-match
          8,184   0%                              match-string
      1,529,430  10%                          - seed7-line-is-defun-end
        545,143   3%                             looking-back
        366,826   2%                           - seed7-line-starts-with-any
        366,826   2%                            - seed7-line-starts-with
        342,274   2%                               looking-at
        300,613   1%                           - seed7-beg-of-defun
        116,541   0%                            - seed7-re-search-backward
         81,088   0%                             - run-with-timer
         81,088   0%                              - run-at-time
         53,312   0%                               - timer-activate
         53,312   0%                                - timer--activate
         53,312   0%                                   timer--time-less-p
         17,024   0%                                 timer-relative-time
         10,752   0%                               - timer-set-time
         10,752   0%                                  timer--time-setter
         35,453   0%                               re-search-backward
        102,276   0%                            - seed7-re-search-backward-closest
        102,276   0%                             - seed7-re-search-backward
         55,940   0%                                re-search-backward
         46,336   0%                              - run-with-timer
         46,336   0%                               - run-at-time
         30,464   0%                                - timer-activate
         30,464   0%                                 - timer--activate
         30,464   0%                                    timer--time-less-p
          9,728   0%                                  timer-relative-time
          6,144   0%                                - timer-set-time
          6,144   0%                                   timer--time-setter
         44,972   0%                              looking-at
         18,432   0%                              string-match
         10,208   0%                            - seed7-top-block-name
          8,160   0%                             - seed7--to-top
          5,264   0%                              - seed7-re-search-backward
          3,216   0%                               - run-with-timer
          3,216   0%                                - run-at-time
          2,224   0%                                 - timer-activate
          2,224   0%                                  - timer--activate
          2,224   0%                                     timer--time-less-p
            608   0%                                   timer-relative-time
            384   0%                                 - timer-set-time
            384   0%                                    timer--time-setter
          2,048   0%                                 re-search-backward
          2,896   0%                              - run-with-timer
          2,896   0%                               - run-at-time
          1,904   0%                                - timer-activate
          1,904   0%                                 - timer--activate
          1,904   0%                                    timer--time-less-p
            608   0%                                  timer-relative-time
            384   0%                                - timer-set-time
            384   0%                                   timer--time-setter
          2,048   0%                             - seed7--block-name
          2,048   0%                              - seed7-re-search-forward
          2,048   0%                                 re-search-forward
          8,184   0%                            - user-error
          8,184   0%                               format-message
        172,032   1%                           - seed7-move-to-line
        172,032   1%                            - seed7-to-previous-non-empty-line
        172,032   1%                               looking-at
        102,112   0%                           - seed7-end-of-defun
         82,336   0%                            - seed7-top-block-name
         82,336   0%                             - seed7--to-top
         70,752   0%                              - seed7-re-search-backward
         70,752   0%                               - run-with-timer
         70,752   0%                                - run-at-time
         48,928   0%                                 - timer-activate
