      5,196,609  99% - ...
      5,196,609  99%  - call-interactively@ido-cr+-record-current-command
      5,196,609  99%   - #<primitive-function call-interactively>
      5,196,609  99%    - funcall-interactively
      5,196,609  99%     - smex
      5,196,609  99%      - smex-read-and-run
      5,196,609  99%       - execute-extended-command
      5,196,609  99%        - command-execute
      5,196,609  99%         - call-interactively
      5,196,609  99%          - apply
      5,196,609  99%           - call-interactively@ido-cr+-record-current-command
      5,196,609  99%            - #<primitive-function call-interactively>
      5,196,609  99%             - funcall-interactively
      5,196,609  99%              - pel-profile-all
      5,196,609  99%               - pel-profile-indent
      5,196,609  99%                - pel-profile-indentation-test-of
      3,635,525  69%                 - call-interactively
      3,635,525  69%                  - apply
      3,635,525  69%                   - call-interactively@ido-cr+-record-current-command
      3,635,525  69%                    - #<primitive-function call-interactively>
      3,635,525  69%                     - funcall-interactively
      3,635,509  69%                      - seed7-complete-statement-or-indent
      3,635,509  69%                       - seed7-indent-region
      3,635,509  69%                        - seed7--indent-one-line
      3,635,509  69%                         - seed7-calc-indent
        662,164  12%                          - seed7-comment-column
        423,569   8%                           - seed7-inside-comment-p
        423,569   8%                            - syntax-ppss
        423,569   8%                               #<byte-code-function 45E>
        201,955   3%                           - seed7-calc-indent
         34,770   0%                            - seed7-line-inside-a-block-cached
         34,770   0%                             - seed7-line-inside-a-block
         26,586   0%                              - seed7-re-search-backward
         25,168   0%                               - run-with-timer
         25,168   0%                                - run-at-time
         12,272   0%                                 - timer-activate
         12,272   0%                                  - timer--activate
         12,272   0%                                     timer--time-less-p
          7,904   0%                                   timer-relative-time
          4,992   0%                                 - timer-set-time
          4,992   0%                                    timer--time-setter
          1,418   0%                                 re-search-backward
          8,184   0%                                buffer-substring-no-properties
         33,455   0%                            - seed7-line-is-defun-end
         20,856   0%                               looking-back
          8,503   0%                             - seed7--safe-current-line-defun-start-indent
          8,503   0%                              - seed7-to-block-backward
          8,503   0%                               - seed7-re-search-backward
          5,599   0%                                  re-search-backward
          2,904   0%                                - run-with-timer
          2,904   0%                                 - run-at-time
          1,416   0%                                  - timer-activate
          1,416   0%                                   - timer--activate
          1,416   0%                                      timer--time-less-p
            912   0%                                    timer-relative-time
            576   0%                                  - timer-set-time
            576   0%                                     timer--time-setter
          4,096   0%                             - seed7-line-starts-with-any
          4,096   0%                              - seed7-line-starts-with
          4,096   0%                                 looking-at
         32,514   0%                            - seed7-line-inside-array-definition-block
         32,514   0%                             - seed7-re-search-backward
         28,072   0%                              - run-with-timer
         28,072   0%                               - run-at-time
         13,688   0%                                - timer-activate
         13,688   0%                                 - timer--activate
         13,688   0%                                    timer--time-less-p
          8,816   0%                                  timer-relative-time
          5,568   0%                                - timer-set-time
          5,568   0%                                   timer--time-setter
          4,442   0%                                re-search-backward
         32,488   0%                            - seed7-line-inside-set-definition-block
         32,488   0%                             - seed7-re-search-backward
         28,072   0%                              - run-with-timer
         28,072   0%                               - run-at-time
         13,688   0%                                - timer-activate
         13,688   0%                                 - timer--activate
         13,688   0%                                    timer--time-less-p
          8,816   0%                                  timer-relative-time
          5,568   0%                                - timer-set-time
          5,568   0%                                   timer--time-setter
          4,416   0%                                re-search-backward
         32,168   0%                            - seed7-line-inside-assign-statement-continuation
         32,168   0%                             - seed7-assign-op-pos
         32,168   0%                              - seed7-re-search-backward
         28,072   0%                               - run-with-timer
         28,072   0%                                - run-at-time
         13,688   0%                                 - timer-activate
         13,688   0%                                  - timer--activate
         13,688   0%                                     timer--time-less-p
          8,816   0%                                   timer-relative-time
          5,568   0%                                 - timer-set-time
          5,568   0%                                    timer--time-setter
          4,096   0%                                 re-search-backward
         26,192   0%                            - seed7-line-inside-parens-pair-column
         26,192   0%                             - seed7-line-inside-parens-pair
         26,192   0%                              - seed7-re-search-backward
         25,168   0%                               - run-with-timer
         25,168   0%                                - run-at-time
         12,272   0%                                 - timer-activate
         12,272   0%                                  - timer--activate
         12,272   0%                                     timer--time-less-p
          7,904   0%                                   timer-relative-time
          4,992   0%                                 - timer-set-time
          4,992   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          4,224   0%                            - seed7-line-starts-with
          4,224   0%                               looking-at
          4,096   0%                            - seed7-line-isa-string
          4,096   0%                             - seed7-line-starts-with
          4,096   0%                                looking-at
          1,024   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                             - seed7-line-starts-with
          1,024   0%                                looking-at
          1,024   0%                            - seed7--indent-search-boundary
          1,024   0%                               looking-at
         25,712   0%                           - seed7-line-starts-with
          9,344   0%                              looking-at
          8,880   0%                           - seed7-line-code-ends-with
          7,856   0%                            - seed7-re-search-backward
          5,808   0%                             - run-with-timer
          5,808   0%                              - run-at-time
          2,832   0%                               - timer-activate
          2,832   0%                                - timer--activate
          2,832   0%                                   timer--time-less-p
          1,824   0%                                 timer-relative-time
          1,152   0%                               - timer-set-time
          1,152   0%                                  timer--time-setter
          2,048   0%                               re-search-backward
          1,024   0%                            - seed7-move-to-line
          1,024   0%                             - seed7-to-previous-non-empty-line
          1,024   0%                                looking-at
          2,048   0%                             looking-at
        629,759  12%                          - seed7-line-inside-a-block-cached
        629,759  12%                           - seed7-line-inside-a-block
        349,001   6%                            - seed7--safe-enclosing-block-bounds
        349,001   6%                             - seed7--block-end-pos-for
        312,137   6%                              - seed7-to-block-forward
        131,373   2%                               - seed7-end-of-defun
         98,075   1%                                - seed7-top-block-name
         81,536   1%                                 - seed7--to-top
         66,048   1%                                  - seed7-re-search-backward
         61,952   1%                                   - run-with-timer
         61,952   1%                                    - run-at-time
         30,208   0%                                     - timer-activate
         30,208   0%                                      - timer--activate
         30,208   0%                                         timer--time-less-p
         19,456   0%                                       timer-relative-time
         12,288   0%                                     - timer-set-time
         12,288   0%                                        timer--time-setter
          4,096   0%                                     re-search-backward
         15,488   0%                                  - run-with-timer
         15,488   0%                                   - run-at-time
          7,552   0%                                    - timer-activate
          7,552   0%                                     - timer--activate
          7,552   0%                                        timer--time-less-p
          4,864   0%                                      timer-relative-time
          3,072   0%                                    - timer-set-time
          3,072   0%                                       timer--time-setter
         16,539   0%                                 - seed7--block-name
         16,539   0%                                  - seed7-re-search-forward
         16,539   0%                                     re-search-forward
         15,488   0%                                - seed7-re-search-backward
         15,488   0%                                 - run-with-timer
         15,488   0%                                  - run-at-time
          7,552   0%                                   - timer-activate
          7,552   0%                                    - timer--activate
          7,552   0%                                       timer--time-less-p
          4,864   0%                                     timer-relative-time
          3,072   0%                                   - timer-set-time
          3,072   0%                                      timer--time-setter
