        2290  89% - ...
        2290  89%  - pel-profile-indentation-test-of
        2290  89%   - call-interactively
        2290  89%    - apply
        2290  89%     - call-interactively@ido-cr+-record-current-command
        2290  89%      - #<primitive-function call-interactively>
        2290  89%       - funcall-interactively
        1740  68%        - pel-profile-all
        1740  68%         - pel-profile-indent
        1740  68%          - pel-profile-indentation-test-of
        1740  68%           - call-interactively
        1740  68%            - apply
        1740  68%             - call-interactively@ido-cr+-record-current-command
        1740  68%              - #<primitive-function call-interactively>
        1740  68%               - funcall-interactively
        1740  68%                - seed7-complete-statement-or-indent
        1740  68%                 - seed7-indent-region
        1740  68%                  - seed7--indent-one-line
        1740  68%                   - seed7-calc-indent
        1395  54%                    - seed7--indent-search-boundary
        1393  54%                     - seed7--indent-search-boundary-uncached
        1358  53%                      - syntax-ppss
        1350  52%                         parse-partial-sexp
           2   0%                         make-closure
           1   0%                         syntax-propertize
           1   0%                         syntax-ppss--update-stats
           1   0%                         syntax-table
           1   0%                         syntax-ppss-toplevel-pos
           1   0%                         syntax-ppss--data
           6   0%                        seed7-to-indent
           1   0%                       looking-at
         106   4%                    - seed7-line-is-defun-end
          81   3%                     - seed7-beg-of-defun
          70   2%                      - seed7-re-search-backward
          38   1%                       - run-with-timer
          38   1%                        - run-at-time
          31   1%                         - timer-activate
          31   1%                          - timer--activate
          31   1%                             timer--time-less-p
           5   0%                         - timer-set-time
           5   0%                            timer--time-setter
           2   0%                           timer-relative-time
          26   1%                       - seed7-inside-comment-p
          26   1%                        - syntax-ppss
          26   1%                           parse-partial-sexp
           6   0%                         re-search-backward
          10   0%                      - seed7-re-search-backward-closest
          10   0%                       - seed7-re-search-backward
           9   0%                          re-search-backward
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           1   0%                        string-match
          18   0%                     - seed7-end-of-defun
          18   0%                      - seed7-top-block-name
          18   0%                       - seed7--to-top
          17   0%                        - seed7-re-search-backward
          12   0%                         - run-with-timer
          12   0%                          - run-at-time
          10   0%                           - timer-activate
          10   0%                            - timer--activate
          10   0%                               timer--time-less-p
           2   0%                           - timer-set-time
           2   0%                              timer--time-setter
           5   0%                         - seed7-inside-comment-p
           5   0%                          - syntax-ppss
           5   0%                             parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           4   0%                     - seed7-move-to-line
           4   0%                      - seed7-to-previous-non-empty-line
           4   0%                       - seed7-inside-comment-p
           4   0%                        - syntax-ppss
           4   0%                           parse-partial-sexp
           2   0%                     - seed7--safe-current-line-defun-start-indent
           2   0%                      - seed7-to-block-backward
           2   0%                       - seed7-re-search-backward
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                       looking-back
          58   2%                    - seed7-line-inside-parens-pair-column
          58   2%                     - seed7-line-inside-parens-pair
          55   2%                      - seed7-re-search-backward
          52   2%                       - run-with-timer
          52   2%                        - run-at-time
          47   1%                         - timer-activate
          47   1%                          - timer--activate
          47   1%                             timer--time-less-p
           4   0%                         - timer-set-time
           4   0%                            timer--time-setter
           1   0%                           timer-relative-time
           2   0%                       - seed7-inside-comment-p
           2   0%                        - syntax-ppss
           2   0%                           parse-partial-sexp
           1   0%                       - seed7-inside-string-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
          47   1%                    - seed7-line-inside-array-definition-block
