     81,110,758  99% - ...
     81,110,758  99%  - call-interactively@ido-cr+-record-current-command
     81,110,758  99%   - #<primitive-function call-interactively>
     81,110,758  99%    - funcall-interactively
     81,110,758  99%     - smex
     81,110,758  99%      - smex-read-and-run
     81,110,758  99%       - execute-extended-command
     81,110,758  99%        - command-execute
     81,110,758  99%         - call-interactively
     81,110,758  99%          - apply
     81,110,758  99%           - call-interactively@ido-cr+-record-current-command
     81,110,758  99%            - #<primitive-function call-interactively>
     81,110,758  99%             - funcall-interactively
     81,110,758  99%              - pel-profile-all
     81,110,758  99%               - pel-profile-indent
     81,110,758  99%                - pel-profile-indentation-test-of
     79,541,226  97%                 - call-interactively
     79,541,226  97%                  - apply
     79,541,226  97%                   - call-interactively@ido-cr+-record-current-command
     79,541,226  97%                    - #<primitive-function call-interactively>
     79,541,226  97%                     - funcall-interactively
     79,541,210  97%                      - seed7-complete-statement-or-indent
     79,541,210  97%                       - seed7-indent-region
     79,541,210  97%                        - seed7--indent-one-line
     79,464,641  97%                         - seed7-calc-indent
     31,218,683  38%                          - seed7-line-inside-a-block-cached
     31,218,683  38%                           - seed7-line-inside-a-block
     26,509,832  32%                            - seed7--safe-enclosing-block-bounds
     26,509,832  32%                             - seed7--block-end-pos-for
     26,212,368  32%                              - seed7-to-block-forward
     23,798,550  29%                               - seed7-end-of-defun
     23,101,028  28%                                - seed7-top-block-name
     22,928,877  28%                                 - seed7--to-top
     22,592,941  27%                                  - seed7-re-search-backward
     22,196,800  27%                                   - run-with-timer
     22,196,800  27%                                    - run-at-time
     15,350,048  18%                                     - timer-activate
     15,350,048  18%                                      - timer--activate
     15,350,048  18%                                         timer--time-less-p
      4,196,384   5%                                       timer-relative-time
      2,650,368   3%                                     - timer-set-time
      2,650,368   3%                                        timer--time-setter
        332,781   0%                                   - seed7-inside-comment-p
        332,781   0%                                    - syntax-ppss
        332,781   0%                                     - syntax-propertize
        332,781   0%                                      - seed7-mode-syntax-propertize
        332,781   0%                                         re-search-forward
         63,360   0%                                     re-search-backward
        335,936   0%                                  - run-with-timer
        335,936   0%                                   - run-at-time
        220,864   0%                                    - timer-activate
        220,864   0%                                     - timer--activate
        220,864   0%                                        timer--time-less-p
         70,528   0%                                      timer-relative-time
         44,544   0%                                    - timer-set-time
         44,544   0%                                       timer--time-setter
        172,151   0%                                 - seed7--block-name
        163,967   0%                                  - seed7-re-search-forward
        163,967   0%                                     re-search-forward
          8,184   0%                                    substring-no-properties
        335,936   0%                                - seed7-re-search-backward
        335,936   0%                                 - run-with-timer
        335,936   0%                                  - run-at-time
        220,864   0%                                   - timer-activate
        220,864   0%                                    - timer--activate
        220,864   0%                                       timer--time-less-p
         70,528   0%                                     timer-relative-time
         44,544   0%                                   - timer-set-time
         44,544   0%                                      timer--time-setter
        256,177   0%                                - seed7-re-search-forward
        250,484   0%                                   re-search-forward
          5,693   0%                                 - seed7-inside-comment-p
          5,693   0%                                  - syntax-ppss
          5,693   0%                                   - syntax-propertize
          5,693   0%                                    - seed7-mode-syntax-propertize
          5,693   0%                                       re-search-forward
         74,313   0%                                  looking-at
         31,096   0%                                  string-match
      1,298,914   1%                               - seed7-re-search-forward
      1,282,538   1%                                  re-search-forward
         16,376   0%                                - seed7-inside-comment-p
         16,376   0%                                 - syntax-ppss
         16,376   0%                                  - syntax-propertize
         16,376   0%                                   - seed7-mode-syntax-propertize
         16,376   0%                                      re-search-forward
        726,000   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        726,000   0%                                  looking-at
        356,168   0%                               - seed7--current-line-nth-word
        356,168   0%                                - thing-at-point
        290,696   0%                                 - bounds-of-thing-at-point
        196,416   0%                                  - #<byte-code-function C99>
        196,416   0%                                   - forward-thing
        196,416   0%                                      format
         57,288   0%                                  - #<byte-code-function B4A>
         57,288   0%                                   - forward-thing
         57,288   0%                                      format
         36,992   0%                                    re-search-forward
         32,736   0%                               - seed7--end-regexp-for
         32,736   0%                                  format
        279,032   0%                              - seed7--line-ends-a-statement-p
        217,592   0%                                 looking-at
         61,440   0%                               - forward-sexp
         61,440   0%                                - seed7--forward-sexp-function
         61,440   0%                                   looking-at
         18,432   0%                                re-search-forward
      2,947,722   3%                            - seed7-re-search-backward
      1,937,424   2%                             - run-with-timer
      1,937,424   2%                              - run-at-time
      1,273,776   1%                               - timer-activate
      1,273,776   1%                                - timer--activate
      1,273,776   1%                                   timer--time-less-p
        406,752   0%                                 timer-relative-time
        256,896   0%                               - timer-set-time
        256,896   0%                                  timer--time-setter
      1,010,298   1%                               re-search-backward
        869,144   1%                            - replace-regexp-in-string
         24,552   0%                               concat
        745,673   0%                            - seed7-calc-indent
        429,625   0%                             - seed7-line-inside-a-block-cached
        429,625   0%                              - seed7-line-inside-a-block
        413,945   0%                               - seed7--safe-enclosing-block-bounds
        413,945   0%                                - seed7--block-end-pos-for
        409,849   0%                                 - seed7-to-block-forward
        404,116   0%                                  - seed7-end-of-defun
        391,516   0%                                   - seed7-top-block-name
        389,520   0%                                    - seed7--to-top
        383,728   0%                                     - seed7-re-search-backward
        382,704   0%                                      - run-with-timer
        382,704   0%                                       - run-at-time
        264,656   0%                                        - timer-activate
        264,656   0%                                         - timer--activate
        264,656   0%                                            timer--time-less-p
         72,352   0%                                          timer-relative-time
         45,696   0%                                        - timer-set-time
         45,696   0%                                           timer--time-setter
          1,024   0%                                        re-search-backward
          5,792   0%                                     - run-with-timer
          5,792   0%                                      - run-at-time
          3,808   0%                                       - timer-activate
          3,808   0%                                        - timer--activate
          3,808   0%                                           timer--time-less-p
          1,216   0%                                         timer-relative-time
            768   0%                                       - timer-set-time
            768   0%                                          timer--time-setter
          1,996   0%                                    - seed7--block-name
