     28,158,873  99% - ...
     28,158,873  99%  - call-interactively@ido-cr+-record-current-command
     28,158,873  99%   - #<primitive-function call-interactively>
     28,158,873  99%    - funcall-interactively
     28,158,873  99%     - smex
     28,158,873  99%      - smex-read-and-run
     28,158,873  99%       - execute-extended-command
     28,158,873  99%        - command-execute
     28,158,873  99%         - call-interactively
     28,158,873  99%          - apply
     28,158,873  99%           - call-interactively@ido-cr+-record-current-command
     28,158,873  99%            - #<primitive-function call-interactively>
     28,158,873  99%             - funcall-interactively
     28,158,873  99%              - pel-profile-all
     28,158,873  99%               - pel-profile-indent
     28,158,873  99%                - pel-profile-indentation-test-of
     26,589,341  94%                 - call-interactively
     26,589,341  94%                  - apply
     26,589,341  94%                   - call-interactively@ido-cr+-record-current-command
     26,589,341  94%                    - #<primitive-function call-interactively>
     26,589,341  94%                     - funcall-interactively
     26,589,325  94%                      - seed7-complete-statement-or-indent
     26,589,325  94%                       - seed7-indent-region
     26,589,325  94%                        - seed7--indent-one-line
     26,361,671  93%                         - seed7-calc-indent
      9,480,037  33%                          - seed7-line-is-defun-end
      5,180,003  18%                           - seed7-end-of-defun
      4,328,187  15%                            - seed7-top-block-name
      4,320,003  15%                             - seed7--to-top
      4,116,723  14%                              - seed7-re-search-backward
      4,050,112  14%                               - run-with-timer
      4,050,112  14%                                - run-at-time
      1,974,848   7%                                 - timer-activate
      1,974,848   7%                                  - timer--activate
      1,974,848   7%                                     timer--time-less-p
      1,271,936   4%                                   timer-relative-time
        803,328   2%                                 - timer-set-time
        803,328   2%                                    timer--time-setter
         66,611   0%                               - seed7-inside-comment-p
         66,611   0%                                - syntax-ppss
         66,611   0%                                 - syntax-propertize
         66,611   0%                                  - seed7-mode-syntax-propertize
         66,611   0%                                     re-search-forward
        203,280   0%                              - run-with-timer
        203,280   0%                               - run-at-time
         99,120   0%                                - timer-activate
         99,120   0%                                 - timer--activate
         99,120   0%                                    timer--time-less-p
         63,840   0%                                  timer-relative-time
         40,320   0%                                - timer-set-time
         40,320   0%                                   timer--time-setter
          8,184   0%                             - seed7--block-name
          8,184   0%                                substring-no-properties
        342,312   1%                            - seed7-re-search-forward
        194,744   0%                             - seed7-inside-comment-p
        194,744   0%                              - syntax-ppss
        194,744   0%                               - syntax-propertize
        194,744   0%                                - seed7-mode-syntax-propertize
        194,744   0%                                   re-search-forward
        147,568   0%                               re-search-forward
        203,280   0%                            - seed7-re-search-backward
        203,280   0%                             - run-with-timer
        203,280   0%                              - run-at-time
         99,120   0%                               - timer-activate
         99,120   0%                                - timer--activate
         99,120   0%                                   timer--time-less-p
         63,840   0%                                 timer-relative-time
         40,320   0%                               - timer-set-time
         40,320   0%                                  timer--time-setter
         90,024   0%                              match-string-no-properties
         71,728   0%                              looking-at
         65,792   0%                              string-match
         45,944   0%                              match-string
         32,736   0%                              substring-no-properties
      1,836,361   6%                           - seed7-beg-of-defun
        657,870   2%                            - seed7-re-search-backward
        505,296   1%                             - run-with-timer
        505,296   1%                              - run-at-time
        246,384   0%                               - timer-activate
        246,384   0%                                - timer--activate
        246,384   0%                                   timer--time-less-p
        158,688   0%                                 timer-relative-time
        100,224   0%                               - timer-set-time
        100,224   0%                                  timer--time-setter
        152,574   0%                               re-search-backward
        354,415   1%                              looking-at
        351,594   1%                            - seed7-re-search-backward-closest
        351,594   1%                             - seed7-re-search-backward
        212,202   0%                                re-search-backward
        139,392   0%                              - run-with-timer
        139,392   0%                               - run-at-time
         67,968   0%                                - timer-activate
         67,968   0%                                 - timer--activate
         67,968   0%                                    timer--time-less-p
         43,776   0%                                  timer-relative-time
         27,648   0%                                - timer-set-time
         27,648   0%                                   timer--time-setter
        321,964   1%                            - seed7-top-block-name
        194,301   0%                             - seed7--to-top
        132,349   0%                              - seed7-re-search-backward
         67,493   0%                                 re-search-backward
         64,856   0%                               - run-with-timer
         64,856   0%                                - run-at-time
         31,624   0%                                 - timer-activate
         31,624   0%                                  - timer--activate
         31,624   0%                                     timer--time-less-p
         20,368   0%                                   timer-relative-time
         12,864   0%                                 - timer-set-time
         12,864   0%                                    timer--time-setter
         61,952   0%                              - run-with-timer
         61,952   0%                               - run-at-time
         30,208   0%                                - timer-activate
         30,208   0%                                 - timer--activate
         30,208   0%                                    timer--time-less-p
         19,456   0%                                  timer-relative-time
         12,288   0%                                - timer-set-time
         12,288   0%                                   timer--time-setter
        127,663   0%                             - seed7--block-name
        127,663   0%                              - seed7-re-search-forward
        127,663   0%                                 re-search-forward
        116,736   0%                              string-match
         17,414   0%                              match-string
         16,368   0%                              match-string-no-properties
      1,157,718   4%                           - seed7-line-starts-with-any
      1,157,718   4%                            - seed7-line-starts-with
      1,141,350   4%                               looking-at
        895,424   3%                             looking-back
        270,336   0%                           - seed7-move-to-line
        270,336   0%                            - seed7-to-previous-non-empty-line
        270,336   0%                               looking-at
         72,659   0%                           - seed7--safe-current-line-defun-start-indent
         72,659   0%                            - seed7-to-block-backward
         63,459   0%                             - seed7-re-search-backward
         41,624   0%                              - run-with-timer
         41,624   0%                               - run-at-time
         20,296   0%                                - timer-activate
         20,296   0%                                 - timer--activate
         20,296   0%                                    timer--time-less-p
         13,072   0%                                  timer-relative-time
          8,256   0%                                - timer-set-time
          8,256   0%                                   timer--time-setter
         21,835   0%                                re-search-backward
          8,184   0%                             - seed7--start-regexp-for
          8,184   0%                              - seed7--type-regexp
          8,184   0%                                 format
          1,016   0%                             - seed7--current-line-nth-word
          1,016   0%                                thing-at-point
         67,536   0%                           - seed7--current-line-nth-word
         67,536   0%                            - thing-at-point
         65,504   0%                             - bounds-of-thing-at-point
         32,768   0%                                re-search-forward
         16,368   0%                              - #<byte-code-function 594>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
         16,368   0%                              - #<byte-code-function 9E5>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
      5,658,335  20%                          - seed7-line-inside-a-block-cached
      5,658,335  20%                           - seed7-line-inside-a-block
      3,372,605  11%                            - seed7--safe-enclosing-block-bounds
      3,372,605  11%                             - seed7--block-end-pos-for
      3,230,533  11%                              - seed7-to-block-forward
      2,331,472   8%                               - seed7-end-of-defun
      2,190,188   7%                                - seed7-top-block-name
      2,179,819   7%                                 - seed7--to-top
      2,079,147   7%                                  - seed7-re-search-backward
      2,040,544   7%                                   - run-with-timer
      2,040,544   7%                                    - run-at-time
        994,976   3%                                     - timer-activate
        994,976   3%                                      - timer--activate
        994,976   3%                                         timer--time-less-p
        640,832   2%                                       timer-relative-time
        404,736   1%                                     - timer-set-time
        404,736   1%                                        timer--time-setter
         34,123   0%                                   - seed7-inside-comment-p
         34,123   0%                                    - syntax-ppss
         34,123   0%                                     - syntax-propertize
         34,123   0%                                      - seed7-mode-syntax-propertize
         34,123   0%                                         re-search-forward
          4,480   0%                                     re-search-backward
        100,672   0%                                  - run-with-timer
        100,672   0%                                   - run-at-time
         49,088   0%                                    - timer-activate
         49,088   0%                                     - timer--activate
         49,088   0%                                        timer--time-less-p
         31,616   0%                                      timer-relative-time
         19,968   0%                                    - timer-set-time
         19,968   0%                                       timer--time-setter
         10,369   0%                                 - seed7--block-name
         10,369   0%                                  - seed7-re-search-forward
         10,369   0%                                     re-search-forward
        100,672   0%                                - seed7-re-search-backward
        100,672   0%                                 - run-with-timer
        100,672   0%                                  - run-at-time
         49,088   0%                                   - timer-activate
         49,088   0%                                    - timer--activate
         49,088   0%                                       timer--time-less-p
         31,616   0%                                     timer-relative-time
         19,968   0%                                   - timer-set-time
         19,968   0%                                      timer--time-setter
         22,648   0%                                - seed7-re-search-forward
         22,648   0%                                   re-search-forward
         12,852   0%                                  looking-at
          4,096   0%                                  string-match
          1,016   0%                                  match-string
        500,589   1%                               - seed7-re-search-forward
        500,589   1%                                  re-search-forward
        281,600   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        281,600   0%                                  looking-at
        116,872   0%                               - seed7--current-line-nth-word
        116,872   0%                                - thing-at-point
         79,056   0%                                 - bounds-of-thing-at-point
         29,952   0%                                    re-search-forward
         24,552   0%                                  - #<byte-code-function 5C0>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
         24,552   0%                                  - #<byte-code-function 624>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
         84,728   0%                                re-search-forward
         40,960   0%                              - seed7--line-ends-a-statement-p
         28,672   0%                                 looking-at
         12,288   0%                               - forward-sexp
         12,288   0%                                - seed7--forward-sexp-function
         12,288   0%                                   looking-at
         11,264   0%                                looking-at
          5,120   0%                              - seed7-re-search-forward-closest
          5,120   0%                               - seed7-re-search-forward
