      8,042,999  99% - ...
      8,042,999  99%  - call-interactively@ido-cr+-record-current-command
      8,042,999  99%   - #<primitive-function call-interactively>
      8,042,999  99%    - funcall-interactively
      8,042,999  99%     - smex
      8,042,999  99%      - smex-read-and-run
      8,042,999  99%       - execute-extended-command
      8,042,999  99%        - command-execute
      8,042,999  99%         - call-interactively
      8,042,999  99%          - apply
      8,042,999  99%           - call-interactively@ido-cr+-record-current-command
      8,042,999  99%            - #<primitive-function call-interactively>
      8,042,999  99%             - funcall-interactively
      8,042,999  99%              - pel-profile-all
      8,042,999  99%               - pel-profile-indent
      8,042,999  99%                - pel-profile-indentation-test-of
      6,481,915  80%                 - call-interactively
      6,481,915  80%                  - apply
      6,481,915  80%                   - call-interactively@ido-cr+-record-current-command
      6,481,915  80%                    - #<primitive-function call-interactively>
      6,481,915  80%                     - funcall-interactively
      6,481,899  80%                      - seed7-complete-statement-or-indent
      6,481,899  80%                       - seed7-indent-region
      6,481,899  80%                        - seed7--indent-one-line
      6,481,899  80%                         - seed7-calc-indent
      1,307,426  16%                          - seed7-line-inside-a-block-cached
      1,307,426  16%                           - seed7-line-inside-a-block
        712,348   8%                            - seed7--safe-enclosing-block-bounds
        712,348   8%                             - seed7--block-end-pos-for
        683,676   8%                              - seed7-to-block-forward
        350,669   4%                               - seed7-end-of-defun
        268,301   3%                                - seed7-top-block-name
        259,817   3%                                 - seed7--to-top
        225,065   2%                                  - seed7-re-search-backward
        212,256   2%                                   - run-with-timer
        212,256   2%                                    - run-at-time
        146,784   1%                                     - timer-activate
        146,784   1%                                      - timer--activate
        146,784   1%                                         timer--time-less-p
         40,128   0%                                       timer-relative-time
         25,344   0%                                     - timer-set-time
         25,344   0%                                        timer--time-setter
          6,665   0%                                   - seed7-inside-comment-p
          6,665   0%                                    - syntax-ppss
          6,665   0%                                     - syntax-propertize
          6,665   0%                                      - seed7-mode-syntax-propertize
          6,665   0%                                         re-search-forward
          6,144   0%                                     re-search-backward
         34,752   0%                                  - run-with-timer
         34,752   0%                                   - run-at-time
         22,848   0%                                    - timer-activate
         22,848   0%                                     - timer--activate
         22,848   0%                                        timer--time-less-p
          7,296   0%                                      timer-relative-time
          4,608   0%                                    - timer-set-time
          4,608   0%                                       timer--time-setter
          8,484   0%                                 - seed7--block-name
          8,484   0%                                  - seed7-re-search-forward
          8,484   0%                                     re-search-forward
         34,752   0%                                - seed7-re-search-backward
         34,752   0%                                 - run-with-timer
         34,752   0%                                  - run-at-time
         22,848   0%                                   - timer-activate
         22,848   0%                                    - timer--activate
         22,848   0%                                       timer--time-less-p
          7,296   0%                                     timer-relative-time
          4,608   0%                                   - timer-set-time
          4,608   0%                                      timer--time-setter
         23,056   0%                                - seed7-re-search-forward
         23,056   0%                                   re-search-forward
         14,328   0%                                  looking-at
          8,184   0%                                  substring-no-properties
          2,048   0%                                  string-match
        188,671   2%                               - seed7-re-search-forward
        188,671   2%                                  re-search-forward
         90,112   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         90,112   1%                                  looking-at
         37,856   0%                               - seed7--current-line-nth-word
         37,856   0%                                - thing-at-point
         37,856   0%                                 - bounds-of-thing-at-point
         24,552   0%                                  - #<byte-code-function 726>
