     16,446,635  99% - ...
     16,446,635  99%  - call-interactively@ido-cr+-record-current-command
     16,446,635  99%   - #<primitive-function call-interactively>
     16,446,635  99%    - funcall-interactively
     16,446,635  99%     - smex
     16,446,635  99%      - smex-read-and-run
     16,446,635  99%       - execute-extended-command
     16,446,635  99%        - command-execute
     16,446,635  99%         - call-interactively
     16,446,635  99%          - apply
     16,446,635  99%           - call-interactively@ido-cr+-record-current-command
     16,446,635  99%            - #<primitive-function call-interactively>
     16,446,635  99%             - funcall-interactively
     16,446,635  99%              - pel-profile-all
     16,446,635  99%               - pel-profile-indent
     16,446,635  99%                - pel-profile-indentation-test-of
     14,882,735  90%                 - call-interactively
     14,882,735  90%                  - apply
     14,882,735  90%                   - call-interactively@ido-cr+-record-current-command
     14,882,735  90%                    - #<primitive-function call-interactively>
     14,882,735  90%                     - funcall-interactively
     14,882,719  90%                      - seed7-complete-statement-or-indent
     14,882,719  90%                       - seed7-indent-region
     14,882,719  90%                        - seed7--indent-one-line
     14,882,719  90%                         - seed7-calc-indent
      5,596,223  33%                          - seed7-line-is-defun-end
      2,898,077  17%                           - seed7-end-of-defun
      2,346,432  14%                            - seed7-top-block-name
      2,346,432  14%                             - seed7--to-top
      2,218,656  13%                              - seed7-re-search-backward
      2,218,656  13%                               - run-with-timer
      2,218,656  13%                                - run-at-time
      1,081,824   6%                                 - timer-activate
      1,081,824   6%                                  - timer--activate
      1,081,824   6%                                     timer--time-less-p
        696,768   4%                                   timer-relative-time
        440,064   2%                                 - timer-set-time
        440,064   2%                                    timer--time-setter
        127,776   0%                              - run-with-timer
        127,776   0%                               - run-at-time
         62,304   0%                                - timer-activate
         62,304   0%                                 - timer--activate
         62,304   0%                                    timer--time-less-p
         40,128   0%                                  timer-relative-time
         25,344   0%                                - timer-set-time
         25,344   0%                                   timer--time-setter
        229,149   1%                            - seed7-re-search-forward
        130,469   0%                             - seed7-inside-comment-p
        130,469   0%                              - syntax-ppss
        130,469   0%                               - syntax-propertize
        130,469   0%                                - seed7-mode-syntax-propertize
        130,469   0%                                   re-search-forward
         98,680   0%                               re-search-forward
        127,776   0%                            - seed7-re-search-backward
        127,776   0%                             - run-with-timer
        127,776   0%                              - run-at-time
         62,304   0%                               - timer-activate
         62,304   0%                                - timer--activate
         62,304   0%                                   timer--time-less-p
         40,128   0%                                 timer-relative-time
         25,344   0%                               - timer-set-time
         25,344   0%                                  timer--time-setter
         65,472   0%                              match-string-no-properties
         61,696   0%                              string-match
         59,368   0%                              looking-at
          8,184   0%                              match-string
      1,336,237   8%                           - seed7-beg-of-defun
        601,175   3%                            - seed7-re-search-backward
        480,128   2%                             - run-with-timer
        480,128   2%                              - run-at-time
        234,112   1%                               - timer-activate
        234,112   1%                                - timer--activate
        234,112   1%                                   timer--time-less-p
        150,784   0%                                 timer-relative-time
         95,232   0%                               - timer-set-time
         95,232   0%                                  timer--time-setter
        121,047   0%                               re-search-backward
        233,787   1%                            - seed7-top-block-name
        140,351   0%                             - seed7--to-top
         97,759   0%                              - seed7-re-search-backward
         55,167   0%                                 re-search-backward
         42,592   0%                               - run-with-timer
         42,592   0%                                - run-at-time
         20,768   0%                                 - timer-activate
         20,768   0%                                  - timer--activate
         20,768   0%                                     timer--time-less-p
         13,376   0%                                   timer-relative-time
          8,448   0%                                 - timer-set-time
          8,448   0%                                    timer--time-setter
         42,592   0%                              - run-with-timer
         42,592   0%                               - run-at-time
         20,768   0%                                - timer-activate
         20,768   0%                                 - timer--activate
         20,768   0%                                    timer--time-less-p
         13,376   0%                                  timer-relative-time
          8,448   0%                                - timer-set-time
          8,448   0%                                   timer--time-setter
         93,436   0%                             - seed7--block-name
         93,436   0%                              - seed7-re-search-forward
         93,436   0%                                 re-search-forward
        229,129   1%                            - seed7-re-search-backward-closest
        229,129   1%                             - seed7-re-search-backward
        143,945   0%                                re-search-backward
         85,184   0%                              - run-with-timer
         85,184   0%                               - run-at-time
         41,536   0%                                - timer-activate
         41,536   0%                                 - timer--activate
         41,536   0%                                    timer--time-less-p
         26,752   0%                                  timer-relative-time
         16,896   0%                                - timer-set-time
         16,896   0%                                   timer--time-setter
        157,514   0%                              looking-at
         57,344   0%                              string-match
         32,736   0%                              match-string-no-properties
          8,184   0%                              substring-no-properties
          8,184   0%                              format
          8,184   0%                              match-string
        699,845   4%                           - seed7-line-starts-with-any
        699,845   4%                            - seed7-line-starts-with
        675,293   4%                               looking-at
        436,176   2%                             looking-back
        131,072   0%                           - seed7-move-to-line
        131,072   0%                            - seed7-to-previous-non-empty-line
        131,072   0%                               looking-at
         55,264   0%                           - seed7--current-line-nth-word
         55,264   0%                            - thing-at-point
         55,264   0%                             - bounds-of-thing-at-point
         24,552   0%                              - #<byte-code-function E09>
         24,552   0%                               - forward-thing
         24,552   0%                                  format
         22,528   0%                                re-search-forward
          8,184   0%                              - #<byte-code-function 714>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
         39,552   0%                           - seed7--safe-current-line-defun-start-indent
         39,552   0%                            - seed7-to-block-backward
         39,552   0%                             - seed7-re-search-backward
         24,200   0%                              - run-with-timer
         24,200   0%                               - run-at-time
         11,800   0%                                - timer-activate
         11,800   0%                                 - timer--activate
         11,800   0%                                    timer--time-less-p
          7,600   0%                                  timer-relative-time
          4,800   0%                                - timer-set-time
          4,800   0%                                   timer--time-setter
         15,352   0%                                re-search-backward
      3,466,240  21%                          - seed7-line-inside-a-block-cached
      3,466,240  21%                           - seed7-line-inside-a-block
      2,792,050  16%                            - seed7--safe-enclosing-block-bounds
      2,792,050  16%                             - seed7--block-end-pos-for
      2,660,474  16%                              - seed7-to-block-forward
      2,237,585  13%                               - seed7-end-of-defun
      2,072,111  12%                                - seed7-top-block-name
      2,058,852  12%                                 - seed7--to-top
      1,973,668  11%                                  - seed7-re-search-backward
      1,943,728  11%                                   - run-with-timer
      1,943,728  11%                                    - run-at-time
        947,776   5%                                     - timer-activate
        947,776   5%                                      - timer--activate
        947,776   5%                                         timer--time-less-p
        610,416   3%                                       timer-relative-time
        385,536   2%                                     - timer-set-time
        385,536   2%                                        timer--time-setter
         22,580   0%                                   - seed7-inside-comment-p
         22,580   0%                                    - syntax-ppss
         22,580   0%                                     - syntax-propertize
         22,580   0%                                      - seed7-mode-syntax-propertize
         22,580   0%                                         re-search-forward
          7,360   0%                                     re-search-backward
         85,184   0%                                  - run-with-timer
         85,184   0%                                   - run-at-time
         41,536   0%                                    - timer-activate
         41,536   0%                                     - timer--activate
         41,536   0%                                        timer--time-less-p
         26,752   0%                                      timer-relative-time
         16,896   0%                                    - timer-set-time
         16,896   0%                                       timer--time-setter
         13,259   0%                                 - seed7--block-name
         13,259   0%                                  - seed7-re-search-forward
         13,259   0%                                     re-search-forward
         85,184   0%                                - seed7-re-search-backward
         85,184   0%                                 - run-with-timer
         85,184   0%                                  - run-at-time
         41,536   0%                                   - timer-activate
         41,536   0%                                    - timer--activate
         41,536   0%                                       timer--time-less-p
         26,752   0%                                     timer-relative-time
         16,896   0%                                   - timer-set-time
         16,896   0%                                      timer--time-setter
         45,490   0%                                - seed7-re-search-forward
         45,490   0%                                   re-search-forward
          9,216   0%                                  looking-at
          9,216   0%                                  string-match
          8,184   0%                                  substring-no-properties
          8,184   0%                                  match-string
        214,945   1%                               - seed7-re-search-forward
        214,945   1%                                  re-search-forward
        137,344   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        137,344   0%                                  looking-at
         70,600   0%                               - seed7--current-line-nth-word
         70,600   0%                                - thing-at-point
         62,416   0%                                 - bounds-of-thing-at-point
