      5,536,166  99% - ...
      5,536,166  99%  - call-interactively@ido-cr+-record-current-command
      5,536,166  99%   - #<primitive-function call-interactively>
      5,536,166  99%    - funcall-interactively
      5,536,166  99%     - smex
      5,536,166  99%      - smex-read-and-run
      5,536,166  99%       - execute-extended-command
      5,536,166  99%        - command-execute
      5,536,166  99%         - call-interactively
      5,536,166  99%          - apply
      5,536,166  99%           - call-interactively@ido-cr+-record-current-command
      5,536,166  99%            - #<primitive-function call-interactively>
      5,536,166  99%             - funcall-interactively
      5,536,166  99%              - pel-profile-all
      5,536,166  99%               - pel-profile-indent
      5,536,166  99%                - pel-profile-indentation-test-of
      3,975,082  71%                 - call-interactively
      3,975,082  71%                  - apply
      3,975,082  71%                   - call-interactively@ido-cr+-record-current-command
      3,975,082  71%                    - #<primitive-function call-interactively>
      3,975,082  71%                     - funcall-interactively
      3,975,066  71%                      - seed7-complete-statement-or-indent
      3,975,066  71%                       - seed7-indent-region
      3,975,066  71%                        - seed7--indent-one-line
      3,975,066  71%                         - seed7-calc-indent
        766,214  13%                          - seed7-line-inside-a-block-cached
        766,214  13%                           - seed7-line-inside-a-block
        501,086   9%                            - seed7--safe-enclosing-block-bounds
        501,086   9%                             - seed7--block-end-pos-for
        458,078   8%                              - seed7-to-block-forward
        255,793   4%                               - seed7-end-of-defun
        195,129   3%                                - seed7-top-block-name
        185,301   3%                                 - seed7--to-top
        158,197   2%                                  - seed7-re-search-backward
        128,744   2%                                   - run-with-timer
        128,744   2%                                    - run-at-time
         62,776   1%                                     - timer-activate
         62,776   1%                                      - timer--activate
         62,776   1%                                         timer--time-less-p
         40,432   0%                                       timer-relative-time
         25,536   0%                                     - timer-set-time
         25,536   0%                                        timer--time-setter
         15,672   0%                                     re-search-backward
         13,781   0%                                   - seed7-inside-comment-p
         13,781   0%                                    - syntax-ppss
         13,781   0%                                     - syntax-propertize
         13,781   0%                                      - seed7-mode-syntax-propertize
         13,781   0%                                         re-search-forward
         27,104   0%                                  - run-with-timer
         27,104   0%                                   - run-at-time
         13,216   0%                                    - timer-activate
         13,216   0%                                     - timer--activate
         13,216   0%                                        timer--time-less-p
          8,512   0%                                      timer-relative-time
          5,376   0%                                    - timer-set-time
          5,376   0%                                       timer--time-setter
          9,828   0%                                 - seed7--block-name
          9,828   0%                                  - seed7-re-search-forward
          9,828   0%                                     re-search-forward
         27,104   0%                                - seed7-re-search-backward
         27,104   0%                                 - run-with-timer
         27,104   0%                                  - run-at-time
         13,216   0%                                   - timer-activate
         13,216   0%                                    - timer--activate
         13,216   0%                                       timer--time-less-p
          8,512   0%                                     timer-relative-time
          5,376   0%                                   - timer-set-time
          5,376   0%                                      timer--time-setter
         21,256   0%                                - seed7-re-search-forward
         21,256   0%                                   re-search-forward
          8,208   0%                                  looking-at
          4,096   0%                                  string-match
        113,221   2%                               - seed7-re-search-forward
        113,221   2%                                  re-search-forward
         60,416   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         60,416   1%                                  looking-at
         20,464   0%                               - seed7--current-line-nth-word
         20,464   0%                                - thing-at-point
         20,464   0%                                 - bounds-of-thing-at-point
         16,368   0%                                  - #<byte-code-function 754>
         16,368   0%                                   - forward-thing
         16,368   0%                                      format
          4,096   0%                                    re-search-forward
          8,184   0%                               - seed7--end-regexp-for
          8,184   0%                                  format
         28,672   0%                              - seed7--line-ends-a-statement-p
         18,432   0%                                 looking-at
         10,240   0%                               - forward-sexp
         10,240   0%                                - seed7--forward-sexp-function
         10,240   0%                                   looking-at
         14,336   0%                                re-search-forward
        151,848   2%                            - seed7-re-search-backward
         86,152   1%                             - run-with-timer
         86,152   1%                              - run-at-time
         42,008   0%                               - timer-activate
         42,008   0%                                - timer--activate
         42,008   0%                                   timer--time-less-p
         27,056   0%                                 timer-relative-time
         17,088   0%                               - timer-set-time
         17,088   0%                                  timer--time-setter
         65,696   1%                               re-search-backward
         64,512   1%                              replace-regexp-in-string
         29,320   0%                            - seed7-calc-indent
          8,184   0%                             - seed7-line-is-defun-end
          8,184   0%                                looking-back
          2,960   0%                             - seed7-line-at-endof-array-definition-block
          2,960   0%                              - seed7-line-code-ends-with
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,184   0%                             - seed7-line-inside-set-definition-block
          2,184   0%                              - seed7-re-search-backward
