         545  88% - ...
         545  88%  - pel-profile-indentation-test-of
         545  88%   - call-interactively
         545  88%    - apply
         545  88%     - call-interactively@ido-cr+-record-current-command
         545  88%      - #<primitive-function call-interactively>
         545  88%       - funcall-interactively
         450  73%        - pel-profile-all
         450  73%         - pel-profile-indent
         450  73%          - pel-profile-indentation-test-of
         450  73%           - call-interactively
         450  73%            - apply
         450  73%             - call-interactively@ido-cr+-record-current-command
         450  73%              - #<primitive-function call-interactively>
         450  73%               - funcall-interactively
         450  73%                - seed7-complete-statement-or-indent
         450  73%                 - seed7-indent-region
         450  73%                  - seed7--indent-one-line
         450  73%                   - seed7-calc-indent
         168  27%                    - seed7--indent-search-boundary
         168  27%                     - seed7--indent-search-boundary-uncached
         166  26%                      - syntax-ppss
         165  26%                         parse-partial-sexp
         108  17%                    - seed7-line-inside-parens-pair-column
         108  17%                     - seed7-line-inside-parens-pair
         107  17%                      - seed7-re-search-backward
          77  12%                       - run-with-timer
          77  12%                        - run-at-time
          65  10%                         - timer-activate
          65  10%                          - timer--activate
          65  10%                             timer--time-less-p
          11   1%                         - timer-set-time
          11   1%                            timer--time-setter
           1   0%                           timer-relative-time
          27   4%                       - seed7-inside-comment-p
          27   4%                        - syntax-ppss
          27   4%                           parse-partial-sexp
           2   0%                       - seed7-inside-string-p
           2   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                           syntax-ppss--update-stats
          71  11%                    - seed7-line-inside-a-block-cached
          71  11%                     - seed7-line-inside-a-block
          52   8%                      - seed7--safe-enclosing-block-bounds
          52   8%                       - seed7--block-end-pos-for
          51   8%                        - seed7-to-block-forward
          47   7%                         - seed7-end-of-defun
          42   6%                          - seed7-top-block-name
          42   6%                           - seed7--to-top
          42   6%                            - seed7-re-search-backward
          38   6%                             - run-with-timer
          38   6%                              - run-at-time
          29   4%                               - timer-activate
          29   4%                                - timer--activate
          29   4%                                   timer--time-less-p
           8   1%                               - timer-set-time
           8   1%                                  timer--time-setter
           1   0%                                 timer-relative-time
           4   0%                             - seed7-inside-comment-p
           4   0%                              - syntax-ppss
           4   0%                                 parse-partial-sexp
           4   0%                          - seed7-re-search-backward
           3   0%                           - run-with-timer
           3   0%                            - run-at-time
           2   0%                             - timer-set-time
           2   0%                                timer--time-setter
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                          - seed7-re-search-forward
           1   0%                             re-search-forward
           4   0%                         - seed7-re-search-forward
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           2   0%                          - seed7-inside-string-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                        - seed7--line-ends-a-statement-p
           1   0%                           looking-at
          17   2%                      - seed7-re-search-backward
           9   1%                       - seed7-inside-comment-p
           9   1%                        - syntax-ppss
           9   1%                           parse-partial-sexp
           8   1%                       - run-with-timer
           8   1%                        - run-at-time
           6   0%                         - timer-activate
           6   0%                          - timer--activate
           6   0%                             timer--time-less-p
           2   0%                         - timer-set-time
           2   0%                            timer--time-setter
           2   0%                      - seed7-calc-indent
           1   0%                       - seed7-line-inside-parens-pair-column
           1   0%                        - seed7-line-inside-parens-pair
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                       - seed7-line-inside-a-block-cached
           1   0%                        - seed7-line-inside-a-block
           1   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
          47   7%                    - seed7-comment-column
          47   7%                     - seed7-calc-indent
          37   6%                      - seed7-line-inside-parens-pair-column
          37   6%                       - seed7-line-inside-parens-pair
          37   6%                        - seed7-re-search-backward
          21   3%                         - run-with-timer
          21   3%                          - run-at-time
          18   2%                           - timer-activate
          18   2%                            - timer--activate
          18   2%                               timer--time-less-p
           3   0%                           - timer-set-time
           3   0%                              timer--time-setter
          15   2%                         - seed7-inside-comment-p
          15   2%                          - syntax-ppss
          15   2%                             parse-partial-sexp
           1   0%                           re-search-backward
           6   0%                      - seed7-line-inside-a-block-cached
           6   0%                       - seed7-line-inside-a-block
           5   0%                        - seed7-re-search-backward
           3   0%                         - run-with-timer
           3   0%                          - run-at-time
           3   0%                           - timer-activate
           3   0%                            - timer--activate
           3   0%                               timer--time-less-p
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           1   0%                        - seed7--safe-enclosing-block-bounds
           1   0%                         - seed7--block-end-pos-for
           1   0%                          - seed7-to-block-forward
           1   0%                           - seed7-re-search-forward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           2   0%                      - seed7-line-inside-argument-list-section
           2   0%                       - seed7-re-search-backward
           2   0%                        - run-with-timer
           2   0%                         - run-at-time
           2   0%                          - timer-activate
           2   0%                           - timer--activate
           2   0%                              timer--time-less-p
           1   0%                      - seed7-line-inside-assign-statement-continuation
           1   0%                       - seed7-assign-op-pos
           1   0%                        - seed7-re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                             timer-relative-time
           1   0%                      - seed7-line-at-endof-array-definition-block
           1   0%                       - seed7-move-to-line
           1   0%                        - seed7-to-previous-non-empty-line
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
          11   1%                    - seed7-line-inside-argument-list-section
          10   1%                     - seed7-re-search-backward
           9   1%                      - run-with-timer
           9   1%                       - run-at-time
           7   1%                        - timer-activate
           7   1%                         - timer--activate
           7   1%                            timer--time-less-p
           2   0%                        - timer-set-time
           2   0%                           timer--time-setter
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           1   0%                     - seed7-line-is-procfunc-beg-of-decl
           1   0%                      - seed7-line-starts-with
           1   0%                         looking-at
           9   1%                    - seed7-line-inside-assign-statement-continuation
           9   1%                     - seed7-assign-op-pos
           9   1%                      - seed7-re-search-backward
           6   0%                       - seed7-inside-comment-p
           6   0%                        - syntax-ppss
           6   0%                           parse-partial-sexp
           3   0%                       - run-with-timer
           3   0%                        - run-at-time
           3   0%                         - timer-activate
           3   0%                          - timer--activate
           3   0%                             timer--time-less-p
           8   1%                    - seed7-line-inside-array-definition-block
           8   1%                     - seed7-re-search-backward
           4   0%                      - run-with-timer
           4   0%                       - run-at-time
           3   0%                        - timer-activate
           3   0%                         - timer--activate
           3   0%                            timer--time-less-p
           1   0%                        - timer-set-time
           1   0%                           timer--time-setter
           4   0%                        re-search-backward
           7   1%                    - seed7-line-is-defun-end
           7   1%                     - seed7-end-of-defun
