      7,237,468  99% - ...
      7,237,468  99%  - call-interactively@ido-cr+-record-current-command
      7,237,468  99%   - #<primitive-function call-interactively>
      7,237,468  99%    - funcall-interactively
      7,237,468  99%     - smex
      7,237,468  99%      - smex-read-and-run
      7,237,468  99%       - execute-extended-command
      7,237,468  99%        - command-execute
      7,237,468  99%         - call-interactively
      7,237,468  99%          - apply
      7,237,468  99%           - call-interactively@ido-cr+-record-current-command
      7,237,468  99%            - #<primitive-function call-interactively>
      7,237,468  99%             - funcall-interactively
      7,237,468  99%              - pel-profile-all
      7,237,468  99%               - pel-profile-indent
      7,237,468  99%                - pel-profile-indentation-test-of
      5,676,384  78%                 - call-interactively
      5,676,384  78%                  - apply
      5,676,384  78%                   - call-interactively@ido-cr+-record-current-command
      5,676,384  78%                    - #<primitive-function call-interactively>
      5,676,384  78%                     - funcall-interactively
      5,676,368  78%                      - seed7-complete-statement-or-indent
      5,676,368  78%                       - seed7-indent-region
      5,676,368  78%                        - seed7--indent-one-line
      5,676,368  78%                         - seed7-calc-indent
      4,872,032  67%                          - seed7-comment-column
      4,784,056  66%                           - seed7-calc-indent
      4,364,549  60%                            - seed7-line-inside-parens-pair-column
      4,364,549  60%                             - seed7-line-inside-parens-pair
      4,350,853  60%                              - seed7-re-search-backward
      3,981,384  54%                               - run-with-timer
      3,981,384  54%                                - run-at-time
      1,941,336  26%                                 - timer-activate
      1,941,336  26%                                  - timer--activate
      1,941,336  26%                                     timer--time-less-p
      1,250,352  17%                                   timer-relative-time
        789,696  10%                                 - timer-set-time
        789,696  10%                                    timer--time-setter
        350,909   4%                               - seed7-inside-comment-p
        350,909   4%                                - syntax-ppss
        350,909   4%                                   #<byte-code-function 1C0>
         18,560   0%                                 re-search-backward
         13,696   0%                              - forward-sexp
         13,696   0%                               - seed7--forward-sexp-function
         13,696   0%                                  looking-at
         69,096   0%                            - seed7-line-inside-a-block-cached
         69,096   0%                             - seed7-line-inside-a-block
         69,096   0%                              - seed7-re-search-backward
         43,560   0%                               - run-with-timer
         43,560   0%                                - run-at-time
         21,240   0%                                 - timer-activate
         21,240   0%                                  - timer--activate
         21,240   0%                                     timer--time-less-p
         13,680   0%                                   timer-relative-time
          8,640   0%                                 - timer-set-time
          8,640   0%                                    timer--time-setter
         25,536   0%                                 re-search-backward
         49,192   0%                            - seed7-line-inside-set-definition-block
         49,192   0%                             - seed7-re-search-backward
         43,560   0%                              - run-with-timer
         43,560   0%                               - run-at-time
         21,240   0%                                - timer-activate
         21,240   0%                                 - timer--activate
         21,240   0%                                    timer--time-less-p
         13,680   0%                                  timer-relative-time
          8,640   0%                                - timer-set-time
          8,640   0%                                   timer--time-setter
          5,632   0%                                re-search-backward
         48,887   0%                            - seed7-line-inside-array-definition-block
         48,887   0%                             - seed7-re-search-backward
