      4,918,106  99% - ...
      4,918,106  99%  - call-interactively@ido-cr+-record-current-command
      4,918,106  99%   - #<primitive-function call-interactively>
      4,918,106  99%    - funcall-interactively
      4,918,106  99%     - smex
      4,918,106  99%      - smex-read-and-run
      4,918,106  99%       - execute-extended-command
      4,918,106  99%        - command-execute
      4,918,106  99%         - call-interactively
      4,918,106  99%          - apply
      4,918,106  99%           - call-interactively@ido-cr+-record-current-command
      4,918,106  99%            - #<primitive-function call-interactively>
      4,918,106  99%             - funcall-interactively
      4,918,106  99%              - pel-profile-all
      4,918,106  99%               - pel-profile-indent
      4,918,106  99%                - pel-profile-indentation-test-of
      3,357,022  68%                 - call-interactively
      3,357,022  68%                  - apply
      3,357,022  68%                   - call-interactively@ido-cr+-record-current-command
      3,357,022  68%                    - #<primitive-function call-interactively>
      3,357,022  68%                     - funcall-interactively
      3,357,006  68%                      - seed7-complete-statement-or-indent
      3,357,006  68%                       - seed7-indent-region
      3,357,006  68%                        - seed7--indent-one-line
      3,357,006  68%                         - seed7-calc-indent
        663,312  13%                          - seed7-line-inside-parens-pair-column
        663,312  13%                           - seed7-line-inside-parens-pair
        638,736  12%                            - seed7-re-search-backward
        593,680  12%                             - run-with-timer
        593,680  12%                              - run-at-time
        390,320   7%                               - timer-activate
        390,320   7%                                - timer--activate
        390,320   7%                                   timer--time-less-p
        124,640   2%                                 timer-relative-time
         78,720   1%                               - timer-set-time
         78,720   1%                                  timer--time-setter
         45,056   0%                               re-search-backward
         24,576   0%                            - forward-sexp
         24,576   0%                             - seed7--forward-sexp-function
         24,576   0%                                looking-at
        497,720  10%                          - seed7-line-inside-a-block-cached
        497,720  10%                           - seed7-line-inside-a-block
        233,568   4%                            - seed7--safe-enclosing-block-bounds
        233,568   4%                             - seed7--block-end-pos-for
        229,472   4%                              - seed7-to-block-forward
         91,085   1%                               - seed7-re-search-forward
         91,085   1%                                  re-search-forward
         86,171   1%                               - seed7-end-of-defun
         66,395   1%                                - seed7-top-block-name
         54,111   1%                                 - seed7--to-top
         42,527   0%                                  - seed7-re-search-backward
         32,160   0%                                   - run-with-timer
         32,160   0%                                    - run-at-time
         22,240   0%                                     - timer-activate
         22,240   0%                                      - timer--activate
         22,240   0%                                         timer--time-less-p
          6,080   0%                                       timer-relative-time
          3,840   0%                                     - timer-set-time
          3,840   0%                                        timer--time-setter
         10,367   0%                                     re-search-backward
         11,584   0%                                  - run-with-timer
         11,584   0%                                   - run-at-time
          7,616   0%                                    - timer-activate
          7,616   0%                                     - timer--activate
          7,616   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
         12,284   0%                                 - seed7--block-name
         12,284   0%                                  - seed7-re-search-forward
         12,284   0%                                     re-search-forward
         11,584   0%                                - seed7-re-search-backward
         11,584   0%                                 - run-with-timer
         11,584   0%                                  - run-at-time
          7,616   0%                                   - timer-activate
          7,616   0%                                    - timer--activate
          7,616   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
          4,096   0%                                - seed7-re-search-forward
          4,096   0%                                   re-search-forward
          2,048   0%                                  looking-at
          2,048   0%                                  string-match
         43,008   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         43,008   0%                                  looking-at
          9,208   0%                               - seed7--current-line-nth-word
          9,208   0%                                - thing-at-point
          9,208   0%                                 - bounds-of-thing-at-point
          8,184   0%                                  - #<byte-code-function 029>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          1,024   0%                                    re-search-forward
          4,096   0%                              - seed7--line-ends-a-statement-p
          4,096   0%                                 looking-at
        172,040   3%                            - seed7-re-search-backward
        118,736   2%                             - run-with-timer
        118,736   2%                              - run-at-time
         78,064   1%                               - timer-activate
         78,064   1%                                - timer--activate
         78,064   1%                                   timer--time-less-p
         24,928   0%                                 timer-relative-time
         15,744   0%                               - timer-set-time
         15,744   0%                                  timer--time-setter
         53,304   1%                               re-search-backward
         59,376   1%                              replace-regexp-in-string
         32,736   0%                            - seed7-calc-indent
         12,184   0%                             - seed7-line-at-endof-array-definition-block
          5,792   0%                              - backward-sexp
          5,792   0%                               - forward-sexp
          5,792   0%                                - seed7--forward-sexp-function
          2,896   0%                                 - seed7--at-array-definition-end-line-p
          2,896   0%                                  - seed7-line-code-ends-with
          2,896   0%                                   - seed7-re-search-backward
          2,896   0%                                    - run-with-timer
          2,896   0%                                     - run-at-time
          1,904   0%                                      - timer-activate
          1,904   0%                                       - timer--activate
          1,904   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          2,896   0%                                 - seed7--at-set-definition-end-line-p
          2,896   0%                                  - seed7-line-code-ends-with
          2,896   0%                                   - seed7-re-search-backward
          2,896   0%                                    - run-with-timer
          2,896   0%                                     - run-at-time
          1,904   0%                                      - timer-activate
          1,904   0%                                       - timer--activate
          1,904   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          3,920   0%                              - seed7-line-code-ends-with
          3,920   0%                               - seed7-re-search-backward
          2,896   0%                                - run-with-timer
          2,896   0%                                 - run-at-time
          1,904   0%                                  - timer-activate
          1,904   0%                                   - timer--activate
          1,904   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          1,448   0%                              - seed7-re-search-backward
          1,448   0%                               - run-with-timer
          1,448   0%                                - run-at-time
            952   0%                                 - timer-activate
            952   0%                                  - timer--activate
            952   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                looking-at
          4,520   0%                             - seed7-line-inside-array-definition-block
          2,472   0%                              - seed7-re-search-backward
          1,448   0%                               - run-with-timer
          1,448   0%                                - run-at-time
            952   0%                                 - timer-activate
            952   0%                                  - timer--activate
            952   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,048   0%                              - forward-sexp
          2,048   0%                               - seed7--forward-sexp-function
          2,048   0%                                  looking-at
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                               - seed7-to-previous-non-empty-line
          1,024   0%                                  looking-at
          3,920   0%                             - seed7-line-inside-a-block-cached
          3,920   0%                              - seed7-line-inside-a-block
          3,920   0%                               - seed7-re-search-backward
          2,896   0%                                - run-with-timer
