     13,800,388  99% - ...
     13,800,388  99%  - call-interactively@ido-cr+-record-current-command
     13,800,388  99%   - #<primitive-function call-interactively>
     13,800,388  99%    - funcall-interactively
     13,800,388  99%     - smex
     13,800,388  99%      - smex-read-and-run
     13,800,388  99%       - execute-extended-command
     13,800,388  99%        - command-execute
     13,800,388  99%         - call-interactively
     13,800,388  99%          - apply
     13,800,388  99%           - call-interactively@ido-cr+-record-current-command
     13,800,388  99%            - #<primitive-function call-interactively>
     13,800,388  99%             - funcall-interactively
     13,800,388  99%              - pel-profile-all
     13,800,388  99%               - pel-profile-indent
     13,800,388  99%                - pel-profile-indentation-test-of
     12,236,488  88%                 - call-interactively
     12,236,488  88%                  - apply
     12,236,488  88%                   - call-interactively@ido-cr+-record-current-command
     12,236,488  88%                    - #<primitive-function call-interactively>
     12,236,488  88%                     - funcall-interactively
     12,236,472  88%                      - seed7-complete-statement-or-indent
     12,236,472  88%                       - seed7-indent-region
     12,236,472  88%                        - seed7--indent-one-line
     12,236,472  88%                         - seed7-calc-indent
      2,675,458  19%                          - seed7-line-inside-a-block-cached
      2,675,458  19%                           - seed7-line-inside-a-block
      1,288,845   9%                            - seed7--safe-enclosing-block-bounds
      1,280,557   9%                             - seed7--block-end-pos-for
      1,265,197   9%                              - seed7-to-block-forward
        841,761   6%                               - seed7-re-search-forward
        549,972   3%                                - seed7-inside-comment-p
        541,684   3%                                 - syntax-ppss
        541,684   3%                                  - syntax-propertize
        541,684   3%                                   - seed7-mode-syntax-propertize
        541,684   3%                                      re-search-forward
        246,205   1%                                  re-search-forward
         45,584   0%                                - seed7-inside-string-p
         16,576   0%                                 - syntax-ppss
         16,576   0%                                    make-closure
         16,576   0%                                   match-data
         12,432   0%                                   make-closure
        200,704   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        200,704   1%                                  looking-at
        144,504   1%                               - seed7--current-line-nth-word
        136,216   0%                                - thing-at-point
        119,848   0%                                 - bounds-of-thing-at-point
         90,024   0%                                  - #<byte-code-function 78C>
         90,024   0%                                   - forward-thing
         90,024   0%                                      format
         16,368   0%                                  - #<byte-code-function 9BA>
         16,368   0%                                   - forward-thing
         16,368   0%                                      format
          8,288   0%                                    make-closure
          4,144   0%                                  - seq-some
          4,144   0%                                     make-closure
          1,024   0%                                    re-search-forward
         69,940   0%                               - seed7-end-of-defun
         39,164   0%                                - seed7-top-block-name
         36,144   0%                                 - seed7--to-top
         24,560   0%                                  - seed7-re-search-backward
         22,512   0%                                   - run-with-timer
         22,512   0%                                    - run-at-time
         15,568   0%                                     - timer-activate
         15,568   0%                                      - timer--activate
         15,568   0%                                         timer--time-less-p
          4,256   0%                                       timer-relative-time
          2,688   0%                                     - timer-set-time
          2,688   0%                                        timer--time-setter
          2,048   0%                                     re-search-backward
         11,584   0%                                  - run-with-timer
         11,584   0%                                   - run-at-time
          7,616   0%                                    - timer-activate
          7,616   0%                                     - timer--activate
          7,616   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
          3,020   0%                                 - seed7--block-name
          3,020   0%                                  - seed7-re-search-forward
          3,020   0%                                     re-search-forward
         14,184   0%                                - seed7-re-search-forward
          7,504   0%                                 - seed7-inside-comment-p
          7,504   0%                                  - syntax-ppss
          7,504   0%                                   - syntax-propertize
          7,504   0%                                    - seed7-mode-syntax-propertize
          7,504   0%                                       re-search-forward
          6,680   0%                                   re-search-forward
         11,584   0%                                - seed7-re-search-backward
         11,584   0%                                 - run-with-timer
         11,584   0%                                  - run-at-time
          7,616   0%                                   - timer-activate
          7,616   0%                                    - timer--activate
          7,616   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
          2,960   0%                                  looking-at
          2,048   0%                                  string-match
          8,288   0%                                 seed7-inside-line-indent-before-comment-p
         11,264   0%                              - seed7-to-next-line-starts-with
         11,264   0%                               - seed7-re-search-forward
         11,264   0%                                  re-search-forward
          4,096   0%                              - seed7--line-ends-a-statement-p
          4,096   0%                                 looking-at
      1,071,509   7%                            - seed7-re-search-backward
        842,736   6%                             - run-with-timer
        842,736   6%                              - run-at-time
        554,064   4%                               - timer-activate
        554,064   4%                                - timer--activate
        554,064   4%                                   timer--time-less-p
        176,928   1%                                 timer-relative-time
        111,744   0%                               - timer-set-time
        111,744   0%                                  timer--time-setter
        228,773   1%                               re-search-backward
        242,704   1%                              replace-regexp-in-string
         32,496   0%                            - seed7-calc-indent
          4,224   0%                             - seed7-line-is-defun-end
          3,200   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                               - seed7-to-previous-non-empty-line
          1,024   0%                                  looking-at
          3,920   0%                             - seed7-line-inside-a-block-cached
          3,920   0%                              - seed7-line-inside-a-block
          3,920   0%                               - seed7-re-search-backward
          2,896   0%                                - run-with-timer
          2,896   0%                                 - run-at-time
          1,904   0%                                  - timer-activate
          1,904   0%                                   - timer--activate
          1,904   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          3,920   0%                             - seed7-line-at-endof-array-definition-block
          3,920   0%                              - seed7-line-code-ends-with
          3,920   0%                               - seed7-re-search-backward
          2,896   0%                                - run-with-timer
          2,896   0%                                 - run-at-time
          1,904   0%                                  - timer-activate
          1,904   0%                                   - timer--activate
          1,904   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,896   0%                             - seed7-line-at-endof-set-definition-block
          2,896   0%                              - seed7-line-code-ends-with
          2,896   0%                               - seed7-re-search-backward
          2,896   0%                                - run-with-timer
          2,896   0%                                 - run-at-time
          1,904   0%                                  - timer-activate
          1,904   0%                                   - timer--activate
          1,904   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          2,528   0%                             - seed7-line-after-short-func-end
          2,528   0%                                looking-at
          2,472   0%                             - seed7-line-inside-array-definition-block
          2,472   0%                              - seed7-re-search-backward
          1,448   0%                               - run-with-timer
          1,448   0%                                - run-at-time
            952   0%                                 - timer-activate
            952   0%                                  - timer--activate
            952   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,472   0%                             - seed7-line-inside-set-definition-block
          2,472   0%                              - seed7-re-search-backward
          1,448   0%                               - run-with-timer
          1,448   0%                                - run-at-time
            952   0%                                 - timer-activate
            952   0%                                  - timer--activate
            952   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,472   0%                             - seed7-line-inside-assign-statement-continuation
          2,472   0%                              - seed7-assign-op-pos
          2,472   0%                               - seed7-re-search-backward
          1,448   0%                                - run-with-timer
          1,448   0%                                 - run-at-time
            952   0%                                  - timer-activate
            952   0%                                   - timer--activate
            952   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,472   0%                             - seed7-line-inside-parens-pair-column
          2,472   0%                              - seed7-line-inside-parens-pair
          2,472   0%                               - seed7-re-search-backward
          1,448   0%                                - run-with-timer
          1,448   0%                                 - run-at-time
            952   0%                                  - timer-activate
            952   0%                                   - timer--activate
            952   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                              - seed7-line-starts-with
          1,024   0%                                 looking-at
          1,024   0%                             - seed7-line-starts-with
          1,024   0%                                looking-at
          1,024   0%                             - seed7-line-after-func-return-logic-operator-column
          1,024   0%                                re-search-forward
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                              - seed7-line-starts-with
          1,024   0%                                 looking-at
          1,024   0%                             - seed7-line-indent-step
          1,024   0%                                looking-at
         16,368   0%                              buffer-substring-no-properties
          8,184   0%                              substring-no-properties
          8,184   0%                              match-string
          7,168   0%                            - seed7--indent-offset-for
          7,168   0%                               string-match
      1,953,360  14%                          - seed7-line-inside-parens-pair-column
      1,953,360  14%                           - seed7-line-inside-parens-pair
      1,713,616  12%                            - seed7-re-search-backward
      1,508,816  10%                             - run-with-timer
      1,508,816  10%                              - run-at-time
        991,984   7%                               - timer-activate
        991,984   7%                                - timer--activate
        991,984   7%                                   timer--time-less-p
        316,768   2%                                 timer-relative-time
        200,064   1%                               - timer-set-time
        200,064   1%                                  timer--time-setter
        204,800   1%                               re-search-backward
        239,744   1%                            - forward-sexp
        239,744   1%                             - seed7--forward-sexp-function
        239,744   1%                                looking-at
      1,733,642  12%                          - seed7-line-is-defun-end
        730,880   5%                             looking-back
        567,745   4%                           - seed7--current-line-nth-word
        567,745   4%                            - thing-at-point
        543,193   3%                             - bounds-of-thing-at-point
        526,825   3%                              - #<byte-code-function DC0>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
         16,368   0%                              - #<byte-code-function 130>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
        211,960   1%                           - seed7-move-to-line
        211,960   1%                            - seed7-to-previous-non-empty-line
        211,960   1%                               looking-at
        184,741   1%                           - seed7-line-starts-with-any
        184,741   1%                            - seed7-line-starts-with
        184,741   1%                               looking-at
