           5  50% - ...
           5  50%  - call-interactively
           5  50%   - apply
           5  50%    - call-interactively@ido-cr+-record-current-command
           5  50%     - #<primitive-function call-interactively>
           5  50%      - funcall-interactively
           5  50%       - seed7-complete-statement-or-indent
           5  50%        - seed7-indent-region
           5  50%         - seed7--indent-one-line
           5  50%          - seed7-calc-indent
           2  20%           - seed7-comment-column
           2  20%            - seed7-calc-indent
           1  10%             - seed7-line-after-func-return-logic-operator-column
           1  10%              - seed7-move-to-line
           1  10%               - seed7-to-previous-non-empty-line
           1  10%                - seed7-inside-comment-p
           1  10%                 - syntax-ppss
           1  10%                    parse-partial-sexp
           1  10%             - seed7-line-at-endof-set-definition-block
           1  10%              - seed7-move-to-line
           1  10%               - seed7-to-previous-non-empty-line
           1  10%                - seed7-inside-comment-p
           1  10%                 - syntax-ppss
           1  10%                    parse-partial-sexp
           1  10%           - seed7-line-inside-a-block-cached
           1  10%            - seed7-line-inside-a-block
           1  10%             - seed7--safe-enclosing-block-bounds
           1  10%              - seed7--block-end-pos-for
           1  10%               - seed7-to-block-forward
           1  10%                - seed7-re-search-forward
           1  10%                 - seed7-inside-comment-p
           1  10%                  - syntax-ppss
           1  10%                     parse-partial-sexp
           1  10%           - seed7-line-inside-assign-statement-continuation
           1  10%            - seed7-assign-op-pos
           1  10%             - seed7-re-search-backward
           1  10%              - run-with-timer
           1  10%               - run-at-time
           1  10%                - timer-activate
           1  10%                 - timer--activate
           1  10%                    timer--time-less-p
           1  10%           - seed7-line-inside-parens-pair-column
           1  10%            - seed7-line-inside-parens-pair
           1  10%             - seed7-re-search-backward
           1  10%              - run-with-timer
           1  10%               - run-at-time
           1  10%                - timer-set-time
           1  10%                   timer--time-setter
           5  50%   Automatic GC
