      6,911,296  99% - ...
      6,911,296  99%  - call-interactively@ido-cr+-record-current-command
      6,911,296  99%   - #<primitive-function call-interactively>
      6,911,296  99%    - funcall-interactively
      6,911,296  99%     - smex
      6,911,296  99%      - smex-read-and-run
      6,911,296  99%       - execute-extended-command
      6,911,296  99%        - command-execute
      6,911,296  99%         - call-interactively
      6,911,296  99%          - apply
      6,911,296  99%           - call-interactively@ido-cr+-record-current-command
      6,911,296  99%            - #<primitive-function call-interactively>
      6,911,296  99%             - funcall-interactively
      6,911,296  99%              - pel-profile-all
      6,911,296  99%               - pel-profile-indent
      6,911,296  99%                - pel-profile-indentation-test-of
      5,347,396  77%                 - call-interactively
      5,347,396  77%                  - apply
      5,347,396  77%                   - call-interactively@ido-cr+-record-current-command
      5,347,396  77%                    - #<primitive-function call-interactively>
      5,347,396  77%                     - funcall-interactively
      5,347,380  77%                      - seed7-complete-statement-or-indent
      5,347,380  77%                       - seed7-indent-region
      5,347,380  77%                        - seed7--indent-one-line
      5,347,380  77%                         - seed7-calc-indent
      2,359,086  34%                          - seed7-line-is-defun-end
      1,291,195  18%                           - seed7-end-of-defun
      1,085,818  15%                            - seed7-top-block-name
      1,085,818  15%                             - seed7--to-top
      1,021,930  14%                              - seed7-re-search-backward
        528,528   7%                               - run-with-timer
        528,528   7%                                - run-at-time
        257,712   3%                                 - timer-activate
        257,712   3%                                  - timer--activate
        257,712   3%                                     timer--time-less-p
        165,984   2%                                   timer-relative-time
        104,832   1%                                 - timer-set-time
        104,832   1%                                    timer--time-setter
        493,402   7%                               - seed7-inside-string-p
        493,402   7%                                  syntax-ppss
         63,888   0%                              - run-with-timer
         63,888   0%                               - run-at-time
         31,152   0%                                - timer-activate
         31,152   0%                                 - timer--activate
         31,152   0%                                    timer--time-less-p
         20,064   0%                                  timer-relative-time
         12,672   0%                                - timer-set-time
         12,672   0%                                   timer--time-setter
         77,855   1%                            - seed7-re-search-forward
         45,184   0%                               re-search-forward
         32,671   0%                             - seed7-inside-comment-p
         32,671   0%                              - syntax-ppss
         32,671   0%                               - syntax-propertize
         32,671   0%                                - seed7-mode-syntax-propertize
         32,671   0%                                   re-search-forward
         63,888   0%                            - seed7-re-search-backward
         63,888   0%                             - run-with-timer
         63,888   0%                              - run-at-time
         31,152   0%                               - timer-activate
         31,152   0%                                - timer--activate
         31,152   0%                                   timer--time-less-p
         20,064   0%                                 timer-relative-time
         12,672   0%                               - timer-set-time
         12,672   0%                                  timer--time-setter
         30,720   0%                              string-match
         24,730   0%                              looking-at
          8,184   0%                              match-string-no-properties
        501,734   7%                           - seed7-beg-of-defun
        155,302   2%                            - seed7-re-search-backward
         93,896   1%                             - run-with-timer
         93,896   1%                              - run-at-time
         45,784   0%                               - timer-activate
         45,784   0%                                - timer--activate
         45,784   0%                                   timer--time-less-p
         29,488   0%                                 timer-relative-time
         18,624   0%                               - timer-set-time
         18,624   0%                                  timer--time-setter
         61,406   0%                               re-search-backward
        111,324   1%                            - seed7-top-block-name
         65,632   0%                             - seed7--to-top
         44,336   0%                              - seed7-re-search-backward
         23,040   0%                                 re-search-backward
         21,296   0%                               - run-with-timer
         21,296   0%                                - run-at-time
         10,384   0%                                 - timer-activate
         10,384   0%                                  - timer--activate
         10,384   0%                                     timer--time-less-p
          6,688   0%                                   timer-relative-time
          4,224   0%                                 - timer-set-time
          4,224   0%                                    timer--time-setter
         21,296   0%                              - run-with-timer
         21,296   0%                               - run-at-time
         10,384   0%                                - timer-activate
         10,384   0%                                 - timer--activate
         10,384   0%                                    timer--time-less-p
          6,688   0%                                  timer-relative-time
          4,224   0%                                - timer-set-time
          4,224   0%                                   timer--time-setter
         45,692   0%                             - seed7--block-name
         37,508   0%                              - seed7-re-search-forward
         37,508   0%                                 re-search-forward
          8,184   0%                                substring-no-properties
        101,981   1%                            - seed7-re-search-backward-closest
        101,981   1%                             - seed7-re-search-backward
         57,453   0%                                re-search-backward
         44,528   0%                              - run-with-timer
         44,528   0%                               - run-at-time
         21,712   0%                                - timer-activate
         21,712   0%                                 - timer--activate
         21,712   0%                                    timer--time-less-p
         13,984   0%                                  timer-relative-time
          8,832   0%                                - timer-set-time
          8,832   0%                                   timer--time-setter
         79,903   1%                              looking-at
         36,856   0%                              string-match
          8,184   0%                              substring-no-properties
          8,184   0%                              match-string
        345,325   4%                           - seed7-line-starts-with-any
        345,325   4%                            - seed7-line-starts-with
        320,773   4%                               looking-at
        149,728   2%                             looking-back
         30,720   0%                           - seed7-move-to-line
         30,720   0%                            - seed7-to-previous-non-empty-line
         30,720   0%                               looking-at
         27,632   0%                           - seed7--current-line-nth-word
         27,632   0%                            - thing-at-point
         19,448   0%                             - bounds-of-thing-at-point
         11,264   0%                                re-search-forward
          8,184   0%                              - #<byte-code-function 8EC>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
         12,752   0%                           - seed7--safe-current-line-defun-start-indent
         12,752   0%                            - seed7-to-block-backward
         12,752   0%                             - seed7-re-search-backward
          9,680   0%                              - run-with-timer
          9,680   0%                               - run-at-time
          4,720   0%                                - timer-activate
          4,720   0%                                 - timer--activate
          4,720   0%                                    timer--time-less-p
          3,040   0%                                  timer-relative-time
          1,920   0%                                - timer-set-time
          1,920   0%                                   timer--time-setter
          3,072   0%                                re-search-backward
        958,775  13%                          - seed7-line-inside-a-block-cached
        958,775  13%                           - seed7-line-inside-a-block
        652,527   9%                            - seed7--safe-enclosing-block-bounds
        652,527   9%                             - seed7--block-end-pos-for
        563,311   8%                              - seed7-to-block-forward
        459,448   6%                               - seed7-end-of-defun
        389,576   5%                                - seed7-top-block-name
        384,464   5%                                 - seed7--to-top
        353,488   5%                                  - seed7-re-search-backward
        350,416   5%                                   - run-with-timer
        350,416   5%                                    - run-at-time
        170,864   2%                                     - timer-activate
        170,864   2%                                      - timer--activate
        170,864   2%                                         timer--time-less-p
        110,048   1%                                       timer-relative-time
         69,504   1%                                     - timer-set-time
         69,504   1%                                        timer--time-setter
          3,072   0%                                     re-search-backward
         30,976   0%                                  - run-with-timer
         30,976   0%                                   - run-at-time
         15,104   0%                                    - timer-activate
         15,104   0%                                     - timer--activate
         15,104   0%                                        timer--time-less-p
          9,728   0%                                      timer-relative-time
          6,144   0%                                    - timer-set-time
          6,144   0%                                       timer--time-setter
          5,112   0%                                 - seed7--block-name
          5,112   0%                                  - seed7-re-search-forward
          5,112   0%                                     re-search-forward
         30,976   0%                                - seed7-re-search-backward
         30,976   0%                                 - run-with-timer
         30,976   0%                                  - run-at-time
         15,104   0%                                   - timer-activate
         15,104   0%                                    - timer--activate
         15,104   0%                                       timer--time-less-p
          9,728   0%                                     timer-relative-time
          6,144   0%                                   - timer-set-time
          6,144   0%                                      timer--time-setter
         29,136   0%                                - seed7-re-search-forward
         29,136   0%                                   re-search-forward
          5,664   0%                                  looking-at
          4,096   0%                                  string-match
         47,567   0%                               - seed7-re-search-forward
         47,567   0%                                  re-search-forward
         28,648   0%                               - seed7--current-line-nth-word
         28,648   0%                                - thing-at-point
         28,648   0%                                 - bounds-of-thing-at-point
         24,552   0%                                  - #<byte-code-function 0EE>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
          4,096   0%                                    re-search-forward
         27,648   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         27,648   0%                                  looking-at
         49,280   0%                              - seed7--line-ends-a-statement-p
         26,624   0%                                 looking-at
         22,656   0%                               - forward-sexp
         22,656   0%                                - seed7--forward-sexp-function
         22,656   0%                                   looking-at
         32,768   0%                                re-search-forward
          7,168   0%                                looking-at
        158,928   2%                            - seed7-calc-indent
         47,080   0%                             - seed7-line-at-endof-array-definition-block
         19,360   0%                              - backward-sexp
         19,360   0%                               - forward-sexp
         19,360   0%                                - seed7--forward-sexp-function
          9,680   0%                                 - seed7--at-array-definition-end-line-p
          9,680   0%                                  - seed7-line-code-ends-with
          9,680   0%                                   - seed7-re-search-backward
          9,680   0%                                    - run-with-timer
          9,680   0%                                     - run-at-time
          4,720   0%                                      - timer-activate
          4,720   0%                                       - timer--activate
          4,720   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
          1,920   0%                                         timer--time-setter
          9,680   0%                                 - seed7--at-set-definition-end-line-p
          9,680   0%                                  - seed7-line-code-ends-with
          9,680   0%                                   - seed7-re-search-backward
          9,680   0%                                    - run-with-timer
          9,680   0%                                     - run-at-time
          4,720   0%                                      - timer-activate
          4,720   0%                                       - timer--activate
          4,720   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
