    555,003,997  99% - ...
    555,003,997  99%  - call-interactively@ido-cr+-record-current-command
    555,003,997  99%   - #<primitive-function call-interactively>
    555,003,997  99%    - funcall-interactively
    555,003,997  99%     - smex
    555,003,997  99%      - smex-read-and-run
    555,003,997  99%       - execute-extended-command
    555,003,997  99%        - command-execute
    555,003,997  99%         - call-interactively
    555,003,997  99%          - apply
    555,003,997  99%           - call-interactively@ido-cr+-record-current-command
    555,003,997  99%            - #<primitive-function call-interactively>
    555,003,997  99%             - funcall-interactively
    555,003,997  99%              - pel-profile-all
    555,003,997  99%               - pel-profile-indent
    555,003,997  99%                - pel-profile-indentation-test-of
    553,423,201  99%                 - call-interactively
    553,423,201  99%                  - apply
    553,423,201  99%                   - call-interactively@ido-cr+-record-current-command
    553,423,201  99%                    - #<primitive-function call-interactively>
    553,423,201  99%                     - funcall-interactively
    553,423,185  99%                      - seed7-complete-statement-or-indent
    553,423,185  99%                       - seed7-indent-region
    553,423,185  99%                        - seed7--indent-one-line
    550,784,671  99%                         - seed7-calc-indent
    289,963,106  52%                          - seed7-line-inside-a-block-cached
    289,963,106  52%                           - seed7-line-inside-a-block
    161,958,690  29%                            - seed7-calc-indent
    159,892,029  28%                             - seed7-line-inside-a-block-cached
    159,892,029  28%                              - seed7-line-inside-a-block
    155,520,835  27%                               - seed7--safe-enclosing-block-bounds
    155,520,835  27%                                - seed7--block-end-pos-for
    155,122,131  27%                                 - seed7-to-block-forward
    154,542,278  27%                                  - seed7-end-of-defun
    152,275,392  27%                                   - seed7-top-block-name
    152,171,281  27%                                    - seed7--to-top
    150,225,169  27%                                     - seed7-re-search-backward
    150,209,707  27%                                      - run-with-timer
    150,209,707  27%                                       - run-at-time
    103,877,363  18%                                        - timer-activate
    103,877,363  18%                                         - timer--activate
    103,877,363  18%                                          - timer--time-less-p
          5,782   0%                                             timer--time
     28,397,797   5%                                          timer-relative-time
     17,934,547   3%                                        - timer-set-time
     17,934,336   3%                                           timer--time-setter
         13,831   0%                                        re-search-backward
            913   0%                                        make-closure
      1,946,112   0%                                     - run-with-timer
      1,946,112   0%                                      - run-at-time
      1,279,488   0%                                       - timer-activate
      1,279,488   0%                                        - timer--activate
