          69  86% - ...
          69  86%  - funcall-interactively
          69  86%   - pel-profile-all
          69  86%    - pel-profile-indent
          69  86%     - pel-profile-indentation-test-of
          69  86%      - call-interactively
          69  86%       - apply
          69  86%        - call-interactively@ido-cr+-record-current-command
          69  86%         - #<primitive-function call-interactively>
          69  86%          - funcall-interactively
          67  83%           - seed7-complete-statement-or-indent
          67  83%            - seed7-indent-region
          67  83%             - seed7--indent-one-line
          67  83%              - seed7-calc-indent
          21  26%               - seed7--indent-search-boundary
          21  26%                - seed7--indent-search-boundary-uncached
          21  26%                 - syntax-ppss
          20  25%                    parse-partial-sexp
           1   1%                    syntax-propertize
          16  20%               - seed7-comment-column
          15  18%                - seed7-calc-indent
           2   2%                 - seed7-line-inside-parens-pair-column
           2   2%                  - seed7-line-inside-parens-pair
           2   2%                   - seed7-re-search-backward
           2   2%                    - seed7-inside-comment-p
           2   2%                     - syntax-ppss
           2   2%                        parse-partial-sexp
           2   2%                 - seed7-line-at-endof-array-definition-block
           2   2%                  - seed7-move-to-line
           2   2%                   - seed7-to-previous-non-empty-line
           2   2%                    - seed7-inside-comment-p
           2   2%                     - syntax-ppss
           2   2%                        parse-partial-sexp
           2   2%                 - seed7-line-after-short-func-end
           2   2%                  - seed7-move-to-line
           2   2%                   - seed7-to-previous-non-empty-line
           2   2%                    - seed7-inside-comment-p
           2   2%                     - syntax-ppss
           2   2%                        parse-partial-sexp
           2   2%                 - seed7-line-after-func-return-logic-operator-column
           2   2%                  - seed7-move-to-line
           2   2%                   - seed7-to-previous-non-empty-line
           2   2%                    - seed7-inside-comment-p
           2   2%                     - syntax-ppss
           2   2%                        parse-partial-sexp
           2   2%                 - seed7-line-is-defun-end
           1   1%                  - seed7-move-to-line
           1   1%                   - seed7-to-previous-non-empty-line
           1   1%                    - seed7-inside-comment-p
           1   1%                     - syntax-ppss
           1   1%                        parse-partial-sexp
           1   1%                  - seed7--safe-current-line-defun-start-indent
           1   1%                   - seed7-to-block-backward
           1   1%                    - seed7-re-search-backward
           1   1%                       re-search-backward
           2   2%                 - seed7-line-at-endof-set-definition-block
           2   2%                  - seed7-move-to-line
           2   2%                   - seed7-to-previous-non-empty-line
           2   2%                    - seed7-inside-comment-p
           2   2%                     - syntax-ppss
           2   2%                        parse-partial-sexp
