        3107  88% - ...
        3107  88%  - pel-profile-indent
        3107  88%   - pel-profile-indentation-test-of
        3107  88%    - call-interactively
        3107  88%     - apply
        3107  88%      - call-interactively@ido-cr+-record-current-command
        3107  88%       - #<primitive-function call-interactively>
        3107  88%        - funcall-interactively
        3072  87%         - pel-profile-all
        3072  87%          - pel-profile-indent
        3072  87%           - pel-profile-indentation-test-of
        3072  87%            - call-interactively
        3072  87%             - apply
        3072  87%              - call-interactively@ido-cr+-record-current-command
        3072  87%               - #<primitive-function call-interactively>
        3072  87%                - funcall-interactively
        3072  87%                 - seed7-complete-statement-or-indent
        3072  87%                  - seed7-indent-region
        3072  87%                   - seed7--indent-one-line
        3071  87%                    - seed7-calc-indent
        1025  29%                     - seed7-line-inside-a-block-cached
        1025  29%                      - seed7-line-inside-a-block
         496  14%                       - seed7--safe-enclosing-block-bounds
         496  14%                        - seed7--block-end-pos-for
         493  14%                         - seed7-to-block-forward
         467  13%                          - seed7-end-of-defun
         393  11%                           - seed7-top-block-name
         389  11%                            - seed7--to-top
         378  10%                             - seed7-re-search-backward
         309   8%                              - seed7-inside-comment-p
         308   8%                               - syntax-ppss
         306   8%                                  parse-partial-sexp
           1   0%                                  syntax-table
           1   0%                                - syntax-propertize
           1   0%                                   seed7-mode-syntax-propertize
          63   1%                              - run-with-timer
          63   1%                               - run-at-time
          37   1%                                - timer-activate
          37   1%                                 - timer--activate
          37   1%                                    timer--time-less-p
          17   0%                                - timer-set-time
          17   0%                                   timer--time-setter
           8   0%                                  timer-relative-time
           1   0%                                  timer-create
           6   0%                                re-search-backward
           7   0%                             - run-with-timer
           7   0%                              - run-at-time
           3   0%                               - timer-activate
           3   0%                                - timer--activate
           3   0%                                   timer--time-less-p
           2   0%                                 timer-relative-time
           2   0%                               - timer-set-time
           2   0%                                  timer--time-setter
           2   0%                               seed7-to-indent
           4   0%                            - seed7--block-name
           4   0%                             - seed7-re-search-forward
           3   0%                              - seed7-inside-string-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
          65   1%                           - seed7-re-search-forward
          20   0%                            - seed7-inside-comment-p
          20   0%                             - syntax-ppss
          19   0%                                parse-partial-sexp
           1   0%                              - syntax-propertize
           1   0%                                 seed7-mode-syntax-propertize
           5   0%                            - seed7-inside-string-p
           5   0%                             - syntax-ppss
           5   0%                                parse-partial-sexp
           9   0%                           - seed7-re-search-backward
           5   0%                            - run-with-timer
           5   0%                             - run-at-time
           3   0%                              - timer-activate
           3   0%                               - timer--activate
           3   0%                                  timer--time-less-p
           1   0%                                timer-relative-time
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           4   0%                            - seed7-inside-comment-p
           4   0%                             - syntax-ppss
           4   0%                                parse-partial-sexp
          19   0%                          - seed7-re-search-forward
          11   0%                           - seed7-inside-comment-p
          11   0%                            - syntax-ppss
           8   0%                               parse-partial-sexp
           2   0%                             - syntax-propertize
           2   0%                                seed7-mode-syntax-propertize
           4   0%                           - seed7-inside-string-p
           4   0%                            - syntax-ppss
           4   0%                               parse-partial-sexp
           2   0%                          - seed7--current-line-nth-word
           1   0%                           - thing-at-point
           1   0%                            - bounds-of-thing-at-point
           1   0%                             - #<byte-code-function 654>
           1   0%                              - forward-thing
           1   0%                                 forward-word
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                          - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                           - seed7-inside-line-indent-before-comment-p
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           1   0%                          - seed7-inside-line-indent-before-comment-p
           1   0%                             seed7-to-indent
           3   0%                         - seed7--line-ends-a-statement-p
           2   0%                            looking-at
         483  13%                       - seed7-calc-indent
         168   4%                        - seed7--indent-search-boundary
         168   4%                         - seed7--indent-search-boundary-uncached
         167   4%                          - syntax-ppss
         166   4%                             parse-partial-sexp
           1   0%                             syntax-ppss-toplevel-pos
         156   4%                        - seed7-line-is-defun-end
         127   3%                         - seed7-end-of-defun
          95   2%                          - seed7-top-block-name
          94   2%                           - seed7--to-top
          94   2%                            - seed7-re-search-backward
          73   2%                             - seed7-inside-comment-p
          73   2%                              - syntax-ppss
          73   2%                                 parse-partial-sexp
          15   0%                             - run-with-timer
          15   0%                              - run-at-time
           9   0%                               - timer-activate
           9   0%                                - timer--activate
           9   0%                                   timer--time-less-p
           4   0%                               - timer-set-time
           4   0%                                  timer--time-setter
           2   0%                                 timer-relative-time
           4   0%                             - seed7-inside-string-p
           2   0%                              - syntax-ppss
           2   0%                                 parse-partial-sexp
           1   0%                                #<byte-code-function 434>
           2   0%                               re-search-backward
           1   0%                           - seed7--block-name
           1   0%                            - seed7-re-search-forward
           1   0%                             - seed7-inside-comment-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
          32   0%                          - seed7-re-search-forward
          15   0%                           - seed7-inside-comment-p
          15   0%                            - syntax-ppss
          15   0%                               parse-partial-sexp
          11   0%                           - seed7-inside-string-p
          11   0%                            - syntax-ppss
          11   0%                               parse-partial-sexp
          25   0%                         - seed7-beg-of-defun
          18   0%                          - seed7-re-search-backward
          17   0%                           - seed7-inside-comment-p
          17   0%                            - syntax-ppss
          17   0%                               parse-partial-sexp
           1   0%                             re-search-backward
           5   0%                          - seed7-re-search-backward-closest
           5   0%                           - seed7-re-search-backward
           4   0%                              re-search-backward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           1   0%                          - seed7-top-block-name
           1   0%                           - seed7--to-top
           1   0%                            - seed7-re-search-backward
           1   0%                             - run-with-timer
           1   0%                              - run-at-time
           1   0%                                 timer-relative-time
           2   0%                         - seed7-move-to-line
           2   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           2   0%                         - seed7--indent-search-boundary-uncached
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
          84   2%                        - seed7-line-inside-parens-pair-column
          84   2%                         - seed7-line-inside-parens-pair
          82   2%                          - seed7-re-search-backward
          61   1%                           - seed7-inside-comment-p
          61   1%                            - syntax-ppss
          61   1%                               parse-partial-sexp
          17   0%                           - run-with-timer
          17   0%                            - run-at-time
           9   0%                             - timer-activate
           9   0%                              - timer--activate
           9   0%                                 timer--time-less-p
           5   0%                             - timer-set-time
           5   0%                                timer--time-setter
           3   0%                               timer-relative-time
           4   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           2   0%                          - seed7-line-inside-syntax-parens-pair
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
          59   1%                        - seed7-line-inside-a-block-cached
          59   1%                         - seed7-line-inside-a-block
          39   1%                          - seed7--safe-enclosing-block-bounds
          39   1%                           - seed7--block-end-pos-for
          38   1%                            - seed7-to-block-forward
          33   0%                             - seed7-end-of-defun
          29   0%                              - seed7-top-block-name
          29   0%                               - seed7--to-top
          28   0%                                - seed7-re-search-backward
          22   0%                                 - seed7-inside-comment-p
          22   0%                                  - syntax-ppss
          22   0%                                     parse-partial-sexp
           5   0%                                 - run-with-timer
           5   0%                                  - run-at-time
           2   0%                                   - timer-set-time
           2   0%                                      timer--time-setter
           2   0%                                     timer-relative-time
           1   0%                                   - timer-activate
           1   0%                                    - timer--activate
           1   0%                                       timer--time-less-p
           1   0%                                   re-search-backward
           2   0%                              - seed7-re-search-forward
           1   0%                               - seed7-inside-comment-p
           1   0%                                - syntax-ppss
           1   0%                                   parse-partial-sexp
           2   0%                              - seed7-re-search-backward
           2   0%                               - seed7-inside-comment-p
           2   0%                                - syntax-ppss
           2   0%                                   parse-partial-sexp
           5   0%                             - seed7-re-search-forward
           2   0%                              - seed7-inside-comment-p
           2   0%                               - syntax-ppss
           1   0%                                - syntax-propertize
           1   0%                                   seed7-mode-syntax-propertize
           1   0%                                  parse-partial-sexp
           1   0%                              - seed7-inside-string-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
           1   0%                            - seed7-re-search-forward-closest
           1   0%                             - seed7-re-search-forward
           1   0%                              - seed7-inside-string-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
          20   0%                          - seed7-re-search-backward
          11   0%                           - seed7-inside-comment-p
          11   0%                            - syntax-ppss
          11   0%                               parse-partial-sexp
           4   0%                           - run-with-timer
           4   0%                            - run-at-time
           3   0%                             - timer-activate
           3   0%                              - timer--activate
           3   0%                                 timer--time-less-p
           1   0%                               timer-relative-time
           3   0%                             re-search-backward
           2   0%                           - seed7-inside-string-p
           2   0%                            - syntax-ppss
           2   0%                               parse-partial-sexp
           4   0%                        - seed7-line-inside-argument-list-section
           3   0%                         - seed7-re-search-backward
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                         - seed7-forward-char-pos
           1   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           4   0%                        - seed7-line-inside-assign-statement-continuation
           4   0%                         - seed7-assign-op-pos
           4   0%                          - seed7-re-search-backward
           3   0%                           - seed7-inside-comment-p
           3   0%                            - syntax-ppss
           3   0%                               parse-partial-sexp
           1   0%                             re-search-backward
           2   0%                        - seed7-line-inside-set-definition-block
           2   0%                         - seed7-re-search-backward
           2   0%                            re-search-backward
           1   0%                        - seed7-line-at-endof-set-definition-block
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-inside-until-logic-expression
           1   0%                         - seed7-re-search-backward
           1   0%                            re-search-backward
           1   0%                        - seed7-line-inside-func-return-statement
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                        - seed7-line-after-func-return-logic-operator-column
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-isa-string
           1   0%                           seed7-line-starts-with
           1   0%                        - seed7-line-inside-array-definition-block
           1   0%                         - seed7-re-search-backward
           1   0%                            re-search-backward
          45   1%                       - seed7-re-search-backward
          38   1%                        - seed7-inside-comment-p
          38   1%                         - syntax-ppss
          38   1%                            parse-partial-sexp
           6   0%                        - run-with-timer
           6   0%                         - run-at-time
           3   0%                          - timer-activate
           3   0%                           - timer--activate
           3   0%                              timer--time-less-p
           2   0%                          - timer-set-time
           2   0%                             timer--time-setter
           1   0%                            timer-relative-time
           1   0%                          re-search-backward
           1   0%                         replace-regexp-in-string
         908  25%                     - seed7--indent-search-boundary
         907  25%                      - seed7--indent-search-boundary-uncached
         893  25%                       - syntax-ppss
         889  25%                          parse-partial-sexp
           1   0%                          syntax-table
           1   0%                          make-closure
           1   0%                          syntax-ppss--update-stats
           2   0%                         seed7-to-indent
         712  20%                     - seed7-line-is-defun-end
         611  17%                      - seed7-end-of-defun
         501  14%                       - seed7-top-block-name
         497  14%                        - seed7--to-top
         489  13%                         - seed7-re-search-backward
         406  11%                          - seed7-inside-comment-p
         406  11%                           - syntax-ppss
         403  11%                              parse-partial-sexp
           3   0%                            - syntax-propertize
           3   0%                               seed7-mode-syntax-propertize
          62   1%                          - run-with-timer
          62   1%                           - run-at-time
          34   0%                            - timer-activate
          34   0%                             - timer--activate
          34   0%                              - timer--time-less-p
           1   0%                                 timer--time
          18   0%                            - timer-set-time
          17   0%                               timer--time-setter
          10   0%                              timer-relative-time
          13   0%                            re-search-backward
           4   0%                          - seed7-inside-string-p
           4   0%                           - syntax-ppss
           3   0%                              parse-partial-sexp
           1   0%                              make-closure
           2   0%                            make-closure
           3   0%                         - run-with-timer
           3   0%                          - run-at-time
           3   0%                           - timer-activate
           3   0%                            - timer--activate
           3   0%                               timer--time-less-p
           4   0%                        - seed7--block-name
           4   0%                         - seed7-re-search-forward
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
         107   3%                       - seed7-re-search-forward
