     18,863,752  99% - ...
     18,863,752  99%  - call-interactively@ido-cr+-record-current-command
     18,863,752  99%   - #<primitive-function call-interactively>
     18,863,752  99%    - funcall-interactively
     18,863,752  99%     - smex
     18,863,752  99%      - smex-read-and-run
     18,863,752  99%       - execute-extended-command
     18,863,752  99%        - command-execute
     18,863,752  99%         - call-interactively
     18,863,752  99%          - apply
     18,863,752  99%           - call-interactively@ido-cr+-record-current-command
     18,863,752  99%            - #<primitive-function call-interactively>
     18,863,752  99%             - funcall-interactively
     18,863,752  99%              - pel-profile-all
     18,863,752  99%               - pel-profile-indent
     18,863,752  99%                - pel-profile-indentation-test-of
     17,294,220  91%                 - call-interactively
     17,294,220  91%                  - apply
     17,294,220  91%                   - call-interactively@ido-cr+-record-current-command
     17,294,220  91%                    - #<primitive-function call-interactively>
     17,294,220  91%                     - funcall-interactively
     17,294,204  91%                      - seed7-complete-statement-or-indent
     17,294,204  91%                       - seed7-indent-region
     17,294,204  91%                        - seed7--indent-one-line
     17,294,204  91%                         - seed7-calc-indent
      5,955,088  31%                          - seed7-line-is-defun-end
      3,233,380  17%                           - seed7-end-of-defun
      2,934,960  15%                            - seed7-top-block-name
      2,934,960  15%                             - seed7--to-top
      2,847,840  15%                              - seed7-re-search-backward
      2,847,840  15%                               - run-with-timer
      2,847,840  15%                                - run-at-time
      1,388,624   7%                                 - timer-activate
      1,388,624   7%                                  - timer--activate
      1,388,624   7%                                     timer--time-less-p
        894,352   4%                                   timer-relative-time
        564,864   2%                                 - timer-set-time
        564,864   2%                                    timer--time-setter
         87,120   0%                              - run-with-timer
         87,120   0%                               - run-at-time
         42,480   0%                                - timer-activate
         42,480   0%                                 - timer--activate
         42,480   0%                                    timer--time-less-p
         27,360   0%                                  timer-relative-time
         17,280   0%                                - timer-set-time
         17,280   0%                                   timer--time-setter
        124,260   0%                            - seed7-re-search-forward
         62,564   0%                             - seed7-inside-comment-p
         62,564   0%                              - syntax-ppss
         62,564   0%                               - syntax-propertize
         62,564   0%                                  seed7-mode-syntax-propertize
         87,120   0%                            - seed7-re-search-backward
         87,120   0%                             - run-with-timer
         87,120   0%                              - run-at-time
         42,480   0%                               - timer-activate
         42,480   0%                                - timer--activate
         42,480   0%                                   timer--time-less-p
         27,360   0%                                 timer-relative-time
         17,280   0%                               - timer-set-time
         17,280   0%                                  timer--time-setter
          8,184   0%                              match-string
      1,123,705   5%                           - seed7-beg-of-defun
        505,296   2%                            - seed7-re-search-backward
        418,176   2%                             - run-with-timer
        418,176   2%                              - run-at-time
        203,904   1%                               - timer-activate
        203,904   1%                                - timer--activate
        203,904   1%                                   timer--time-less-p
        131,328   0%                                 timer-relative-time
         82,944   0%                               - timer-set-time
         82,944   0%                                  timer--time-setter
         87,120   0%                               re-search-backward
        187,109   0%                            - seed7-top-block-name
         98,941   0%                             - seed7--to-top
         69,901   0%                              - seed7-re-search-backward
         40,861   0%                                 re-search-backward
         29,040   0%                               - run-with-timer
         29,040   0%                                - run-at-time
         14,160   0%                                 - timer-activate
         14,160   0%                                  - timer--activate
         14,160   0%                                     timer--time-less-p
          9,120   0%                                   timer-relative-time
          5,760   0%                                 - timer-set-time
          5,760   0%                                    timer--time-setter
         29,040   0%                              - run-with-timer
         29,040   0%                               - run-at-time
         14,160   0%                                - timer-activate
         14,160   0%                                 - timer--activate
         14,160   0%                                    timer--time-less-p
          9,120   0%                                  timer-relative-time
          5,760   0%                                - timer-set-time
          5,760   0%                                   timer--time-setter
         88,168   0%                             - seed7--block-name
         88,168   0%                                seed7-re-search-forward
        183,904   0%                            - seed7-re-search-backward-closest
        183,904   0%                             - seed7-re-search-backward
        114,208   0%                                re-search-backward
         69,696   0%                              - run-with-timer
         69,696   0%                               - run-at-time
         33,984   0%                                - timer-activate
         33,984   0%                                 - timer--activate
         33,984   0%                                    timer--time-less-p
         21,888   0%                                  timer-relative-time
         13,824   0%                                - timer-set-time
         13,824   0%                                   timer--time-setter
         16,368   0%                              match-string-no-properties
          8,184   0%                              match-string
        731,887   3%                           - seed7-line-starts-with-any
        731,887   3%                              seed7-line-starts-with
        571,704   3%                             looking-back
        172,024   0%                           - seed7-move-to-line
        172,024   0%                              seed7-to-previous-non-empty-line
         97,200   0%                           - seed7--current-line-nth-word
         97,200   0%                            - thing-at-point
         72,648   0%                             - bounds-of-thing-at-point
         32,736   0%                              - #<byte-code-function 7CC>
         32,736   0%                               - forward-thing
         32,736   0%                                  format
         24,552   0%                              - #<byte-code-function 66D>
         24,552   0%                               - forward-thing
         24,552   0%                                  format
         15,360   0%                                re-search-forward
         25,188   0%                           - seed7--safe-current-line-defun-start-indent
         25,188   0%                            - seed7-to-block-backward
         25,188   0%                             - seed7-re-search-backward
         15,488   0%                              - run-with-timer
         15,488   0%                               - run-at-time
          7,552   0%                                - timer-activate
          7,552   0%                                 - timer--activate
          7,552   0%                                    timer--time-less-p
          4,864   0%                                  timer-relative-time
          3,072   0%                                - timer-set-time
          3,072   0%                                   timer--time-setter
          9,700   0%                                re-search-backward
