        3437  92% - ...
        3437  92%  - command-execute
        3437  92%   - call-interactively
        3437  92%    - apply
        3437  92%     - call-interactively@ido-cr+-record-current-command
        3437  92%      - #<primitive-function call-interactively>
        3437  92%       - funcall-interactively
        3437  92%        - pel-profile-all
        3437  92%         - pel-profile-indent
        3437  92%          - pel-profile-indentation-test-of
        3437  92%           - call-interactively
        3437  92%            - apply
        3437  92%             - call-interactively@ido-cr+-record-current-command
        3437  92%              - #<primitive-function call-interactively>
        3437  92%               - funcall-interactively
        3437  92%                - seed7-complete-statement-or-indent
        3437  92%                 - seed7-indent-region
        3436  92%                  - seed7--indent-one-line
        3431  92%                   - seed7-calc-indent
        2118  56%                    - seed7--indent-search-boundary
        2118  56%                     - seed7--indent-search-boundary-uncached
        2092  56%                      - syntax-ppss
        2081  55%                         parse-partial-sexp
           2   0%                         make-closure
           2   0%                         syntax-propertize
           1   0%                       - #<byte-code-function 39A>
           1   0%                          set-syntax-table
           1   0%                         syntax-ppss-toplevel-pos
           1   0%                         syntax-table
           2   0%                        seed7-to-indent
         590  15%                    - seed7-line-is-defun-end
         491  13%                     - seed7-end-of-defun
         401  10%                      - seed7-top-block-name
         396  10%                       - seed7--to-top
         393  10%                        - seed7-re-search-backward
         320   8%                         - seed7-inside-comment-p
         320   8%                          - syntax-ppss
         320   8%                             parse-partial-sexp
          54   1%                         - run-with-timer
          54   1%                          - run-at-time
          33   0%                           - timer-activate
          33   0%                            - timer--activate
          33   0%                             - timer--time-less-p
           1   0%                                timer--time
          16   0%                           - timer-set-time
          14   0%                              timer--time-setter
           5   0%                             timer-relative-time
          14   0%                           re-search-backward
           3   0%                         - seed7-inside-string-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           5   0%                       - seed7--block-name
           5   0%                        - seed7-re-search-forward
           3   0%                         - seed7-inside-comment-p
           3   0%                          - syntax-ppss
           3   0%                             parse-partial-sexp
          74   1%                      - seed7-re-search-forward
          25   0%                       - seed7-inside-comment-p
          24   0%                        - syntax-ppss
          20   0%                           parse-partial-sexp
           4   0%                         - syntax-propertize
           3   0%                            seed7-mode-syntax-propertize
          22   0%                       - seed7-inside-string-p
          21   0%                        - syntax-ppss
          21   0%                           parse-partial-sexp
          15   0%                      - seed7-re-search-backward
           8   0%                       - run-with-timer
           8   0%                        - run-at-time
           5   0%                         - timer-activate
           5   0%                          - timer--activate
           5   0%                             timer--time-less-p
           2   0%                         - timer-set-time
           2   0%                            timer--time-setter
           1   0%                           timer-relative-time
           7   0%                       - seed7-inside-comment-p
           7   0%                        - syntax-ppss
           7   0%                           parse-partial-sexp
          78   2%                     - seed7-beg-of-defun
          48   1%                      - seed7-re-search-backward
          37   0%                       - seed7-inside-comment-p
          37   0%                        - syntax-ppss
          37   0%                           parse-partial-sexp
           9   0%                       - run-with-timer
           9   0%                        - run-at-time
           5   0%                         - timer-set-time
           5   0%                            timer--time-setter
           4   0%                         - timer-activate
           4   0%                          - timer--activate
           4   0%                             timer--time-less-p
           1   0%                       - seed7-inside-string-p
           1   0%                          syntax-ppss
           1   0%                         re-search-backward
          27   0%                      - seed7-re-search-backward-closest
          27   0%                       - seed7-re-search-backward
