     48,141,069  99% - ...
     48,141,069  99%  - call-interactively@ido-cr+-record-current-command
     48,141,069  99%   - #<primitive-function call-interactively>
     48,141,069  99%    - funcall-interactively
     48,141,069  99%     - smex
     48,141,069  99%      - smex-read-and-run
     48,141,069  99%       - execute-extended-command
     48,141,069  99%        - command-execute
     48,141,069  99%         - call-interactively
     48,141,069  99%          - apply
     48,141,069  99%           - call-interactively@ido-cr+-record-current-command
     48,141,069  99%            - #<primitive-function call-interactively>
     48,141,069  99%             - funcall-interactively
     48,141,069  99%              - pel-profile-all
     48,141,069  99%               - pel-profile-indent
     48,141,069  99%                - pel-profile-indentation-test-of
     46,571,537  96%                 - call-interactively
     46,571,537  96%                  - apply
     46,571,537  96%                   - call-interactively@ido-cr+-record-current-command
     46,571,537  96%                    - #<primitive-function call-interactively>
     46,571,537  96%                     - funcall-interactively
     46,571,521  96%                      - seed7-complete-statement-or-indent
     46,571,521  96%                       - seed7-indent-region
     46,571,521  96%                        - seed7--indent-one-line
     46,571,521  96%                         - seed7-calc-indent
     16,611,341  34%                          - seed7-line-is-defun-end
      9,155,542  18%                           - seed7-end-of-defun
      8,112,856  16%                            - seed7-top-block-name
      8,092,480  16%                             - seed7--to-top
      7,871,776  16%                              - seed7-re-search-backward
      7,871,776  16%                               - run-with-timer
      7,871,776  16%                                - run-at-time
      3,838,304   7%                                 - timer-activate
      3,838,304   7%                                  - timer--activate
      3,838,304   7%                                     timer--time-less-p
      2,472,128   5%                                   timer-relative-time
      1,561,344   3%                                 - timer-set-time
      1,561,344   3%                                    timer--time-setter
        220,704   0%                              - run-with-timer
        220,704   0%                               - run-at-time
        107,616   0%                                - timer-activate
        107,616   0%                                 - timer--activate
        107,616   0%                                    timer--time-less-p
         69,312   0%                                  timer-relative-time
         43,776   0%                                - timer-set-time
         43,776   0%                                   timer--time-setter
         20,376   0%                             - seed7--block-name
         12,192   0%                                match-string
        355,885   0%                            - seed7-re-search-forward
        199,853   0%                             - seed7-inside-comment-p
        199,853   0%                              - syntax-ppss
        199,853   0%                               - syntax-propertize
        199,853   0%                                  seed7-mode-syntax-propertize
        220,704   0%                            - seed7-re-search-backward
        220,704   0%                             - run-with-timer
        220,704   0%                              - run-at-time
        107,616   0%                               - timer-activate
        107,616   0%                                - timer--activate
        107,616   0%                                   timer--time-less-p
         69,312   0%                                 timer-relative-time
         43,776   0%                               - timer-set-time
         43,776   0%                                  timer--time-setter
        155,496   0%                              match-string-no-properties
        136,480   0%                              match-string
      2,820,296   5%                           - seed7-beg-of-defun
      1,161,577   2%                            - seed7-re-search-backward
        928,312   1%                             - run-with-timer
        928,312   1%                              - run-at-time
        452,648   0%                               - timer-activate
        452,648   0%                                - timer--activate
        452,648   0%                                   timer--time-less-p
        291,536   0%                                 timer-relative-time
        184,128   0%                               - timer-set-time
        184,128   0%                                  timer--time-setter
        233,265   0%                               re-search-backward
        454,708   0%                            - seed7-top-block-name
        231,296   0%                             - seed7--to-top
        157,728   0%                              - seed7-re-search-backward
         84,160   0%                                 re-search-backward
         73,568   0%                               - run-with-timer
         73,568   0%                                - run-at-time
         35,872   0%                                 - timer-activate
         35,872   0%                                  - timer--activate
         35,872   0%                                     timer--time-less-p
         23,104   0%                                   timer-relative-time
         14,592   0%                                 - timer-set-time
         14,592   0%                                    timer--time-setter
         73,568   0%                              - run-with-timer
         73,568   0%                               - run-at-time
         35,872   0%                                - timer-activate
         35,872   0%                                 - timer--activate
         35,872   0%                                    timer--time-less-p
         23,104   0%                                  timer-relative-time
         14,592   0%                                - timer-set-time
         14,592   0%                                   timer--time-setter
        223,412   0%                             - seed7--block-name
        220,364   0%                                seed7-re-search-forward
          3,048   0%                                match-string
        453,803   0%                            - seed7-re-search-backward-closest
        453,803   0%                             - seed7-re-search-backward
        258,267   0%                                re-search-backward
        195,536   0%                              - run-with-timer
        195,536   0%                               - run-at-time
         95,344   0%                                - timer-activate
         95,344   0%                                 - timer--activate
         95,344   0%                                    timer--time-less-p
         61,408   0%                                  timer-relative-time
         38,784   0%                                - timer-set-time
         38,784   0%                                   timer--time-setter
         73,656   0%                              match-string-no-properties
         25,400   0%                              match-string
      2,058,432   4%                           - seed7-line-starts-with-any
      2,058,432   4%                              seed7-line-starts-with
      1,670,142   3%                             looking-back
        517,112   1%                           - seed7-move-to-line
        517,112   1%                              seed7-to-previous-non-empty-line
        224,792   0%                           - seed7--current-line-nth-word
        224,792   0%                            - thing-at-point
        155,536   0%                             - bounds-of-thing-at-point
         98,208   0%                              - #<byte-code-function C01>
         98,208   0%                               - forward-thing
         98,208   0%                                  format
         40,960   0%                                re-search-forward
         16,368   0%                              - #<byte-code-function 081>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
        165,025   0%                           - seed7--safe-current-line-defun-start-indent
        165,025   0%                            - seed7-to-block-backward
        142,561   0%                             - seed7-re-search-backward
         86,152   0%                              - run-with-timer
         86,152   0%                               - run-at-time
         42,008   0%                                - timer-activate
         42,008   0%                                 - timer--activate
         42,008   0%                                    timer--time-less-p
         27,056   0%                                  timer-relative-time
         17,088   0%                                - timer-set-time
         17,088   0%                                   timer--time-setter
         56,409   0%                                re-search-backward
         22,464   0%                             - seed7--current-line-nth-word
         22,464   0%                              - thing-at-point
         16,368   0%                               - bounds-of-thing-at-point
         16,368   0%                                - #<byte-code-function FAD>
         16,368   0%                                 - forward-thing
         16,368   0%                                    format
     10,275,871  21%                          - seed7-line-inside-a-block-cached
     10,275,871  21%                           - seed7-line-inside-a-block
      7,676,560  15%                            - seed7--safe-enclosing-block-bounds
      7,676,560  15%                             - seed7--block-end-pos-for
      7,359,200  15%                              - seed7-to-block-forward
      5,555,994  11%                               - seed7-end-of-defun
      5,185,141  10%                                - seed7-top-block-name
      5,136,517  10%                                 - seed7--to-top
      4,958,405  10%                                  - seed7-re-search-backward
      4,909,696  10%                                   - run-with-timer
      4,909,696  10%                                    - run-at-time
      2,393,984   4%                                     - timer-activate
      2,393,984   4%                                      - timer--activate
      2,393,984   4%                                         timer--time-less-p
      1,541,888   3%                                       timer-relative-time
        973,824   2%                                     - timer-set-time
        973,824   2%                                        timer--time-setter
         31,109   0%                                   - seed7-inside-comment-p
         31,109   0%                                    - syntax-ppss
         31,109   0%                                     - syntax-propertize
         31,109   0%                                        seed7-mode-syntax-propertize
         17,600   0%                                     re-search-backward
        178,112   0%                                  - run-with-timer
        178,112   0%                                   - run-at-time
         86,848   0%                                    - timer-activate
         86,848   0%                                     - timer--activate
         86,848   0%                                        timer--time-less-p
         55,936   0%                                      timer-relative-time
         35,328   0%                                    - timer-set-time
         35,328   0%                                       timer--time-setter
         48,624   0%                                 - seed7--block-name
         37,448   0%                                    seed7-re-search-forward
         11,176   0%                                    match-string
        178,112   0%                                - seed7-re-search-backward
        178,112   0%                                 - run-with-timer
        178,112   0%                                  - run-at-time
         86,848   0%                                   - timer-activate
         86,848   0%                                    - timer--activate
         86,848   0%                                       timer--time-less-p
         55,936   0%                                     timer-relative-time
         35,328   0%                                   - timer-set-time
         35,328   0%                                      timer--time-setter
        105,997   0%                                - seed7-re-search-forward
         40,393   0%                                 - internal--syntax-propertize
         40,393   0%                                  - syntax-propertize
         40,393   0%                                     seed7-mode-syntax-propertize
         37,704   0%                                  match-string
        827,198   1%                                 seed7-re-search-forward
        570,352   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        364,736   0%                               - seed7--current-line-nth-word
        364,736   0%                                - thing-at-point
        240,448   0%                                 - bounds-of-thing-at-point
        106,392   0%                                  - #<byte-code-function 260>
        106,392   0%                                   - forward-thing
        106,392   0%                                      format
         90,024   0%                                  - #<byte-code-function 886>
         90,024   0%                                   - forward-thing
         90,024   0%                                      format
         44,032   0%                                    re-search-forward
         40,920   0%                                 seed7--end-regexp-for
        253,360   0%                              - seed7--line-ends-a-statement-p
        204,208   0%                                 looking-at
         49,152   0%                               - forward-sexp
         49,152   0%                                  seed7--forward-sexp-function
          1,024   0%                              - seed7-re-search-forward-closest
          1,024   0%                                 seed7-re-search-forward
      1,581,367   3%                            - seed7-re-search-backward
        877,976   1%                             - run-with-timer
        877,976   1%                              - run-at-time
        428,104   0%                               - timer-activate
        428,104   0%                                - timer--activate
        428,104   0%                                   timer--time-less-p
        275,728   0%                                 timer-relative-time
        174,144   0%                               - timer-set-time
        174,144   0%                                  timer--time-setter
        702,533   1%                               re-search-backward
            858   0%                               seed7-inside-comment-p
        634,936   1%                            - replace-regexp-in-string
         16,368   0%                               concat
        219,560   0%                            - seed7-calc-indent
         45,296   0%                             - seed7-line-inside-a-block-cached
         45,296   0%                              - seed7-line-inside-a-block
         20,480   0%                               - seed7--safe-enclosing-block-bounds
         20,480   0%                                - seed7--block-end-pos-for
          5,120   0%                                 - seed7-re-search-forward-closest
          5,120   0%                                    seed7-re-search-forward
         19,696   0%                               - seed7-re-search-backward
         13,552   0%                                - run-with-timer
         13,552   0%                                 - run-at-time
          6,608   0%                                  - timer-activate
          6,608   0%                                   - timer--activate
          6,608   0%                                      timer--time-less-p
          4,256   0%                                    timer-relative-time
          2,688   0%                                  - timer-set-time
          2,688   0%                                     timer--time-setter
          6,144   0%                                  re-search-backward
          5,120   0%                                 replace-regexp-in-string
         44,176   0%                             - seed7-line-at-endof-array-definition-block
         20,720   0%                              - seed7-line-code-ends-with
         20,720   0%                               - seed7-re-search-backward
         13,552   0%                                - run-with-timer
         13,552   0%                                 - run-at-time
          6,608   0%                                  - timer-activate
          6,608   0%                                   - timer--activate
          6,608   0%                                      timer--time-less-p
          4,256   0%                                    timer-relative-time
          2,688   0%                                  - timer-set-time
          2,688   0%                                     timer--time-setter
          7,168   0%                                  re-search-backward
         15,488   0%                              - backward-sexp
         15,488   0%                               - forward-sexp
         15,488   0%                                - seed7--forward-sexp-function
          7,744   0%                                 - seed7--at-array-definition-end-line-p
          7,744   0%                                  - seed7-line-code-ends-with
          7,744   0%                                   - seed7-re-search-backward
          7,744   0%                                    - run-with-timer
          7,744   0%                                     - run-at-time
          3,776   0%                                      - timer-activate
          3,776   0%                                       - timer--activate
          3,776   0%                                          timer--time-less-p
          2,432   0%                                        timer-relative-time
          1,536   0%                                      - timer-set-time
          1,536   0%                                         timer--time-setter
          7,744   0%                                 - seed7--at-set-definition-end-line-p
          7,744   0%                                  - seed7-line-code-ends-with
          7,744   0%                                   - seed7-re-search-backward
          7,744   0%                                    - run-with-timer
          7,744   0%                                     - run-at-time
          3,776   0%                                      - timer-activate
          3,776   0%                                       - timer--activate
          3,776   0%                                          timer--time-less-p
          2,432   0%                                        timer-relative-time
          1,536   0%                                      - timer-set-time
          1,536   0%                                         timer--time-setter
          4,096   0%                                looking-at
          3,872   0%                              - seed7-re-search-backward
          3,872   0%                               - run-with-timer
          3,872   0%                                - run-at-time
          1,888   0%                                 - timer-activate
          1,888   0%                                  - timer--activate
          1,888   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
         26,608   0%                             - seed7-line-is-defun-end
         18,432   0%                                looking-back
          6,144   0%                              - seed7-move-to-line
          6,144   0%                                 seed7-to-previous-non-empty-line
          2,032   0%                              - seed7--current-line-nth-word
          2,032   0%                                 thing-at-point
         20,280   0%                             - seed7-line-inside-array-definition-block
         14,136   0%                              - seed7-re-search-backward
          7,360   0%                                 re-search-backward
          6,776   0%                               - run-with-timer
          6,776   0%                                - run-at-time
          3,304   0%                                 - timer-activate
          3,304   0%                                  - timer--activate
          3,304   0%                                     timer--time-less-p
          2,128   0%                                   timer-relative-time
          1,344   0%                                 - timer-set-time
          1,344   0%                                    timer--time-setter
          6,144   0%                              - forward-sexp
          6,144   0%                                 seed7--forward-sexp-function
         18,096   0%                             - seed7-line-after-short-func-end
         11,952   0%                              - seed7-to-block-backward
         11,952   0%                               - seed7-re-search-backward
          6,144   0%                                  re-search-backward
          5,808   0%                                - run-with-timer
          5,808   0%                                 - run-at-time
          2,832   0%                                  - timer-activate
          2,832   0%                                   - timer--activate
          2,832   0%                                      timer--time-less-p
          1,824   0%                                    timer-relative-time
          1,152   0%                                  - timer-set-time
          1,152   0%                                     timer--time-setter
         13,944   0%                             - seed7-line-inside-set-definition-block
         13,944   0%                              - seed7-re-search-backward
          7,168   0%                                 re-search-backward
          6,776   0%                               - run-with-timer
          6,776   0%                                - run-at-time
          3,304   0%                                 - timer-activate
          3,304   0%                                  - timer--activate
          3,304   0%                                     timer--time-less-p
          2,128   0%                                   timer-relative-time
          1,344   0%                                 - timer-set-time
          1,344   0%                                    timer--time-setter
         13,944   0%                             - seed7-line-inside-assign-statement-continuation
         13,944   0%                              - seed7-assign-op-pos
         13,944   0%                               - seed7-re-search-backward
          7,168   0%                                  re-search-backward
          6,776   0%                                - run-with-timer
          6,776   0%                                 - run-at-time
          3,304   0%                                  - timer-activate
          3,304   0%                                   - timer--activate
          3,304   0%                                      timer--time-less-p
          2,128   0%                                    timer-relative-time
          1,344   0%                                  - timer-set-time
          1,344   0%                                     timer--time-setter
         11,616   0%                             - seed7-line-at-endof-set-definition-block
         11,616   0%                              - seed7-line-code-ends-with
         11,616   0%                               - seed7-re-search-backward
         11,616   0%                                - run-with-timer
         11,616   0%                                 - run-at-time
          5,664   0%                                  - timer-activate
          5,664   0%                                   - timer--activate
          5,664   0%                                      timer--time-less-p
          3,648   0%                                    timer-relative-time
          2,304   0%                                  - timer-set-time
          2,304   0%                                     timer--time-setter
         11,264   0%                               seed7-line-after-func-return-logic-operator-column
          7,168   0%                             - seed7-line-isa-string
          7,168   0%                                seed7-line-starts-with
          7,168   0%                               seed7-line-starts-with
         52,944   0%                              match-string
         27,648   0%                              seed7--indent-offset-for
      3,145,576   6%                          - seed7--current-line-nth-word
      3,145,576   6%                           - thing-at-point
      3,117,128   6%                            - bounds-of-thing-at-point
      3,077,224   6%                             - #<byte-code-function E65>
      3,077,224   6%                              - forward-thing
      2,995,384   6%                               - forward-word
      2,995,384   6%                                - internal--syntax-propertize
      2,995,384   6%                                 - syntax-propertize
      2,995,384   6%                                    seed7-mode-syntax-propertize
         81,840   0%                                 format
         32,736   0%                             - #<byte-code-function 0BF>
         32,736   0%                              - forward-thing
         32,736   0%                                 format
          7,168   0%                               re-search-forward
      2,213,864   4%                          - seed7-line-inside-parens-pair-column
      2,213,864   4%                           - seed7-line-inside-parens-pair
      2,000,232   4%                            - seed7-re-search-backward
      1,438,448   2%                             - run-with-timer
      1,438,448   2%                              - run-at-time
        701,392   1%                               - timer-activate
        701,392   1%                                - timer--activate
        701,392   1%                                   timer--time-less-p
        451,744   0%                                 timer-relative-time
        285,312   0%                               - timer-set-time
        285,312   0%                                  timer--time-setter
        561,784   1%                               re-search-backward
        213,632   0%                            - forward-sexp
        213,632   0%                               seed7--forward-sexp-function
      2,094,409   4%                          - seed7-comment-column
      1,723,513   3%                           - seed7-calc-indent
        437,275   0%                            - seed7-line-is-defun-end
        226,528   0%                               looking-back
        138,067   0%                             - seed7--safe-current-line-defun-start-indent
        138,067   0%                              - seed7-to-block-backward
        118,651   0%                               - seed7-re-search-backward
         82,835   0%                                  re-search-backward
         35,816   0%                                - run-with-timer
         35,816   0%                                 - run-at-time
         17,464   0%                                  - timer-activate
         17,464   0%                                   - timer--activate
         17,464   0%                                      timer--time-less-p
         11,248   0%                                    timer-relative-time
          7,104   0%                                  - timer-set-time
          7,104   0%                                     timer--time-setter
         19,416   0%                               - seed7--current-line-nth-word
