     61,608,886  99% - ...
     61,608,886  99%  - call-interactively@ido-cr+-record-current-command
     61,608,886  99%   - #<primitive-function call-interactively>
     61,608,886  99%    - funcall-interactively
     61,608,886  99%     - smex
     61,608,886  99%      - smex-read-and-run
     61,608,886  99%       - execute-extended-command
     61,608,886  99%        - command-execute
     61,608,886  99%         - call-interactively
     61,608,886  99%          - apply
     61,608,886  99%           - call-interactively@ido-cr+-record-current-command
     61,608,886  99%            - #<primitive-function call-interactively>
     61,608,886  99%             - funcall-interactively
     61,608,886  99%              - pel-profile-all
     61,608,886  99%               - pel-profile-indent
     61,608,886  99%                - pel-profile-indentation-test-of
     60,039,354  97%                 - call-interactively
     60,039,354  97%                  - apply
     60,039,354  97%                   - call-interactively@ido-cr+-record-current-command
     60,039,354  97%                    - #<primitive-function call-interactively>
     60,039,354  97%                     - funcall-interactively
     60,039,338  97%                      - seed7-complete-statement-or-indent
     60,039,338  97%                       - seed7-indent-region
     60,039,338  97%                        - seed7--indent-one-line
     60,039,338  97%                         - seed7-calc-indent
     31,914,472  51%                          - seed7-line-inside-parens-pair-column
     31,914,472  51%                           - seed7-line-inside-parens-pair
     31,312,256  50%                            - seed7-re-search-backward
     30,836,608  49%                             - run-with-timer
     30,836,608  49%                              - run-at-time
     15,036,032  24%                               - timer-activate
     15,036,032  24%                                - timer--activate
     15,036,032  24%                                   timer--time-less-p
      9,684,224  15%                                 timer-relative-time
      6,116,352   9%                               - timer-set-time
      6,116,352   9%                                  timer--time-setter
        475,648   0%                               re-search-backward
        602,216   0%                            - forward-sexp
        602,216   0%                               seed7--forward-sexp-function
      6,383,247  10%                          - seed7-comment-column
      5,277,591   8%                           - seed7-calc-indent
      1,752,955   2%                            - seed7-line-inside-a-block-cached
      1,752,955   2%                             - seed7-line-inside-a-block
      1,273,747   2%                              - seed7--safe-enclosing-block-bounds
      1,273,747   2%                               - seed7--block-end-pos-for
        847,155   1%                                - seed7-to-block-forward
        770,547   1%                                 - seed7-re-search-forward
        638,835   1%                                  - seed7-inside-comment-p
        638,835   1%                                   - syntax-ppss
        638,835   1%                                    - syntax-propertize
        638,835   1%                                       seed7-mode-syntax-propertize
         67,400   0%                                 - seed7--current-line-nth-word
         67,400   0%                                  - thing-at-point
         50,128   0%                                   - bounds-of-thing-at-point
         49,104   0%                                    - #<byte-code-function B09>
         49,104   0%                                     - forward-thing
         49,104   0%                                        format
          1,024   0%                                      re-search-forward
          8,184   0%                                 - seed7--end-regexp-for
          8,184   0%                                    seed7--type-regexp
          1,024   0%                                   seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        426,592   0%                                - seed7--line-ends-a-statement-p
        426,592   0%                                   looking-at
        306,200   0%                              - seed7-re-search-backward
        157,128   0%                                 re-search-backward
        149,072   0%                               - run-with-timer
        149,072   0%                                - run-at-time
         72,688   0%                                 - timer-activate
         72,688   0%                                  - timer--activate
         72,688   0%                                     timer--time-less-p
         46,816   0%                                   timer-relative-time
         29,568   0%                                 - timer-set-time
         29,568   0%                                    timer--time-setter
        139,256   0%                              - replace-regexp-in-string
          8,184   0%                                 concat
          1,016   0%                                match-string
        586,669   0%                            - seed7-line-inside-argument-list-section
        322,498   0%                             - seed7-re-search-backward
        198,594   0%                                re-search-backward
        123,904   0%                              - run-with-timer
        123,904   0%                               - run-at-time
         60,416   0%                                - timer-activate
         60,416   0%                                 - timer--activate
         60,416   0%                                    timer--time-less-p
         38,912   0%                                  timer-relative-time
         24,576   0%                                - timer-set-time
         24,576   0%                                   timer--time-setter
        264,171   0%                             - seed7-line-is-procfunc-beg-of-decl
        264,171   0%                                seed7-line-starts-with
        489,935   0%                            - seed7-line-is-defun-end
        436,192   0%                               looking-back
         15,296   0%                             - seed7--current-line-nth-word
         15,296   0%                              - thing-at-point
          8,184   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function 3F0>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
         15,263   0%                             - seed7-beg-of-defun
          5,976   0%                              - seed7-re-search-backward-closest
          5,976   0%                               - seed7-re-search-backward
          4,040   0%                                  re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          4,599   0%                              - seed7-re-search-backward
          3,631   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
         13,008   0%                             - seed7-line-starts-with-any
         13,008   0%                                seed7-line-starts-with
         10,176   0%                             - seed7--safe-current-line-defun-start-indent
         10,176   0%                              - seed7-to-block-backward
          8,184   0%                               - seed7--current-line-nth-word
          8,184   0%                                - thing-at-point
          8,184   0%                                 - bounds-of-thing-at-point
          8,184   0%                                  - #<byte-code-function 474>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
        320,000   0%                            - seed7-line-inside-set-definition-block
        320,000   0%                             - seed7-re-search-backward
        168,992   0%                                re-search-backward
        151,008   0%                              - run-with-timer
        151,008   0%                               - run-at-time
         73,632   0%                                - timer-activate
         73,632   0%                                 - timer--activate
         73,632   0%                                    timer--time-less-p
         47,424   0%                                  timer-relative-time
         29,952   0%                                - timer-set-time
         29,952   0%                                   timer--time-setter
        300,496   0%                            - seed7-line-inside-assign-statement-continuation
        300,496   0%                             - seed7-assign-op-pos
        300,496   0%                              - seed7-re-search-backward
        151,008   0%                               - run-with-timer
        151,008   0%                                - run-at-time
         73,632   0%                                 - timer-activate
         73,632   0%                                  - timer--activate
         73,632   0%                                     timer--time-less-p
         47,424   0%                                   timer-relative-time
         29,952   0%                                 - timer-set-time
         29,952   0%                                    timer--time-setter
        149,488   0%                                 re-search-backward
        295,496   0%                            - seed7-line-inside-array-definition-block
        295,496   0%                             - seed7-re-search-backward
        150,992   0%                              - run-with-timer
        150,992   0%                               - run-at-time
         73,632   0%                                - timer-activate
         73,632   0%                                 - timer--activate
         73,632   0%                                    timer--time-less-p
         47,408   0%                                  timer-relative-time
         29,952   0%                                - timer-set-time
         29,952   0%                                   timer--time-setter
        144,504   0%                                re-search-backward
        290,760   0%                            - seed7-line-inside-parens-pair-column
        290,760   0%                             - seed7-line-inside-parens-pair
        290,760   0%                              - seed7-re-search-backward
        149,072   0%                               - run-with-timer
        149,072   0%                                - run-at-time
         72,688   0%                                 - timer-activate
         72,688   0%                                  - timer--activate
         72,688   0%                                     timer--time-less-p
         46,816   0%                                   timer-relative-time
         29,568   0%                                 - timer-set-time
         29,568   0%                                    timer--time-setter
        141,688   0%                                 re-search-backward
        255,616   0%                            - seed7-line-inside-until-logic-expression
        255,616   0%                             - seed7-re-search-backward
        131,712   0%                                re-search-backward
        123,904   0%                              - run-with-timer
        123,904   0%                               - run-at-time
         60,416   0%                                - timer-activate
         60,416   0%                                 - timer--activate
         60,416   0%                                    timer--time-less-p
         38,912   0%                                  timer-relative-time
         24,576   0%                                - timer-set-time
         24,576   0%                                   timer--time-setter
        255,616   0%                            - seed7-line-inside-func-return-statement
        255,616   0%                             - seed7-re-search-backward
        131,712   0%                                re-search-backward
        123,904   0%                              - run-with-timer
        123,904   0%                               - run-at-time
         60,416   0%                                - timer-activate
         60,416   0%                                 - timer--activate
         60,416   0%                                    timer--time-less-p
         38,912   0%                                  timer-relative-time
         24,576   0%                                - timer-set-time
         24,576   0%                                   timer--time-setter
        255,232   0%                            - seed7-line-inside-logic-check-expression
        255,232   0%                             - seed7-to-previous-line-starts-with
        255,232   0%                              - seed7-re-search-backward
        131,328   0%                                 re-search-backward
        123,904   0%                               - run-with-timer
        123,904   0%                                - run-at-time
         60,416   0%                                 - timer-activate
         60,416   0%                                  - timer--activate
         60,416   0%                                     timer--time-less-p
         38,912   0%                                   timer-relative-time
         24,576   0%                                 - timer-set-time
         24,576   0%                                    timer--time-setter
        165,856   0%                            - seed7-line-isa-string
        165,856   0%                               seed7-line-starts-with
        141,304   0%                              seed7-line-starts-with
        140,536   0%                              seed7-line-after-func-return-logic-operator-column
         16,368   0%                            - seed7--current-line-nth-word
         16,368   0%                             - thing-at-point
         16,368   0%                              - bounds-of-thing-at-point
         16,368   0%                               - #<byte-code-function FD6>
         16,368   0%                                - forward-thing
         16,368   0%                                   format
          3,200   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          2,048   0%                               seed7-line-starts-with
          2,656   0%                              seed7-line-after-short-func-end
          1,936   0%                            - seed7-line-at-endof-array-definition-block
          1,936   0%                             - seed7-line-code-ends-with
          1,936   0%                              - seed7-re-search-backward
          1,936   0%                               - run-with-timer
          1,936   0%                                - run-at-time
            944   0%                                 - timer-activate
            944   0%                                  - timer--activate
            944   0%                                     timer--time-less-p
            608   0%                                   timer-relative-time
            384   0%                                 - timer-set-time
            384   0%                                    timer--time-setter
          1,936   0%                            - seed7-line-at-endof-set-definition-block
          1,936   0%                             - seed7-line-code-ends-with
          1,936   0%                              - seed7-re-search-backward
          1,936   0%                               - run-with-timer
          1,936   0%                                - run-at-time
            944   0%                                 - timer-activate
            944   0%                                  - timer--activate
