      9,079,521  99% - ...
      9,079,521  99%  - call-interactively@ido-cr+-record-current-command
      9,079,521  99%   - #<primitive-function call-interactively>
      9,079,521  99%    - funcall-interactively
      9,079,521  99%     - smex
      9,079,521  99%      - smex-read-and-run
      9,079,521  99%       - execute-extended-command
      9,079,521  99%        - command-execute
      9,079,521  99%         - call-interactively
      9,079,521  99%          - apply
      9,079,521  99%           - call-interactively@ido-cr+-record-current-command
      9,079,521  99%            - #<primitive-function call-interactively>
      9,079,521  99%             - funcall-interactively
      9,079,521  99%              - pel-profile-all
      9,079,521  99%               - pel-profile-indent
      9,079,521  99%                - pel-profile-indentation-test-of
      7,518,437  82%                 - call-interactively
      7,518,437  82%                  - apply
      7,518,437  82%                   - call-interactively@ido-cr+-record-current-command
      7,518,437  82%                    - #<primitive-function call-interactively>
      7,518,437  82%                     - funcall-interactively
      7,518,421  82%                      - seed7-complete-statement-or-indent
      7,518,421  82%                       - seed7-indent-region
      7,518,421  82%                        - seed7--indent-one-line
      7,518,421  82%                         - seed7-calc-indent
      6,293,828  69%                          - seed7-comment-column
      6,290,756  69%                           - seed7-calc-indent
      6,139,844  67%                            - seed7-line-at-endof-set-definition-block
      6,139,844  67%                             - seed7-move-to-line
      6,139,844  67%                              - seed7-to-previous-non-empty-line
      6,139,844  67%                               - seed7-inside-comment-p
      6,139,844  67%                                - syntax-ppss
      6,139,844  67%                                   #<byte-code-function 82E>
         33,376   0%                            - seed7-line-inside-a-block-cached
         33,376   0%                             - seed7-line-inside-a-block
         25,192   0%                              - seed7-re-search-backward
         23,688   0%                               - run-with-timer
         23,688   0%                                - run-at-time
         13,272   0%                                 - timer-activate
         13,272   0%                                  - timer--activate
         13,272   0%                                     timer--time-less-p
          6,384   0%                                   timer-relative-time
          4,032   0%                                 - timer-set-time
          4,032   0%                                    timer--time-setter
          1,504   0%                                 re-search-backward
         24,904   0%                            - seed7-line-inside-array-definition-block
         24,904   0%                             - seed7-re-search-backward
         23,688   0%                              - run-with-timer
         23,688   0%                               - run-at-time
         13,272   0%                                - timer-activate
         13,272   0%                                 - timer--activate
         13,272   0%                                    timer--time-less-p
          6,384   0%                                  timer-relative-time
          4,032   0%                                - timer-set-time
          4,032   0%                                   timer--time-setter
          1,216   0%                                re-search-backward
         24,712   0%                            - seed7-line-inside-set-definition-block
         24,712   0%                             - seed7-re-search-backward
         23,688   0%                              - run-with-timer
         23,688   0%                               - run-at-time
         13,272   0%                                - timer-activate
         13,272   0%                                 - timer--activate
         13,272   0%                                    timer--time-less-p
          6,384   0%                                  timer-relative-time
          4,032   0%                                - timer-set-time
          4,032   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
         24,712   0%                            - seed7-line-inside-assign-statement-continuation
         24,712   0%                             - seed7-assign-op-pos
         24,712   0%                              - seed7-re-search-backward
         23,688   0%                               - run-with-timer
         23,688   0%                                - run-at-time
         13,272   0%                                 - timer-activate
         13,272   0%                                  - timer--activate
         13,272   0%                                     timer--time-less-p
          6,384   0%                                   timer-relative-time
          4,032   0%                                 - timer-set-time
          4,032   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         24,712   0%                            - seed7-line-inside-parens-pair-column
         24,712   0%                             - seed7-line-inside-parens-pair
         24,712   0%                              - seed7-re-search-backward
         23,688   0%                               - run-with-timer
         23,688   0%                                - run-at-time
         13,272   0%                                 - timer-activate
         13,272   0%                                  - timer--activate
         13,272   0%                                     timer--time-less-p
          6,384   0%                                   timer-relative-time
          4,032   0%                                 - timer-set-time
          4,032   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          9,232   0%                            - seed7--current-line-nth-word
          9,232   0%                             - thing-at-point
          9,232   0%                              - bounds-of-thing-at-point
          8,184   0%                               - #<byte-code-function D6C>
          8,184   0%                                - forward-thing
          8,184   0%                                   format
          1,048   0%                               - #<byte-code-function A6E>
          1,048   0%                                - forward-thing
          1,048   0%                                   format
          5,168   0%                            - seed7-line-is-defun-end
          4,120   0%                               looking-back
          1,048   0%                             - seed7--current-line-nth-word
          1,048   0%                              - thing-at-point
          1,048   0%                               - bounds-of-thing-at-point
          1,048   0%                                - #<byte-code-function CE8>
          1,048   0%                                 - forward-thing
          1,048   0%                                    format
          1,024   0%                            - seed7-line-isa-string
          1,024   0%                               seed7-line-starts-with
          1,024   0%                              seed7-line-starts-with
          1,024   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                               seed7-line-starts-with
          1,024   0%                              seed7--indent-search-boundary
          1,024   0%                             seed7-line-starts-with
          1,024   0%                             looking-at
          1,024   0%                           - seed7-line-code-ends-with
          1,024   0%                            - seed7-move-to-line
          1,024   0%                               seed7-to-previous-non-empty-line
        265,665   2%                          - seed7-line-inside-a-block-cached
        265,665   2%                           - seed7-line-inside-a-block
        138,713   1%                            - seed7--safe-enclosing-block-bounds
        138,713   1%                             - seed7--block-end-pos-for
        132,569   1%                              - seed7-to-block-forward
         62,072   0%                               - seed7-end-of-defun
         43,224   0%                                - seed7-top-block-name
         37,024   0%                                 - seed7--to-top
         28,000   0%                                  - seed7-re-search-backward
         25,760   0%                                   - run-with-timer
         25,760   0%                                    - run-at-time
         15,840   0%                                     - timer-activate
         15,840   0%                                      - timer--activate
         15,840   0%                                         timer--time-less-p
          6,080   0%                                       timer-relative-time
          3,840   0%                                     - timer-set-time
          3,840   0%                                        timer--time-setter
          2,240   0%                                     re-search-backward
          9,024   0%                                  - run-with-timer
          9,024   0%                                   - run-at-time
          5,056   0%                                    - timer-activate
          5,056   0%                                     - timer--activate
          5,056   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
          6,200   0%                                 - seed7--block-name
          6,200   0%                                    seed7-re-search-forward
          9,024   0%                                - seed7-re-search-backward
          9,024   0%                                 - run-with-timer
          9,024   0%                                  - run-at-time
          5,056   0%                                   - timer-activate
          5,056   0%                                    - timer--activate
          5,056   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
          4,096   0%                                  seed7-re-search-forward
         37,737   0%                                 seed7-re-search-forward
         23,552   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          9,208   0%                               - seed7--current-line-nth-word
          9,208   0%                                - thing-at-point
          1,024   0%                                 - bounds-of-thing-at-point
          1,024   0%                                    re-search-forward
          6,144   0%                              - seed7--line-ends-a-statement-p
          6,144   0%                                 looking-at
         72,824   0%                            - seed7-re-search-backward
         40,608   0%                             - run-with-timer
         40,608   0%                              - run-at-time
         22,752   0%                               - timer-activate
         22,752   0%                                - timer--activate
         22,752   0%                                   timer--time-less-p
         10,944   0%                                 timer-relative-time
          6,912   0%                               - timer-set-time
          6,912   0%                                  timer--time-setter
         32,216   0%                               re-search-backward
         30,448   0%                            - seed7-calc-indent
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          3,760   0%                             - seed7-line-inside-a-block-cached
