         115  75% - ...
         115  75%  - funcall-interactively
         115  75%   - pel-profile-all
         115  75%    - pel-profile-indent
         115  75%     - pel-profile-indentation-test-of
         115  75%      - call-interactively
         115  75%       - apply
         115  75%        - call-interactively@ido-cr+-record-current-command
         115  75%         - #<primitive-function call-interactively>
         115  75%          - funcall-interactively
         107  69%           - seed7-complete-statement-or-indent
         107  69%            - seed7-indent-region
         107  69%             - seed7--indent-one-line
         107  69%              - seed7-calc-indent
          41  26%               - seed7--indent-search-boundary
          41  26%                - seed7--indent-search-boundary-uncached
          41  26%                 - syntax-ppss
          40  26%                    parse-partial-sexp
          26  16%               - seed7-line-inside-a-block-cached
          26  16%                - seed7-line-inside-a-block
          16  10%                 - seed7--safe-enclosing-block-bounds
          16  10%                  - seed7--block-end-pos-for
          16  10%                   - seed7-to-block-forward
           9   5%                    - seed7-end-of-defun
           7   4%                     - seed7-top-block-name
           7   4%                      - seed7--to-top
           7   4%                       - seed7-re-search-backward
           5   3%                        - seed7-inside-comment-p
           5   3%                         - syntax-ppss
           4   2%                            parse-partial-sexp
           1   0%                          - syntax-propertize
           1   0%                             seed7-mode-syntax-propertize
           2   1%                        - run-with-timer
           2   1%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                            - timer--time-less-p
           1   0%                               timer--time
           1   0%                            timer-relative-time
           2   1%                     - seed7-re-search-backward
           2   1%                      - seed7-inside-comment-p
           2   1%                       - syntax-ppss
           2   1%                          parse-partial-sexp
           5   3%                    - seed7-re-search-forward
           4   2%                     - seed7-inside-comment-p
           4   2%                      - syntax-ppss
           4   2%                         parse-partial-sexp
           1   0%                     - seed7-inside-string-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                    - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                    - seed7-inside-line-indent-before-comment-p
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           6   3%                 - seed7-calc-indent
           4   2%                  - seed7-line-inside-a-block-cached
           4   2%                   - seed7-line-inside-a-block
           4   2%                    - seed7--safe-enclosing-block-bounds
           4   2%                     - seed7--block-end-pos-for
           4   2%                      - seed7-to-block-forward
           3   1%                       - seed7-end-of-defun
           2   1%                        - seed7-top-block-name
           2   1%                         - seed7--to-top
           2   1%                          - seed7-re-search-backward
           2   1%                             re-search-backward
           1   0%                          seed7-re-search-forward
           1   0%                       - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                  - seed7-line-inside-parens-pair-column
           1   0%                   - seed7-line-inside-parens-pair
           1   0%                    - seed7-re-search-backward
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                  - seed7-line-inside-array-definition-block
           1   0%                   - forward-sexp
           1   0%                      seed7--forward-sexp-function
           4   2%                 - seed7-re-search-backward
           3   1%                  - seed7-inside-comment-p
