      2,837,062  99% - ...
      2,837,062  99%  - call-interactively@ido-cr+-record-current-command
      2,837,062  99%   - #<primitive-function call-interactively>
      2,837,062  99%    - funcall-interactively
      2,837,062  99%     - smex
      2,837,062  99%      - smex-read-and-run
      2,837,062  99%       - execute-extended-command
      2,837,062  99%        - command-execute
      2,837,062  99%         - call-interactively
      2,837,062  99%          - apply
      2,837,062  99%           - call-interactively@ido-cr+-record-current-command
      2,837,062  99%            - #<primitive-function call-interactively>
      2,837,062  99%             - funcall-interactively
      2,837,062  99%              - pel-profile-all
      2,837,062  99%               - pel-profile-indent
      2,837,062  99%                - pel-profile-indentation-test-of
      1,561,084  54%                   profiler-stop
      1,275,978  44%                 - call-interactively
      1,275,978  44%                  - apply
      1,275,978  44%                   - call-interactively@ido-cr+-record-current-command
      1,275,978  44%                    - #<primitive-function call-interactively>
      1,275,978  44%                     - funcall-interactively
      1,275,962  44%                      - seed7-complete-statement-or-indent
      1,275,962  44%                       - seed7-indent-region
      1,275,962  44%                        - seed7--indent-one-line
      1,275,962  44%                         - seed7-calc-indent
        421,903  14%                          - seed7-comment-column
        418,831  14%                           - seed7-calc-indent
        285,095  10%                            - seed7-line-inside-parens-pair-column
        285,095  10%                             - seed7-line-inside-parens-pair
        285,095  10%                              - seed7-re-search-backward
        259,871   9%                               - seed7-inside-comment-p
        259,871   9%                                - syntax-ppss
        259,871   9%                                   #<byte-code-function 2A9>
         24,200   0%                               - run-with-timer
         24,200   0%                                - run-at-time
         11,800   0%                                 - timer-activate
         11,800   0%                                  - timer--activate
         11,800   0%                                     timer--time-less-p
          7,600   0%                                   timer-relative-time
          4,800   0%                                 - timer-set-time
          4,800   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         25,864   0%                            - seed7-line-inside-a-block-cached
         25,864   0%                             - seed7-line-inside-a-block
         25,864   0%                              - seed7-re-search-backward
         24,200   0%                               - run-with-timer
         24,200   0%                                - run-at-time
         11,800   0%                                 - timer-activate
         11,800   0%                                  - timer--activate
         11,800   0%                                     timer--time-less-p
          7,600   0%                                   timer-relative-time
          4,800   0%                                 - timer-set-time
          4,800   0%                                    timer--time-setter
          1,664   0%                                 re-search-backward
         25,224   0%                            - seed7-line-inside-array-definition-block
         25,224   0%                             - seed7-re-search-backward
         24,200   0%                              - run-with-timer
         24,200   0%                               - run-at-time
         11,800   0%                                - timer-activate
         11,800   0%                                 - timer--activate
         11,800   0%                                    timer--time-less-p
          7,600   0%                                  timer-relative-time
          4,800   0%                                - timer-set-time
          4,800   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
         25,224   0%                            - seed7-line-inside-set-definition-block
         25,224   0%                             - seed7-re-search-backward
         24,200   0%                              - run-with-timer
         24,200   0%                               - run-at-time
         11,800   0%                                - timer-activate
         11,800   0%                                 - timer--activate
         11,800   0%                                    timer--time-less-p
          7,600   0%                                  timer-relative-time
          4,800   0%                                - timer-set-time
          4,800   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
         25,224   0%                            - seed7-line-inside-assign-statement-continuation
         25,224   0%                             - seed7-assign-op-pos
         25,224   0%                              - seed7-re-search-backward
         24,200   0%                               - run-with-timer
         24,200   0%                                - run-at-time
         11,800   0%                                 - timer-activate
         11,800   0%                                  - timer--activate
         11,800   0%                                     timer--time-less-p
          7,600   0%                                   timer-relative-time
          4,800   0%                                 - timer-set-time
          4,800   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         19,440   0%                            - seed7-line-is-defun-end
         19,440   0%                               looking-back
          8,184   0%                            - seed7--current-line-nth-word
          8,184   0%                             - thing-at-point
          8,184   0%                              - bounds-of-thing-at-point
          8,184   0%                               - #<byte-code-function 5BC>
          8,184   0%                                - forward-thing
          8,184   0%                                   format
          1,504   0%                              seed7--indent-search-boundary
          1,024   0%                            - seed7-line-isa-string
          1,024   0%                               seed7-line-starts-with
          1,024   0%                              seed7-line-starts-with
          1,024   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                               seed7-line-starts-with
          1,024   0%                             seed7-line-starts-with
          1,024   0%                             looking-at
          1,024   0%                           - seed7-line-code-ends-with
          1,024   0%                            - seed7-move-to-line
          1,024   0%                               seed7-to-previous-non-empty-line
        379,145  13%                          - seed7-line-is-defun-end
        211,251   7%                           - seed7-beg-of-defun
         91,439   3%                            - seed7-re-search-backward-closest
         91,439   3%                             - seed7-re-search-backward
         46,911   1%                                re-search-backward
         44,528   1%                              - run-with-timer
         44,528   1%                               - run-at-time
         21,712   0%                                - timer-activate
         21,712   0%                                 - timer--activate
         21,712   0%                                    timer--time-less-p
         13,984   0%                                  timer-relative-time
          8,832   0%                                - timer-set-time
          8,832   0%                                   timer--time-setter
         51,103   1%                            - seed7-re-search-backward
         28,839   1%                               re-search-backward
         22,264   0%                             - run-with-timer
         22,264   0%                              - run-at-time
         10,856   0%                               - timer-activate
         10,856   0%                                - timer--activate
         10,856   0%                                   timer--time-less-p
          6,992   0%                                 timer-relative-time
          4,416   0%                               - timer-set-time
          4,416   0%                                  timer--time-setter
          8,184   0%                            - user-error
          8,184   0%                               format-message
        152,534   5%                           - seed7-line-starts-with-any
        152,534   5%                              seed7-line-starts-with
         12,288   0%                           - seed7-move-to-line
         12,288   0%                              seed7-to-previous-non-empty-line
          3,072   0%                             looking-back
        118,504   4%                          - seed7-line-inside-parens-pair-column
        118,504   4%                           - seed7-line-inside-parens-pair
         87,792   3%                            - seed7-re-search-backward
         75,504   2%                             - run-with-timer
         75,504   2%                              - run-at-time
         36,816   1%                               - timer-activate
         36,816   1%                                - timer--activate
         36,816   1%                                   timer--time-less-p
         23,712   0%                                 timer-relative-time
         14,976   0%                               - timer-set-time
         14,976   0%                                  timer--time-setter
         12,288   0%                               re-search-backward
         30,712   1%                            - forward-sexp
         30,712   1%                               seed7--forward-sexp-function
        100,024   3%                          - seed7-line-at-endof-array-definition-block
         42,592   1%                           - backward-sexp
         42,592   1%                            - forward-sexp
         42,592   1%                             - seed7--forward-sexp-function
         21,296   0%                              - seed7--at-array-definition-end-line-p
         21,296   0%                               - seed7-line-code-ends-with
         21,296   0%                                - seed7-re-search-backward
         21,296   0%                                 - run-with-timer
         21,296   0%                                  - run-at-time
         10,384   0%                                   - timer-activate
         10,384   0%                                    - timer--activate
         10,384   0%                                       timer--time-less-p
          6,688   0%                                     timer-relative-time
          4,224   0%                                   - timer-set-time
          4,224   0%                                      timer--time-setter
         21,296   0%                              - seed7--at-set-definition-end-line-p
         21,296   0%                               - seed7-line-code-ends-with
         21,296   0%                                - seed7-re-search-backward
         21,296   0%                                 - run-with-timer
         21,296   0%                                  - run-at-time
         10,384   0%                                   - timer-activate
         10,384   0%                                    - timer--activate
         10,384   0%                                       timer--time-less-p
          6,688   0%                                     timer-relative-time
          4,224   0%                                   - timer-set-time
          4,224   0%                                      timer--time-setter
         35,520   1%                           - seed7-line-code-ends-with
         35,520   1%                            - seed7-re-search-backward
         23,232   0%                             - run-with-timer
         23,232   0%                              - run-at-time
         11,328   0%                               - timer-activate
         11,328   0%                                - timer--activate
         11,328   0%                                   timer--time-less-p
          7,296   0%                                 timer-relative-time
          4,608   0%                               - timer-set-time
          4,608   0%                                  timer--time-setter
         12,288   0%                               re-search-backward
         11,264   0%                             looking-at
         10,648   0%                           - seed7-re-search-backward
         10,648   0%                            - run-with-timer
         10,648   0%                             - run-at-time
          5,192   0%                              - timer-activate
          5,192   0%                               - timer--activate
          5,192   0%                                  timer--time-less-p
          3,344   0%                                timer-relative-time
          2,112   0%                              - timer-set-time
          2,112   0%                                 timer--time-setter
         35,058   1%                          - seed7--current-line-nth-word
         35,058   1%                           - thing-at-point
         35,058   1%                            - bounds-of-thing-at-point
         23,794   0%                             - #<byte-code-function 49C>
         23,794   0%                              - forward-thing
         23,794   0%                               - forward-word
         23,794   0%                                - internal--syntax-propertize
         23,794   0%                                 - syntax-propertize
         23,794   0%                                    seed7-mode-syntax-propertize
         11,264   0%                               re-search-forward
         33,048   1%                          - seed7-line-inside-a-block-cached
         33,048   1%                           - seed7-line-inside-a-block
         33,048   1%                            - seed7-re-search-backward
         21,432   0%                               re-search-backward
         11,616   0%                             - run-with-timer
         11,616   0%                              - run-at-time
          5,664   0%                               - timer-activate
          5,664   0%                                - timer--activate
          5,664   0%                                   timer--time-less-p
          3,648   0%                                 timer-relative-time
          2,304   0%                               - timer-set-time
          2,304   0%                                  timer--time-setter
         24,576   0%                            seed7-line-after-short-func-end
         24,040   0%                          - seed7-line-inside-set-definition-block
         24,040   0%                           - seed7-re-search-backward
         12,584   0%                            - run-with-timer
         12,584   0%                             - run-at-time
          6,136   0%                              - timer-activate
          6,136   0%                               - timer--activate
          6,136   0%                                  timer--time-less-p
          3,952   0%                                timer-relative-time
          2,496   0%                              - timer-set-time
          2,496   0%                                 timer--time-setter
         11,456   0%                              re-search-backward
         23,848   0%                          - seed7-line-inside-array-definition-block
         23,848   0%                           - seed7-re-search-backward
         12,584   0%                            - run-with-timer
         12,584   0%                             - run-at-time
          6,136   0%                              - timer-activate
          6,136   0%                               - timer--activate
          6,136   0%                                  timer--time-less-p
          3,952   0%                                timer-relative-time
          2,496   0%                              - timer-set-time
          2,496   0%                                 timer--time-setter
         11,264   0%                              re-search-backward
         23,848   0%                          - seed7-line-inside-assign-statement-continuation
         23,848   0%                           - seed7-assign-op-pos
         23,848   0%                            - seed7-re-search-backward
         12,584   0%                             - run-with-timer
         12,584   0%                              - run-at-time
          6,136   0%                               - timer-activate
          6,136   0%                                - timer--activate
          6,136   0%                                   timer--time-less-p
          3,952   0%                                 timer-relative-time
          2,496   0%                               - timer-set-time
          2,496   0%                                  timer--time-setter
         11,264   0%                               re-search-backward
         23,232   0%                          - seed7-line-at-endof-set-definition-block
         23,232   0%                           - seed7-line-code-ends-with
         23,232   0%                            - seed7-re-search-backward
         23,232   0%                             - run-with-timer
         23,232   0%                              - run-at-time
         11,328   0%                               - timer-activate
         11,328   0%                                - timer--activate
         11,328   0%                                   timer--time-less-p
          7,296   0%                                 timer-relative-time
          4,608   0%                               - timer-set-time
          4,608   0%                                  timer--time-setter
         12,416   0%                            seed7-line-after-func-return-logic-operator-column
         12,288   0%                          - seed7-line-starts-with-open-paren-after-logic-operator
         12,288   0%                             seed7-line-starts-with
         12,288   0%                            seed7-line-indent-step
         11,264   0%                          - seed7-line-isa-string
         11,264   0%                             seed7-line-starts-with
         11,264   0%                            seed7-line-starts-with
          9,216   0%                            seed7--indent-search-boundary
          2,926   0%   Automatic GC
