         747  89% - ...
         747  89%  - apply
         747  89%   - call-interactively@ido-cr+-record-current-command
         747  89%    - #<primitive-function call-interactively>
         747  89%     - funcall-interactively
         745  89%      - pel-profile-all
         745  89%       - pel-profile-indent
         745  89%        - pel-profile-indentation-test-of
         745  89%         - call-interactively
         745  89%          - apply
         745  89%           - call-interactively@ido-cr+-record-current-command
         745  89%            - #<primitive-function call-interactively>
         745  89%             - funcall-interactively
         745  89%              - seed7-complete-statement-or-indent
         745  89%               - seed7-indent-region
         745  89%                - seed7--indent-one-line
         745  89%                 - seed7-calc-indent
         588  70%                  - seed7-line-is-defun-end
         475  56%                   - seed7-end-of-defun
         430  51%                    - seed7-top-block-name
         429  51%                     - seed7--to-top
         428  51%                      - seed7-re-search-backward
         259  31%                       - seed7-inside-comment-p
         259  31%                        - syntax-ppss
         258  30%                           parse-partial-sexp
           1   0%                           #<byte-code-function 737>
         153  18%                       - run-with-timer
         153  18%                        - run-at-time
         117  14%                         - timer-activate
         117  14%                          - timer--activate
         117  14%                             timer--time-less-p
          32   3%                         - timer-set-time
          32   3%                            timer--time-setter
           4   0%                           timer-relative-time
          10   1%                         re-search-backward
           4   0%                       - seed7-inside-string-p
           4   0%                        - syntax-ppss
           3   0%                           parse-partial-sexp
           2   0%                         #<byte-code-function B9F>
           1   0%                     - seed7--block-name
           1   0%                      - seed7-re-search-forward
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
          35   4%                    - seed7-re-search-forward
          14   1%                     - seed7-inside-comment-p
          14   1%                      - syntax-ppss
          11   1%                         parse-partial-sexp
           3   0%                       - syntax-propertize
           2   0%                          seed7-mode-syntax-propertize
          11   1%                     - seed7-inside-string-p
          10   1%                      - syntax-ppss
          10   1%                         parse-partial-sexp
          10   1%                    - seed7-re-search-backward
           8   0%                     - seed7-inside-comment-p
           8   0%                      - syntax-ppss
           8   0%                         parse-partial-sexp
           2   0%                     - run-with-timer
           2   0%                      - run-at-time
           2   0%                       - timer-activate
           2   0%                        - timer--activate
           2   0%                           timer--time-less-p
          76   9%                   - seed7-beg-of-defun
          69   8%                    - seed7-re-search-backward
          30   3%                     - run-with-timer
          30   3%                      - run-at-time
          20   2%                       - timer-activate
          20   2%                        - timer--activate
          20   2%                           timer--time-less-p
          10   1%                       - timer-set-time
          10   1%                          timer--time-setter
          30   3%                     - seed7-inside-comment-p
          30   3%                      - syntax-ppss
          30   3%                         parse-partial-sexp
           8   0%                       re-search-backward
           1   0%                     - seed7-inside-string-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           4   0%                    - seed7-top-block-name
           4   0%                     - seed7--to-top
           3   0%                      - run-with-timer
           3   0%                       - run-at-time
           3   0%                        - timer-activate
           3   0%                         - timer--activate
           3   0%                            timer--time-less-p
           1   0%                      - seed7-re-search-backward
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           3   0%                    - seed7-re-search-backward-closest
           3   0%                     - seed7-re-search-backward
           2   0%                        re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-activate
           1   0%                         - timer--activate
           1   0%                            timer--time-less-p
          34   4%                   - seed7--indent-search-boundary-uncached
          32   3%                    - syntax-ppss
          32   3%                       parse-partial-sexp
           3   0%                   - seed7-move-to-line
           3   0%                    - seed7-to-previous-non-empty-line
           3   0%                     - seed7-inside-comment-p
           3   0%                      - syntax-ppss
           3   0%                         parse-partial-sexp
          61   7%                  - seed7-line-inside-a-block-cached
          61   7%                   - seed7-line-inside-a-block
          57   6%                    - seed7-calc-indent
          48   5%                     - seed7-line-is-defun-end
          42   5%                      - seed7-end-of-defun
          39   4%                       - seed7-top-block-name
          39   4%                        - seed7--to-top
          39   4%                         - seed7-re-search-backward
          21   2%                          - seed7-inside-comment-p
          21   2%                           - syntax-ppss
          21   2%                              parse-partial-sexp
          16   1%                          - run-with-timer
          16   1%                           - run-at-time
          11   1%                            - timer-activate
          11   1%                             - timer--activate
          11   1%                                timer--time-less-p
           4   0%                            - timer-set-time
           4   0%                               timer--time-setter
           1   0%                              timer-relative-time
           2   0%                            re-search-backward
           3   0%                       - seed7-re-search-forward
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
