     53,351,516  99% - ...
     53,351,516  99%  - call-interactively@ido-cr+-record-current-command
     53,351,516  99%   - #<primitive-function call-interactively>
     53,351,516  99%    - funcall-interactively
     53,351,516  99%     - smex
     53,351,516  99%      - smex-read-and-run
     53,351,516  99%       - execute-extended-command
     53,351,516  99%        - command-execute
     53,351,516  99%         - call-interactively
     53,351,516  99%          - apply
     53,351,516  99%           - call-interactively@ido-cr+-record-current-command
     53,351,516  99%            - #<primitive-function call-interactively>
     53,351,516  99%             - funcall-interactively
     53,351,516  99%              - pel-profile-all
     53,351,516  99%               - pel-profile-indent
     53,351,516  99%                - pel-profile-indentation-test-of
     51,781,984  96%                 - call-interactively
     51,781,984  96%                  - apply
     51,781,984  96%                   - call-interactively@ido-cr+-record-current-command
     51,781,984  96%                    - #<primitive-function call-interactively>
     51,781,984  96%                     - funcall-interactively
     51,781,968  96%                      - seed7-complete-statement-or-indent
     51,781,968  96%                       - seed7-indent-region
     51,781,968  96%                        - seed7--indent-one-line
     51,781,968  96%                         - seed7-calc-indent
     17,279,084  32%                          - seed7-line-inside-a-block-cached
     17,279,084  32%                           - seed7-line-inside-a-block
     12,073,491  22%                            - seed7--safe-enclosing-block-bounds
     12,073,491  22%                             - seed7--block-end-pos-for
     11,386,555  21%                              - seed7-to-block-forward
      9,539,226  17%                               - seed7-end-of-defun
      8,540,272  15%                                - seed7-top-block-name
      8,421,762  15%                                 - seed7--to-top
      8,030,706  15%                                  - seed7-re-search-backward
      7,949,216  14%                                   - run-with-timer
      7,949,216  14%                                    - run-at-time
      3,876,064   7%                                     - timer-activate
      3,876,064   7%                                      - timer--activate
      3,876,064   7%                                         timer--time-less-p
      2,496,448   4%                                       timer-relative-time
      1,576,704   2%                                     - timer-set-time
      1,576,704   2%                                        timer--time-setter
         53,248   0%                                     re-search-backward
         28,242   0%                                   - seed7-inside-comment-p
         28,242   0%                                    - syntax-ppss
         28,242   0%                                     - syntax-propertize
         28,242   0%                                        seed7-mode-syntax-propertize
        391,056   0%                                  - run-with-timer
        391,056   0%                                   - run-at-time
        190,688   0%                                    - timer-activate
        190,688   0%                                     - timer--activate
        190,688   0%                                        timer--time-less-p
        122,800   0%                                      timer-relative-time
         77,568   0%                                    - timer-set-time
         77,568   0%                                       timer--time-setter
        118,510   0%                                 - seed7--block-name
         93,958   0%                                    seed7-re-search-forward
         16,368   0%                                    match-string
        400,872   0%                                - seed7-re-search-forward
         73,967   0%                                 - internal--syntax-propertize
         73,967   0%                                  - syntax-propertize
         73,967   0%                                     seed7-mode-syntax-propertize
          6,144   0%                                 - seed7-inside-comment-p
          6,144   0%                                  - syntax-ppss
          6,144   0%                                   - syntax-propertize
          6,144   0%                                      seed7-mode-syntax-propertize
        391,072   0%                                - seed7-re-search-backward
        391,072   0%                                 - run-with-timer
        391,072   0%                                  - run-at-time
        190,688   0%                                   - timer-activate
        190,688   0%                                    - timer--activate
        190,688   0%                                       timer--time-less-p
        122,816   0%                                     timer-relative-time
         77,568   0%                                   - timer-set-time
         77,568   0%                                      timer--time-setter
         16,368   0%                                  match-string
        956,273   1%                               - seed7-re-search-forward
         22,590   0%                                - seed7-inside-comment-p
         22,590   0%                                 - syntax-ppss
         22,590   0%                                  - syntax-propertize
         22,590   0%                                     seed7-mode-syntax-propertize
        511,224   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        363,464   0%                               - seed7--current-line-nth-word
        363,464   0%                                - thing-at-point
        322,544   0%                                 - bounds-of-thing-at-point
        196,416   0%                                  - #<byte-code-function 2D8>
        196,416   0%                                   - forward-thing
        196,416   0%                                      format
         81,840   0%                                  - #<byte-code-function E06>
         81,840   0%                                   - forward-thing
         81,840   0%                                      format
         44,288   0%                                    re-search-forward
         16,368   0%                                 seed7--end-regexp-for
        455,912   0%                              - seed7--line-ends-a-statement-p
        275,568   0%                                 looking-at
        180,344   0%                               - forward-sexp
        180,344   0%                                  seed7--forward-sexp-function
         10,240   0%                              - seed7-re-search-forward-closest
         10,240   0%                                 seed7-re-search-forward
      2,651,973   4%                            - seed7-calc-indent
        988,700   1%                             - seed7-line-inside-a-block-cached
        988,700   1%                              - seed7-line-inside-a-block
        830,292   1%                               - seed7--safe-enclosing-block-bounds
        830,292   1%                                - seed7--block-end-pos-for
        783,188   1%                                 - seed7-to-block-forward
        682,540   1%                                  - seed7-end-of-defun
        639,204   1%                                   - seed7-top-block-name
        633,488   1%                                    - seed7--to-top
        614,128   1%                                     - seed7-re-search-backward
        609,840   1%                                      - run-with-timer
        609,840   1%                                       - run-at-time
        297,360   0%                                        - timer-activate
        297,360   0%                                         - timer--activate
        297,360   0%                                            timer--time-less-p
        191,520   0%                                          timer-relative-time
        120,960   0%                                        - timer-set-time
        120,960   0%                                           timer--time-setter
          4,288   0%                                        re-search-backward
         19,360   0%                                     - run-with-timer
         19,360   0%                                      - run-at-time
          9,440   0%                                       - timer-activate
          9,440   0%                                        - timer--activate
          9,440   0%                                           timer--time-less-p
          6,080   0%                                         timer-relative-time
          3,840   0%                                       - timer-set-time
          3,840   0%                                          timer--time-setter
          5,716   0%                                    - seed7--block-name
          5,716   0%                                       seed7-re-search-forward
         19,360   0%                                   - seed7-re-search-backward
         19,360   0%                                    - run-with-timer
         19,360   0%                                     - run-at-time
          9,440   0%                                      - timer-activate
          9,440   0%                                       - timer--activate
          9,440   0%                                          timer--time-less-p
          6,080   0%                                        timer-relative-time
          3,840   0%                                      - timer-set-time
          3,840   0%                                         timer--time-setter
         12,824   0%                                     seed7-re-search-forward
         65,840   0%                                    seed7-re-search-forward
         26,624   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          8,184   0%                                  - seed7--current-line-nth-word
          8,184   0%                                   - thing-at-point
          8,184   0%                                    - bounds-of-thing-at-point
          8,184   0%                                     - #<byte-code-function 7DB>
          8,184   0%                                      - forward-thing
          8,184   0%                                         format
         30,720   0%                                 - seed7--line-ends-a-statement-p
         18,432   0%                                    looking-at
         12,288   0%                                  - forward-sexp
         12,288   0%                                     seed7--forward-sexp-function
          2,048   0%                                 - seed7-re-search-forward-closest
          2,048   0%                                    seed7-re-search-forward
        120,536   0%                               - seed7-re-search-backward
         75,504   0%                                - run-with-timer
         75,504   0%                                 - run-at-time
         36,816   0%                                  - timer-activate
         36,816   0%                                   - timer--activate
         36,816   0%                                      timer--time-less-p
         23,712   0%                                    timer-relative-time
         14,976   0%                                  - timer-set-time
         14,976   0%                                     timer--time-setter
         45,032   0%                                  re-search-backward
         21,504   0%                                 replace-regexp-in-string
          8,184   0%                                 match-string
        795,356   1%                             - seed7-line-inside-parens-pair-column
        795,356   1%                              - seed7-line-inside-parens-pair
        762,588   1%                               - seed7-re-search-backward
        733,916   1%                                - run-with-timer
        733,916   1%                                 - run-at-time
        357,776   0%                                  - timer-activate
        357,776   0%                                   - timer--activate
        357,776   0%                                      timer--time-less-p
        230,432   0%                                    timer-relative-time
        145,708   0%                                  - timer-set-time
        145,536   0%                                     timer--time-setter
         28,672   0%                                  re-search-backward
         32,768   0%                               - forward-sexp
         32,768   0%                                  seed7--forward-sexp-function
        258,541   0%                             - seed7-line-is-defun-end
         94,044   0%                              - seed7-beg-of-defun
         69,752   0%                               - seed7-re-search-backward
         68,728   0%                                - run-with-timer
         68,728   0%                                 - run-at-time
         33,512   0%                                  - timer-activate
         33,512   0%                                   - timer--activate
         33,512   0%                                      timer--time-less-p
         21,584   0%                                    timer-relative-time
