          18  85% - ...
          18  85%  - pel-profile-all
          18  85%   - pel-profile-indent
          18  85%    - pel-profile-indentation-test-of
          18  85%     - call-interactively
          18  85%      - apply
          18  85%       - call-interactively@ido-cr+-record-current-command
          18  85%        - #<primitive-function call-interactively>
          18  85%         - funcall-interactively
          18  85%          - seed7-complete-statement-or-indent
          18  85%           - seed7-indent-region
          18  85%            - seed7--indent-one-line
          18  85%             - seed7-calc-indent
           6  28%              - seed7-line-inside-a-block-cached
           6  28%               - seed7-line-inside-a-block
           5  23%                - seed7--safe-enclosing-block-bounds
           5  23%                 - seed7--block-end-pos-for
           5  23%                  - seed7-to-block-forward
           5  23%                   - seed7-end-of-defun
           4  19%                    - seed7-top-block-name
           4  19%                     - seed7--to-top
           3  14%                      - seed7-re-search-backward
           3  14%                       - run-with-timer
           3  14%                        - run-at-time
           2   9%                         - timer-activate
           2   9%                          - timer--activate
           2   9%                             timer--time-less-p
           1   4%                         - timer-set-time
           1   4%                            timer--time-setter
           1   4%                      - run-with-timer
           1   4%                       - run-at-time
           1   4%                        - timer-activate
           1   4%                         - timer--activate
           1   4%                            timer--time-less-p
           1   4%                    - seed7-re-search-backward
           1   4%                     - run-with-timer
           1   4%                      - run-at-time
           1   4%                       - timer-activate
           1   4%                        - timer--activate
           1   4%                           timer--time-less-p
           1   4%                - seed7-calc-indent
           1   4%                 - seed7-line-at-endof-array-definition-block
           1   4%                  - seed7-move-to-line
           1   4%                   - seed7-to-previous-non-empty-line
           1   4%                    - seed7-inside-comment-p
           1   4%                     - syntax-ppss
           1   4%                        parse-partial-sexp
           4  19%              - seed7-comment-column
           4  19%               - seed7-calc-indent
           2   9%                - seed7-line-at-endof-array-definition-block
           2   9%                 - seed7-move-to-line
           2   9%                  - seed7-to-previous-non-empty-line
           2   9%                   - seed7-inside-comment-p
           2   9%                    - syntax-ppss
           2   9%                       parse-partial-sexp
           1   4%                - seed7-current-line-start-inside-comment-p
           1   4%                 - seed7-inside-comment-p
           1   4%                  - syntax-ppss
           1   4%                     parse-partial-sexp
           1   4%                - seed7-line-after-func-return-logic-operator-column
           1   4%                 - seed7-move-to-line
           1   4%                  - seed7-to-previous-non-empty-line
           1   4%                   - seed7-inside-comment-p
           1   4%                    - syntax-ppss
           1   4%                       syntax-ppss--update-stats
           4  19%              - seed7--indent-search-boundary
           4  19%               - seed7--indent-search-boundary-uncached
           4  19%                - syntax-ppss
           4  19%                   parse-partial-sexp
           3  14%              - seed7-line-is-defun-end
           2   9%               - seed7-beg-of-defun
           2   9%                - seed7-re-search-backward
           2   9%                 - run-with-timer
           2   9%                  - run-at-time
           1   4%                   - timer-activate
           1   4%                    - timer--activate
           1   4%                       timer--time-less-p
           1   4%                   - timer-set-time
           1   4%                      timer--time-setter
           1   4%               - seed7--safe-current-line-defun-start-indent
           1   4%                - seed7-to-block-backward
           1   4%                 - seed7-re-search-backward
           1   4%                  - run-with-timer
           1   4%                   - run-at-time
           1   4%                    - timer-activate
           1   4%                     - timer--activate
           1   4%                        timer--time-less-p
           1   4%              - seed7-line-inside-parens-pair-column
           1   4%               - seed7-line-inside-parens-pair
           1   4%                - seed7-re-search-backward
           1   4%                 - run-with-timer
           1   4%                  - run-at-time
           1   4%                   - timer-activate
           1   4%                    - timer--activate
           1   4%                       timer--time-less-p
           3  14%   Automatic GC
