          25  67% - ...
          25  67%  - call-interactively
          25  67%   - apply
          25  67%    - call-interactively@ido-cr+-record-current-command
          25  67%     - #<primitive-function call-interactively>
          25  67%      - funcall-interactively
          21  56%       - pel-profile-all
          21  56%        - pel-profile-indent
          21  56%         - pel-profile-indentation-test-of
          21  56%          - call-interactively
          21  56%           - apply
          21  56%            - call-interactively@ido-cr+-record-current-command
          21  56%             - #<primitive-function call-interactively>
          21  56%              - funcall-interactively
          21  56%               - seed7-complete-statement-or-indent
          21  56%                - seed7-indent-region
          21  56%                 - seed7--indent-one-line
          21  56%                  - seed7-calc-indent
           7  18%                   - seed7-line-inside-parens-pair-column
           7  18%                    - seed7-line-inside-parens-pair
           7  18%                     - seed7-re-search-backward
           7  18%                      - run-with-timer
           7  18%                       - run-at-time
           4  10%                        - timer-activate
           4  10%                         - timer--activate
           4  10%                            timer--time-less-p
           3   8%                        - timer-set-time
           3   8%                           timer--time-setter
           4  10%                   - seed7-comment-column
           4  10%                    - seed7-calc-indent
           1   2%                     - seed7-current-line-start-inside-comment-p
           1   2%                      - seed7-inside-comment-p
           1   2%                       - syntax-ppss
           1   2%                          parse-partial-sexp
           1   2%                     - seed7-line-after-func-return-logic-operator-column
           1   2%                      - seed7-move-to-line
           1   2%                       - seed7-to-previous-non-empty-line
           1   2%                        - seed7-inside-comment-p
           1   2%                         - syntax-ppss
           1   2%                            parse-partial-sexp
           1   2%                     - seed7-line-is-defun-end
           1   2%                      - seed7-move-to-line
           1   2%                       - seed7-to-previous-non-empty-line
           1   2%                        - seed7-inside-comment-p
           1   2%                         - syntax-ppss
           1   2%                            parse-partial-sexp
           1   2%                     - seed7-line-after-short-func-end
           1   2%                      - seed7-move-to-line
           1   2%                       - seed7-to-previous-non-empty-line
           1   2%                        - seed7-inside-comment-p
           1   2%                         - syntax-ppss
           1   2%                            parse-partial-sexp
           3   8%                   - seed7-line-inside-a-block-cached
           3   8%                    - seed7-line-inside-a-block
           2   5%                     - seed7-re-search-backward
           2   5%                      - run-with-timer
           2   5%                       - run-at-time
           1   2%                        - timer-activate
           1   2%                         - timer--activate
           1   2%                            timer--time-less-p
           1   2%                        - timer-set-time
           1   2%                           timer--time-setter
           1   2%                     - seed7--safe-enclosing-block-bounds
           1   2%                      - seed7--block-end-pos-for
           1   2%                       - seed7-to-block-forward
           1   2%                        - seed7-end-of-defun
           1   2%                         - seed7-top-block-name
           1   2%                          - seed7--to-top
           1   2%                           - run-with-timer
           1   2%                            - run-at-time
           1   2%                             - timer-activate
           1   2%                              - timer--activate
           1   2%                                 timer--time-less-p
           2   5%                   - seed7--indent-search-boundary
           2   5%                    - seed7--indent-search-boundary-uncached
           2   5%                     - syntax-ppss
           2   5%                        parse-partial-sexp
           1   2%                   - seed7-line-inside-assign-statement-continuation
           1   2%                    - seed7-assign-op-pos
           1   2%                     - seed7-re-search-backward
           1   2%                        re-search-backward
           1   2%                   - seed7-line-inside-argument-list-section
           1   2%                    - seed7-re-search-backward
           1   2%                     - run-with-timer
           1   2%                      - run-at-time
           1   2%                       - timer-activate
           1   2%                        - timer--activate
           1   2%                           timer--time-less-p
           1   2%                   - seed7-line-is-defun-end
           1   2%                    - seed7-move-to-line
           1   2%                     - seed7-to-previous-non-empty-line
           1   2%                      - seed7-inside-comment-p
           1   2%                       - syntax-ppss
           1   2%                          parse-partial-sexp
           1   2%                   - seed7-line-inside-set-definition-block
           1   2%                    - seed7-re-search-backward
           1   2%                       re-search-backward
           1   2%                   - seed7-line-inside-array-definition-block
           1   2%                    - seed7-re-search-backward
           1   2%                     - run-with-timer
           1   2%                      - run-at-time
           1   2%                       - timer-activate
           1   2%                        - timer--activate
           1   2%                           timer--time-less-p
           4  10%       - seed7-complete-statement-or-indent
           4  10%        - seed7-indent-region
           4  10%         - seed7--indent-one-line
           4  10%          - seed7-calc-indent
           2   5%           - seed7--current-line-nth-word
           2   5%            - thing-at-point
           2   5%             - bounds-of-thing-at-point
           2   5%              - #<byte-code-function 990>
           2   5%               - forward-thing
           2   5%                - forward-word
           2   5%                 - internal--syntax-propertize
           2   5%                  - syntax-propertize
           2   5%                     seed7-mode-syntax-propertize
           1   2%           - seed7-line-inside-logic-check-expression
           1   2%            - seed7-to-previous-line-starts-with
           1   2%             - seed7-re-search-backward
           1   2%              - run-with-timer
           1   2%               - run-at-time
           1   2%                - timer-activate
           1   2%                 - timer--activate
           1   2%                    timer--time-less-p
           1   2%           - seed7-line-inside-set-definition-block
           1   2%            - seed7-re-search-backward
           1   2%             - run-with-timer
           1   2%              - run-at-time
           1   2%               - timer-activate
           1   2%                - timer--activate
           1   2%                   timer--time-less-p
          12  32%   Automatic GC
