         189  84% - ...
         189  84%  - pel-profile-indentation-test-of
         189  84%   - call-interactively
         189  84%    - apply
         189  84%     - call-interactively@ido-cr+-record-current-command
         189  84%      - #<primitive-function call-interactively>
         189  84%       - funcall-interactively
         174  78%        - pel-profile-all
         174  78%         - pel-profile-indent
         174  78%          - pel-profile-indentation-test-of
         174  78%           - call-interactively
         174  78%            - apply
         174  78%             - call-interactively@ido-cr+-record-current-command
         174  78%              - #<primitive-function call-interactively>
         174  78%               - funcall-interactively
         174  78%                - seed7-complete-statement-or-indent
         174  78%                 - seed7-indent-region
         174  78%                  - seed7--indent-one-line
         174  78%                   - seed7-calc-indent
          97  43%                    - seed7--indent-search-boundary
          97  43%                     - seed7--indent-search-boundary-uncached
          97  43%                      - syntax-ppss
          96  43%                         parse-partial-sexp
          29  13%                    - seed7-line-inside-a-block-cached
          29  13%                     - seed7-line-inside-a-block
          15   6%                      - seed7-re-search-backward
          10   4%                       - seed7-inside-comment-p
          10   4%                        - syntax-ppss
          10   4%                           parse-partial-sexp
           5   2%                       - run-with-timer
           5   2%                        - run-at-time
           4   1%                         - timer-activate
           4   1%                          - timer--activate
           4   1%                             timer--time-less-p
           1   0%                           timer-relative-time
          14   6%                      - seed7--safe-enclosing-block-bounds
          14   6%                       - seed7--block-end-pos-for
          14   6%                        - seed7-to-block-forward
           6   2%                         - seed7-re-search-forward
           4   1%                          - seed7-inside-comment-p
           4   1%                           - syntax-ppss
           4   1%                              parse-partial-sexp
           2   0%                          - seed7-inside-string-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           5   2%                         - seed7-end-of-defun
           4   1%                          - seed7-top-block-name
           4   1%                           - seed7--to-top
           4   1%                            - seed7-re-search-backward
           3   1%                             - seed7-inside-comment-p
           3   1%                              - syntax-ppss
           3   1%                                 parse-partial-sexp
           1   0%                             - run-with-timer
           1   0%                              - run-at-time
           1   0%                               - timer-activate
           1   0%                                - timer--activate
           1   0%                                   timer--time-less-p
           3   1%                         - seed7--current-line-nth-word
           3   1%                          - thing-at-point
           3   1%                           - bounds-of-thing-at-point
           2   0%                            - seq-some
           2   0%                             - seq-do
           2   0%                                mapc
           1   0%                              #<byte-code-function D6A>
          17   7%                    - seed7-line-inside-parens-pair-column
          17   7%                     - seed7-line-inside-parens-pair
          17   7%                      - seed7-re-search-backward
          14   6%                       - run-with-timer
          14   6%                        - run-at-time
          10   4%                         - timer-activate
          10   4%                          - timer--activate
          10   4%                             timer--time-less-p
           4   1%                         - timer-set-time
