     15,259,725  99% - ...
     15,259,725  99%  - call-interactively@ido-cr+-record-current-command
     15,259,725  99%   - #<primitive-function call-interactively>
     15,259,725  99%    - funcall-interactively
     15,259,725  99%     - smex
     15,259,725  99%      - smex-read-and-run
     15,259,725  99%       - execute-extended-command
     15,259,725  99%        - command-execute
     15,259,725  99%         - call-interactively
     15,259,725  99%          - apply
     15,259,725  99%           - call-interactively@ido-cr+-record-current-command
     15,259,725  99%            - #<primitive-function call-interactively>
     15,259,725  99%             - funcall-interactively
     15,259,725  99%              - pel-profile-all
     15,259,725  99%               - pel-profile-indent
     15,259,725  99%                - pel-profile-indentation-test-of
     13,695,825  89%                 - call-interactively
     13,695,825  89%                  - apply
     13,695,825  89%                   - call-interactively@ido-cr+-record-current-command
     13,695,825  89%                    - #<primitive-function call-interactively>
     13,695,825  89%                     - funcall-interactively
     13,695,809  89%                      - seed7-complete-statement-or-indent
     13,695,809  89%                       - seed7-indent-region
     13,695,809  89%                        - seed7--indent-one-line
     13,695,809  89%                         - seed7-calc-indent
      4,355,827  28%                          - seed7-line-is-defun-end
      1,927,730  12%                           - seed7-end-of-defun
      1,532,256  10%                            - seed7-top-block-name
      1,515,888   9%                             - seed7--to-top
      1,411,344   9%                              - seed7-re-search-backward
      1,411,344   9%                               - run-with-timer
      1,411,344   9%                                - run-at-time
        688,176   4%                                 - timer-activate
        688,176   4%                                  - timer--activate
        688,176   4%                                     timer--time-less-p
        443,232   2%                                   timer-relative-time
        279,936   1%                                 - timer-set-time
        279,936   1%                                    timer--time-setter
        104,544   0%                              - run-with-timer
        104,544   0%                               - run-at-time
         50,976   0%                                - timer-activate
         50,976   0%                                 - timer--activate
         50,976   0%                                    timer--time-less-p
         32,832   0%                                  timer-relative-time
         20,736   0%                                - timer-set-time
         20,736   0%                                   timer--time-setter
         16,368   0%                               seed7--block-name
        164,226   1%                            - seed7-re-search-forward
         90,370   0%                             - seed7-inside-comment-p
         90,370   0%                              - syntax-ppss
         90,370   0%                               - syntax-propertize
         90,370   0%                                  seed7-mode-syntax-propertize
        104,544   0%                            - seed7-re-search-backward
        104,544   0%                             - run-with-timer
        104,544   0%                              - run-at-time
         50,976   0%                               - timer-activate
         50,976   0%                                - timer--activate
         50,976   0%                                   timer--time-less-p
         32,832   0%                                 timer-relative-time
         20,736   0%                               - timer-set-time
         20,736   0%                                  timer--time-setter
         16,368   0%                              match-string-no-properties
        990,587   6%                           - seed7-beg-of-defun
        348,092   2%                            - seed7-re-search-backward
        274,912   1%                             - run-with-timer
        274,912   1%                              - run-at-time
        134,048   0%                               - timer-activate
        134,048   0%                                - timer--activate
        134,048   0%                                   timer--time-less-p
         86,336   0%                                 timer-relative-time
         54,528   0%                               - timer-set-time
         54,528   0%                                  timer--time-setter
         73,180   0%                               re-search-backward
        210,455   1%                            - seed7-top-block-name
        116,536   0%                             - seed7--to-top
         81,688   0%                              - seed7-re-search-backward
         46,840   0%                                 re-search-backward
         34,848   0%                               - run-with-timer
         34,848   0%                                - run-at-time
         16,992   0%                                 - timer-activate
         16,992   0%                                  - timer--activate
         16,992   0%                                     timer--time-less-p
         10,944   0%                                   timer-relative-time
          6,912   0%                                 - timer-set-time
          6,912   0%                                    timer--time-setter
         34,848   0%                              - run-with-timer
         34,848   0%                               - run-at-time
         16,992   0%                                - timer-activate
         16,992   0%                                 - timer--activate
         16,992   0%                                    timer--time-less-p
         10,944   0%                                  timer-relative-time
