      3,705,087  99% - ...
      3,705,087  99%  - call-interactively@ido-cr+-record-current-command
      3,705,087  99%   - #<primitive-function call-interactively>
      3,705,087  99%    - funcall-interactively
      3,705,087  99%     - smex
      3,705,087  99%      - smex-read-and-run
      3,705,087  99%       - execute-extended-command
      3,705,087  99%        - command-execute
      3,705,087  99%         - call-interactively
      3,705,087  99%          - apply
      3,705,087  99%           - call-interactively@ido-cr+-record-current-command
      3,705,087  99%            - #<primitive-function call-interactively>
      3,705,087  99%             - funcall-interactively
      3,705,087  99%              - pel-profile-all
      3,705,087  99%               - pel-profile-indent
      3,705,087  99%                - pel-profile-indentation-test-of
      2,141,187  57%                 - call-interactively
      2,141,187  57%                  - apply
      2,141,187  57%                   - call-interactively@ido-cr+-record-current-command
      2,141,187  57%                    - #<primitive-function call-interactively>
      2,141,187  57%                     - funcall-interactively
      2,141,171  57%                      - seed7-complete-statement-or-indent
      2,141,171  57%                       - seed7-indent-region
      2,141,171  57%                        - seed7--indent-one-line
      2,141,171  57%                         - seed7-calc-indent
      1,181,928  31%                          - seed7-line-inside-array-definition-block
      1,181,928  31%                           - seed7-re-search-backward
      1,181,928  31%                            - run-with-timer
      1,181,928  31%                             - run-at-time
        576,312  15%                              - timer-activate
        576,312  15%                               - timer--activate
        576,312  15%                                  timer--time-less-p
        371,184   9%                                timer-relative-time
        234,432   6%                              - timer-set-time
        234,432   6%                                 timer--time-setter
        704,206  18%                          - seed7-comment-column
        523,822  14%                           - seed7-calc-indent
        174,240   4%                            - seed7-line-inside-nested-parens-pairs-column
        174,240   4%                             - seed7-line-inside-nested-parens-pairs
        174,240   4%                              - seed7-line-inside-parens-pair
        174,240   4%                               - seed7-re-search-backward
        174,240   4%                                - run-with-timer
        174,240   4%                                 - run-at-time
         84,960   2%                                  - timer-activate
         84,960   2%                                   - timer--activate
         84,960   2%                                      timer--time-less-p
         54,720   1%                                    timer-relative-time
         34,560   0%                                  - timer-set-time
         34,560   0%                                     timer--time-setter
        127,119   3%                            - seed7-line-inside-a-block-cached
        127,119   3%                             - seed7-line-inside-a-block
        127,119   3%                              - seed7-re-search-backward
        125,379   3%                               - run-with-timer
        125,379   3%                                - run-at-time
        112,979   3%                                 - timer-activate
        112,979   3%                                  - timer--activate
        112,979   3%                                     timer--time-less-p
          7,600   0%                                   timer-relative-time
          4,800   0%                                 - timer-set-time
          4,800   0%                                    timer--time-setter
          1,740   0%                                 re-search-backward
        123,255   3%                            - seed7-line-inside-array-definition-block
        113,560   3%                             - seed7-re-search-backward
        111,320   2%                              - run-with-timer
        111,320   2%                               - run-at-time
         54,280   1%                                - timer-activate
         54,280   1%                                 - timer--activate
         54,280   1%                                    timer--time-less-p
         34,960   0%                                  timer-relative-time
         22,080   0%                                - timer-set-time
         22,080   0%                                   timer--time-setter
          2,240   0%                                re-search-backward
          9,695   0%                             - forward-sexp
          9,695   0%                              - seed7--forward-sexp-function
          8,671   0%                               - internal--syntax-propertize
          8,671   0%                                - syntax-propertize
          8,671   0%                                   seed7-mode-syntax-propertize
         25,224   0%                            - seed7-line-inside-set-definition-block
         25,224   0%                             - seed7-re-search-backward
         24,200   0%                              - run-with-timer
         24,200   0%                               - run-at-time
         11,800   0%                                - timer-activate
         11,800   0%                                 - timer--activate
         11,800   0%                                    timer--time-less-p
          7,600   0%                                  timer-relative-time
          4,800   0%                                - timer-set-time
          4,800   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
         25,224   0%                            - seed7-line-inside-assign-statement-continuation
         25,224   0%                             - seed7-assign-op-pos
         25,224   0%                              - seed7-re-search-backward
         24,200   0%                               - run-with-timer
         24,200   0%                                - run-at-time
         11,800   0%                                 - timer-activate
         11,800   0%                                  - timer--activate
         11,800   0%                                     timer--time-less-p
          7,600   0%                                   timer-relative-time
          4,800   0%                                 - timer-set-time
          4,800   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         25,224   0%                            - seed7-line-inside-parens-pair-column
         25,224   0%                             - seed7-line-inside-parens-pair
         25,224   0%                              - seed7-re-search-backward
         24,200   0%                               - run-with-timer
         24,200   0%                                - run-at-time
         11,800   0%                                 - timer-activate
         11,800   0%                                  - timer--activate
         11,800   0%                                     timer--time-less-p
          7,600   0%                                   timer-relative-time
          4,800   0%                                 - timer-set-time
          4,800   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
         11,256   0%                            - seed7-line-is-defun-end
         11,256   0%                               looking-back
          8,184   0%                            - seed7--current-line-nth-word
          8,184   0%                             - thing-at-point
          8,184   0%                              - bounds-of-thing-at-point
          8,184   0%                               - #<byte-code-function DB2>
          8,184   0%                                - forward-thing
          8,184   0%                                   format
          1,024   0%                            - seed7-line-isa-string
          1,024   0%                               seed7-line-starts-with
          1,024   0%                              seed7-line-starts-with
          1,024   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                               seed7-line-starts-with
          1,024   0%                              seed7--indent-search-boundary
        176,288   4%                           - seed7-line-code-ends-with
        175,264   4%                            - seed7-re-search-backward
        174,240   4%                             - run-with-timer
        174,240   4%                              - run-at-time
         84,960   2%                               - timer-activate
         84,960   2%                                - timer--activate
         84,960   2%                                   timer--time-less-p
         54,720   1%                                 timer-relative-time
         34,560   0%                               - timer-set-time
         34,560   0%                                  timer--time-setter
          1,024   0%                               re-search-backward
          1,024   0%                            - seed7-move-to-line
          1,024   0%                               seed7-to-previous-non-empty-line
          2,048   0%                             seed7-line-starts-with
          2,048   0%                             looking-at
        206,633   5%                          - seed7--current-line-nth-word
        206,633   5%                           - thing-at-point
        206,633   5%                            - bounds-of-thing-at-point
        106,377   2%                             - #<byte-code-function 96B>
        106,377   2%                              - forward-thing
         90,024   2%                                 format
         16,353   0%                               - forward-word
         16,353   0%                                - internal--syntax-propertize
         16,353   0%                                 - syntax-propertize
         16,353   0%                                    seed7-mode-syntax-propertize
         98,208   2%                             - #<byte-code-function 0FC>
         98,208   2%                              - forward-thing
         98,208   2%                                 format
          2,048   0%                               re-search-forward
         40,852   1%                          - seed7-line-is-defun-end
         25,196   0%                           - seed7-beg-of-defun
         12,900   0%                            - seed7-re-search-backward
         11,932   0%                               re-search-backward
            968   0%                             - run-with-timer
            968   0%                              - run-at-time
            472   0%                               - timer-activate
            472   0%                                - timer--activate
            472   0%                                   timer--time-less-p
            304   0%                                 timer-relative-time
            192   0%                               - timer-set-time
            192   0%                                  timer--time-setter
          6,712   0%                            - seed7-re-search-backward-closest
          6,712   0%                             - seed7-re-search-backward
          4,776   0%                                re-search-backward
          1,936   0%                              - run-with-timer
          1,936   0%                               - run-at-time
            944   0%                                - timer-activate
            944   0%                                 - timer--activate
            944   0%                                    timer--time-less-p
            608   0%                                  timer-relative-time
            384   0%                                - timer-set-time
            384   0%                                   timer--time-setter
         14,632   0%                           - seed7-line-starts-with-any
         14,632   0%                              seed7-line-starts-with
          1,024   0%                           - seed7-move-to-line
          1,024   0%                              seed7-to-previous-non-empty-line
          2,600   0%                          - seed7-line-inside-a-block-cached
          2,600   0%                           - seed7-line-inside-a-block
          2,600   0%                            - seed7-re-search-backward
          1,632   0%                               re-search-backward
            968   0%                             - run-with-timer
            968   0%                              - run-at-time
            472   0%                               - timer-activate
            472   0%                                - timer--activate
            472   0%                                   timer--time-less-p
            304   0%                                 timer-relative-time
            192   0%                               - timer-set-time
            192   0%                                  timer--time-setter
          1,992   0%                          - seed7-line-inside-parens-pair-column
          1,992   0%                           - seed7-line-inside-parens-pair
          1,992   0%                            - seed7-re-search-backward
          1,024   0%                               re-search-backward
            968   0%                             - run-with-timer
            968   0%                              - run-at-time
            472   0%                               - timer-activate
            472   0%                                - timer--activate
            472   0%                                   timer--time-less-p
            304   0%                                 timer-relative-time
            192   0%                               - timer-set-time
            192   0%                                  timer--time-setter
          1,024   0%                          - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                             seed7-line-starts-with
            968   0%                          - seed7-line-inside-set-definition-block
            968   0%                           - seed7-re-search-backward
            968   0%                            - run-with-timer
            968   0%                             - run-at-time
            472   0%                              - timer-activate
            472   0%                               - timer--activate
            472   0%                                  timer--time-less-p
            304   0%                                timer-relative-time
            192   0%                              - timer-set-time
            192   0%                                 timer--time-setter
            968   0%                          - seed7-line-inside-assign-statement-continuation
            968   0%                           - seed7-assign-op-pos
            968   0%                            - seed7-re-search-backward
            968   0%                             - run-with-timer
            968   0%                              - run-at-time
            472   0%                               - timer-activate
            472   0%                                - timer--activate
            472   0%                                   timer--time-less-p
            304   0%                                 timer-relative-time
            192   0%                               - timer-set-time
            192   0%                                  timer--time-setter
      1,563,900  41%                   profiler-stop
         26,360   0%   Automatic GC
