     37,093,972  99% - ...
     37,093,972  99%  - call-interactively@ido-cr+-record-current-command
     37,093,972  99%   - #<primitive-function call-interactively>
     37,093,972  99%    - funcall-interactively
     37,093,972  99%     - smex
     37,093,972  99%      - smex-read-and-run
     37,093,972  99%       - execute-extended-command
     37,093,972  99%        - command-execute
     37,093,972  99%         - call-interactively
     37,093,972  99%          - apply
     37,093,972  99%           - call-interactively@ido-cr+-record-current-command
     37,093,972  99%            - #<primitive-function call-interactively>
     37,093,972  99%             - funcall-interactively
     37,093,972  99%              - pel-profile-all
     37,093,972  99%               - pel-profile-indent
     37,093,972  99%                - pel-profile-indentation-test-of
     35,524,440  95%                 - call-interactively
     35,524,440  95%                  - apply
     35,524,440  95%                   - call-interactively@ido-cr+-record-current-command
     35,524,440  95%                    - #<primitive-function call-interactively>
     35,524,440  95%                     - funcall-interactively
     35,524,424  95%                      - seed7-complete-statement-or-indent
     35,524,424  95%                       - seed7-indent-region
     35,524,424  95%                        - seed7--indent-one-line
     35,524,424  95%                         - seed7-calc-indent
     17,248,175  46%                          - seed7-line-is-defun-end
      9,825,626  26%                           - seed7-end-of-defun
      8,647,056  23%                            - seed7-top-block-name
      8,630,688  23%                             - seed7--to-top
      8,340,288  22%                              - seed7-re-search-backward
      8,340,288  22%                               - run-with-timer
      8,340,288  22%                                - run-at-time
      4,066,752  10%                                 - timer-activate
      4,066,752  10%                                  - timer--activate
      4,066,752  10%                                     timer--time-less-p
      2,619,264   7%                                   timer-relative-time
      1,654,272   4%                                 - timer-set-time
      1,654,272   4%                                    timer--time-setter
        290,400   0%                              - run-with-timer
        290,400   0%                               - run-at-time
        141,600   0%                                - timer-activate
        141,600   0%                                 - timer--activate
        141,600   0%                                    timer--time-less-p
         91,200   0%                                  timer-relative-time
         57,600   0%                                - timer-set-time
         57,600   0%                                   timer--time-setter
         16,368   0%                               seed7--block-name
        447,766   1%                            - seed7-re-search-forward
        226,470   0%                             - seed7-inside-comment-p
        226,470   0%                              - syntax-ppss
        226,470   0%                               - syntax-propertize
        226,470   0%                                  seed7-mode-syntax-propertize
        290,400   0%                            - seed7-re-search-backward
        290,400   0%                             - run-with-timer
        290,400   0%                              - run-at-time
        141,600   0%                               - timer-activate
        141,600   0%                                - timer--activate
        141,600   0%                                   timer--time-less-p
         91,200   0%                                 timer-relative-time
         57,600   0%                               - timer-set-time
         57,600   0%                                  timer--time-setter
        171,864   0%                              match-string-no-properties
         24,552   0%                              match-string
      4,525,116  12%                           - seed7-beg-of-defun
      2,646,172   7%                            - seed7-re-search-backward
      2,383,216   6%                             - run-with-timer
      2,383,216   6%                              - run-at-time
      1,162,064   3%                               - timer-activate
      1,162,064   3%                                - timer--activate
      1,162,064   3%                                   timer--time-less-p
        748,448   2%                                 timer-relative-time
        472,704   1%                               - timer-set-time
        472,704   1%                                  timer--time-setter
        262,956   0%                               re-search-backward
        552,366   1%                            - seed7-re-search-backward-closest
        552,366   1%                             - seed7-re-search-backward
        351,022   0%                                re-search-backward
        201,344   0%                              - run-with-timer
        201,344   0%                               - run-at-time
         98,176   0%                                - timer-activate
         98,176   0%                                 - timer--activate
         98,176   0%                                    timer--time-less-p
         63,232   0%                                  timer-relative-time
         39,936   0%                                - timer-set-time
         39,936   0%                                   timer--time-setter
        490,140   1%                            - seed7-top-block-name
        307,832   0%                             - seed7--to-top
        211,032   0%                              - seed7-re-search-backward
        114,232   0%                                 re-search-backward
         96,800   0%                               - run-with-timer
         96,800   0%                                - run-at-time
         47,200   0%                                 - timer-activate
         47,200   0%                                  - timer--activate
         47,200   0%                                     timer--time-less-p
         30,400   0%                                   timer-relative-time
         19,200   0%                                 - timer-set-time
         19,200   0%                                    timer--time-setter
         96,800   0%                              - run-with-timer
         96,800   0%                               - run-at-time
         47,200   0%                                - timer-activate
         47,200   0%                                 - timer--activate
         47,200   0%                                    timer--time-less-p
         30,400   0%                                  timer-relative-time
         19,200   0%                                - timer-set-time
         19,200   0%                                   timer--time-setter
        182,308   0%                             - seed7--block-name
        174,124   0%                                seed7-re-search-forward
         65,472   0%                              match-string
         32,736   0%                              match-string-no-properties
      1,541,711   4%                           - seed7-line-starts-with-any
      1,541,711   4%                              seed7-line-starts-with
        959,864   2%                             looking-back
        256,000   0%                           - seed7-move-to-line
        256,000   0%                              seed7-to-previous-non-empty-line
         92,120   0%                           - seed7--current-line-nth-word
         92,120   0%                            - thing-at-point
         75,752   0%                             - bounds-of-thing-at-point
         51,200   0%                                re-search-forward
         16,368   0%                              - #<byte-code-function E0B>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
          8,184   0%                              - #<byte-code-function 6DB>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
         47,096   0%                           - seed7--safe-current-line-defun-start-indent
         47,096   0%                            - seed7-to-block-backward
         38,912   0%                             - seed7-re-search-backward
         28,072   0%                              - run-with-timer
         28,072   0%                               - run-at-time
         13,688   0%                                - timer-activate
         13,688   0%                                 - timer--activate
         13,688   0%                                    timer--time-less-p
          8,816   0%                                  timer-relative-time
          5,568   0%                                - timer-set-time
          5,568   0%                                   timer--time-setter
         10,840   0%                                re-search-backward
          8,184   0%                             - seed7--current-line-nth-word
          8,184   0%                              - thing-at-point
          8,184   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function 38A>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
            642   0%                           - seed7--indent-search-boundary-uncached
            642   0%                            - syntax-ppss
            642   0%                               syntax-table
      6,640,227  17%                          - seed7-line-inside-a-block-cached
      6,640,227  17%                           - seed7-line-inside-a-block
      4,509,197  12%                            - seed7--safe-enclosing-block-bounds
      4,509,197  12%                             - seed7--block-end-pos-for
      3,948,899  10%                              - seed7-to-block-forward
      3,278,630   8%                               - seed7-end-of-defun
      3,001,142   8%                                - seed7-top-block-name
      2,961,160   7%                                 - seed7--to-top
      2,864,360   7%                                  - seed7-re-search-backward
      2,854,632   7%                                   - run-with-timer
      2,854,632   7%                                    - run-at-time
      1,391,928   3%                                     - timer-activate
      1,391,928   3%                                      - timer--activate
      1,391,928   3%                                         timer--time-less-p
        896,496   2%                                       timer-relative-time
        566,208   1%                                     - timer-set-time
        566,208   1%                                        timer--time-setter
          9,728   0%                                     re-search-backward
         96,800   0%                                  - run-with-timer
         96,800   0%                                   - run-at-time
         47,200   0%                                    - timer-activate
         47,200   0%                                     - timer--activate
         47,200   0%                                        timer--time-less-p
         30,400   0%                                      timer-relative-time
         19,200   0%                                    - timer-set-time
         19,200   0%                                       timer--time-setter
         39,982   0%                                 - seed7--block-name
         23,614   0%                                    seed7-re-search-forward
          8,184   0%                                    match-string
        116,296   0%                                - seed7-re-search-forward
         41,183   0%                                 - internal--syntax-propertize
