       13531  92% - ...
       13531  92%  - command-execute
       13531  92%   - call-interactively
       13531  92%    - apply
       13531  92%     - call-interactively@ido-cr+-record-current-command
       13531  92%      - #<primitive-function call-interactively>
       13531  92%       - funcall-interactively
       13531  92%        - pel-profile-all
       13531  92%         - pel-profile-indent
       13531  92%          - pel-profile-indentation-test-of
       13531  92%           - call-interactively
       13531  92%            - apply
       13531  92%             - call-interactively@ido-cr+-record-current-command
       13531  92%              - #<primitive-function call-interactively>
       13531  92%               - funcall-interactively
       13531  92%                - seed7-complete-statement-or-indent
       13531  92%                 - seed7-indent-region
       13528  92%                  - seed7--indent-one-line
       13518  92%                   - seed7-calc-indent
        3693  25%                    - seed7-line-inside-array-definition-block
        3693  25%                     - seed7-re-search-backward
        3641  24%                        re-search-backward
          52   0%                      - run-with-timer
          52   0%                       - run-at-time
          38   0%                        - timer-activate
          38   0%                         - timer--activate
          38   0%                          - timer--time-less-p
           2   0%                             timer--time
           9   0%                        - timer-set-time
           9   0%                           timer--time-setter
           3   0%                          timer-relative-time
           2   0%                          timer-create
        3662  25%                    - seed7-line-inside-set-definition-block
        3660  25%                     - seed7-re-search-backward
        3599  24%                        re-search-backward
          61   0%                      - run-with-timer
          61   0%                       - run-at-time
          45   0%                        - timer-activate
          45   0%                         - timer--activate
          45   0%                            timer--time-less-p
          12   0%                        - timer-set-time
          12   0%                           timer--time-setter
           4   0%                          timer-relative-time
           1   0%                       seed7-move-to-line
        2693  18%                    - seed7--indent-search-boundary
        2690  18%                     - seed7--indent-search-boundary-uncached
        2386  16%                      - syntax-ppss
        2318  15%                         parse-partial-sexp
          15   0%                       - #<byte-code-function 0D6>
           1   0%                          set-syntax-table
           7   0%                         make-closure
           7   0%                         syntax-ppss--update-stats
           5   0%                         syntax-propertize
           4   0%                         syntax-ppss-toplevel-pos
           3   0%                         syntax-table
           3   0%                         set-syntax-table
           2   0%                         syntax-ppss--data
          36   0%                        seed7-to-indent
        1455   9%                    - seed7-line-inside-a-block-cached
        1455   9%                     - seed7-line-inside-a-block
         821   5%                      - seed7--safe-enclosing-block-bounds
         821   5%                       - seed7--block-end-pos-for
         821   5%                        - seed7-to-block-forward
         778   5%                         - seed7-re-search-forward
         270   1%                          - seed7-inside-comment-p
         270   1%                           - syntax-ppss
         146   0%                            - syntax-propertize
         145   0%                               seed7-mode-syntax-propertize
         124   0%                              parse-partial-sexp
          37   0%                         - seed7-end-of-defun
          33   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           2   0%                          - seed7-top-block-name
           2   0%                           - seed7--to-top
           2   0%                            - seed7-re-search-backward
           2   0%                               re-search-backward
           2   0%                          - seed7-re-search-backward
           2   0%                             re-search-backward
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           2   0%                         - seed7--current-line-nth-word
           1   0%                          - thing-at-point
           1   0%                             bounds-of-thing-at-point
           2   0%                         - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
         632   4%                      - seed7-re-search-backward
         624   4%                         re-search-backward
           5   0%                       - seed7-inside-string-p
           5   0%                        - syntax-ppss
           5   0%                           parse-partial-sexp
           2   0%                       - seed7-inside-comment-p
           2   0%                        - syntax-ppss
           2   0%                           parse-partial-sexp
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
           1   0%                        seed7--on-lineof
        1290   8%                    - seed7-line-inside-parens-pair-column
        1290   8%                     - seed7-line-inside-parens-pair
        1059   7%                      - seed7-re-search-backward
         604   4%                       - seed7-inside-comment-p
         604   4%                        - syntax-ppss
         599   4%                           parse-partial-sexp
           1   0%                           syntax-propertize
           1   0%                           syntax-ppss-toplevel-pos
           1   0%                           syntax-ppss--update-stats
         401   2%                       - run-with-timer
         400   2%                        - run-at-time
         266   1%                         - timer-activate
         266   1%                          - timer--activate
         264   1%                           - timer--time-less-p
           2   0%                              timer--time
           1   0%                             timerp
          92   0%                         - timer-set-time
          92   0%                            timer--time-setter
          40   0%                           timer-relative-time
           1   0%                           timer-create
          32   0%                         re-search-backward
          18   0%                       - seed7-inside-string-p
          11   0%                        - syntax-ppss
           7   0%                           parse-partial-sexp
           3   0%                        - #<byte-code-function 3F3>
           2   0%                           set-match-data
           2   0%                         make-closure
         145   0%                      - forward-sexp
         144   0%                         seed7--forward-sexp-function
          62   0%                      - seed7-line-inside-syntax-parens-pair
          36   0%                       - syntax-ppss
          36   0%                          parse-partial-sexp
          20   0%                       - forward-sexp
          20   0%                          seed7--forward-sexp-function
           1   0%                         seed7--paren-pair-string
         174   1%                    - seed7-line-inside-logic-check-expression
         174   1%                     - seed7-to-previous-line-starts-with
         174   1%                      - seed7-re-search-backward
         172   1%                         re-search-backward
           2   0%                       - run-with-timer
           2   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
         148   1%                    - seed7--current-line-nth-word
         143   0%                     - thing-at-point
         143   0%                      - bounds-of-thing-at-point
         133   0%                       - #<byte-code-function 2E2>
         133   0%                        - forward-thing
         132   0%                         - forward-word
         131   0%                          - internal--syntax-propertize
         131   0%                           - syntax-propertize
         119   0%                              seed7-mode-syntax-propertize
           7   0%                            - #<byte-code-function 98D>
           6   0%                               syntax-propertize-wholelines
           1   0%                           intern-soft
           6   0%                       - #<byte-code-function 0CC>
           6   0%                        - forward-thing
           4   0%                           forward-word
           3   0%                         make-closure
           1   0%                         re-search-forward
          77   0%                    - seed7-line-inside-argument-list-section
          76   0%                     - seed7-re-search-backward
          73   0%                        re-search-backward
           3   0%                      - run-with-timer
           3   0%                       - run-at-time
           2   0%                        - timer-activate
           2   0%                         - timer--activate
           2   0%                            timer--time-less-p
           1   0%                          timer-relative-time
           1   0%                     - seed7-line-is-procfunc-beg-of-decl
           1   0%                        seed7-line-starts-with
          67   0%                    - seed7-line-inside-assign-statement-continuation
          66   0%                     - seed7-assign-op-pos
          66   0%                      - seed7-re-search-backward
          63   0%                         re-search-backward
           2   0%                       - seed7-inside-comment-p
           2   0%                        - syntax-ppss
           2   0%                           parse-partial-sexp
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
           1   0%                       seed7-statement-end-pos
          66   0%                    - seed7-line-inside-until-logic-expression
          66   0%                     - seed7-re-search-backward
          65   0%                        re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-activate
           1   0%                         - timer--activate
           1   0%                            timer--time-less-p
          63   0%                    - seed7-line-inside-func-return-statement
          63   0%                     - seed7-re-search-backward
          62   0%                        re-search-backward
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-set-time
           1   0%                           timer--time-setter
          61   0%                    - seed7-line-ends-with
          49   0%                     - seed7-re-search-backward
          47   0%                      - run-with-timer
          47   0%                       - run-at-time
          33   0%                        - timer-activate
          33   0%                         - timer--activate
          33   0%                            timer--time-less-p
           9   0%                        - timer-set-time
           9   0%                           timer--time-setter
           5   0%                          timer-relative-time
          11   0%                     - seed7-move-to-line
          11   0%                      - seed7-to-previous-non-empty-line
           7   0%                       - seed7-inside-comment-p
           7   0%                        - syntax-ppss
           6   0%                           parse-partial-sexp
           1   0%                           syntax-ppss--data
          29   0%                    - seed7-line-is-defun-end
          13   0%                     - seed7-move-to-line
          13   0%                      - seed7-to-previous-non-empty-line
          12   0%                       - seed7-inside-comment-p
          12   0%                        - syntax-ppss
          12   0%                           parse-partial-sexp
           6   0%                     - seed7--safe-current-line-defun-start-indent
           6   0%                      - seed7-to-block-backward
           6   0%                       - seed7-re-search-backward
           6   0%                          re-search-backward
           6   0%                     - seed7-beg-of-defun
           5   0%                      - seed7-re-search-backward
           5   0%                         re-search-backward
           1   0%                      - seed7-re-search-backward-closest
           1   0%                       - seed7-re-search-backward
           1   0%                          re-search-backward
           3   0%                       looking-back
           1   0%                       seed7--current-line-nth-word
          22   0%                    - seed7-current-line-start-inside-comment-p
          22   0%                     - seed7-inside-comment-p
          22   0%                      - syntax-ppss
          21   0%                         parse-partial-sexp
          15   0%                    - seed7-comment-column
          11   0%                     - seed7-calc-indent
           3   0%                      - seed7-line-at-endof-array-definition-block
           3   0%                       - seed7-move-to-line
           3   0%                        - seed7-to-previous-non-empty-line
           3   0%                         - seed7-inside-comment-p
