      3,722,232  99% - ...
      3,722,232  99%  - call-interactively@ido-cr+-record-current-command
      3,722,232  99%   - #<primitive-function call-interactively>
      3,722,232  99%    - funcall-interactively
      3,722,232  99%     - smex
      3,722,232  99%      - smex-read-and-run
      3,722,232  99%       - execute-extended-command
      3,722,232  99%        - command-execute
      3,722,232  99%         - call-interactively
      3,722,232  99%          - apply
      3,722,232  99%           - call-interactively@ido-cr+-record-current-command
      3,722,232  99%            - #<primitive-function call-interactively>
      3,722,232  99%             - funcall-interactively
      3,722,232  99%              - pel-profile-all
      3,722,232  99%               - pel-profile-indent
      3,722,232  99%                - pel-profile-indentation-test-of
      2,158,332  57%                 - call-interactively
      2,158,332  57%                  - apply
      2,158,332  57%                   - call-interactively@ido-cr+-record-current-command
      2,158,332  57%                    - #<primitive-function call-interactively>
      2,158,332  57%                     - funcall-interactively
      2,158,316  57%                      - seed7-complete-statement-or-indent
      2,158,316  57%                       - seed7-indent-region
      2,158,316  57%                        - seed7--indent-one-line
      2,158,316  57%                         - seed7-calc-indent
      1,012,135  27%                          - seed7-comment-column
        930,439  24%                           - seed7-calc-indent
        462,162  12%                            - seed7--indent-search-boundary
        461,138  12%                             - seed7--indent-search-boundary-uncached
        461,138  12%                              - syntax-ppss
        461,138  12%                                 #<byte-code-function 34A>
        186,457   5%                            - seed7-line-is-defun-end
         70,032   1%                             - seed7-end-of-defun
         58,080   1%                              - seed7-top-block-name
         58,080   1%                               - seed7--to-top
         52,272   1%                                - seed7-re-search-backward
         52,272   1%                                 - run-with-timer
         52,272   1%                                  - run-at-time
         25,488   0%                                   - timer-activate
         25,488   0%                                    - timer--activate
         25,488   0%                                       timer--time-less-p
         16,416   0%                                     timer-relative-time
         10,368   0%                                   - timer-set-time
         10,368   0%                                      timer--time-setter
          5,808   0%                                - run-with-timer
          5,808   0%                                 - run-at-time
          2,832   0%                                  - timer-activate
          2,832   0%                                   - timer--activate
          2,832   0%                                      timer--time-less-p
          1,824   0%                                    timer-relative-time
          1,152   0%                                  - timer-set-time
          1,152   0%                                     timer--time-setter
          5,808   0%                              - seed7-re-search-backward
          5,808   0%                               - run-with-timer
          5,808   0%                                - run-at-time
          2,832   0%                                 - timer-activate
