      4,915,247  99% - ...
      4,915,247  99%  - call-interactively@ido-cr+-record-current-command
      4,915,247  99%   - #<primitive-function call-interactively>
      4,915,247  99%    - funcall-interactively
      4,915,247  99%     - smex
      4,915,247  99%      - smex-read-and-run
      4,915,247  99%       - execute-extended-command
      4,915,247  99%        - command-execute
      4,915,247  99%         - call-interactively
      4,915,247  99%          - apply
      4,915,247  99%           - call-interactively@ido-cr+-record-current-command
      4,915,247  99%            - #<primitive-function call-interactively>
      4,915,247  99%             - funcall-interactively
      4,915,247  99%              - pel-profile-all
      4,915,247  99%               - pel-profile-indent
      4,915,247  99%                - pel-profile-indentation-test-of
      3,351,347  68%                 - call-interactively
      3,351,347  68%                  - apply
      3,351,347  68%                   - call-interactively@ido-cr+-record-current-command
      3,351,347  68%                    - #<primitive-function call-interactively>
      3,351,347  68%                     - funcall-interactively
      3,351,331  68%                      - seed7-complete-statement-or-indent
      3,351,331  68%                       - seed7-indent-region
      3,351,331  68%                        - seed7--indent-one-line
      3,351,331  68%                         - seed7-calc-indent
      1,263,252  25%                          - seed7-line-inside-a-block-cached
      1,263,252  25%                           - seed7-line-inside-a-block
        680,833  13%                            - seed7-re-search-backward
        652,641  13%                             - run-with-timer
        652,641  13%                              - run-at-time
        614,945  12%                               - timer-activate
        614,945  12%                                - timer--activate
        614,945  12%                                   timer--time-less-p
         23,104   0%                                 timer-relative-time
         14,592   0%                               - timer-set-time
         14,592   0%                                  timer--time-setter
         28,192   0%                               re-search-backward
        408,291   8%                            - seed7--safe-enclosing-block-bounds
        408,291   8%                             - seed7--block-end-pos-for
        316,935   6%                              - seed7-to-block-forward
        190,547   3%                               - seed7-end-of-defun
        121,768   2%                                - seed7-top-block-name
        109,664   2%                                 - seed7--to-top
         74,816   1%                                  - seed7-re-search-backward
         69,696   1%                                   - run-with-timer
         69,696   1%                                    - run-at-time
         33,984   0%                                     - timer-activate
         33,984   0%                                      - timer--activate
         33,984   0%                                         timer--time-less-p
         21,888   0%                                       timer-relative-time
         13,824   0%                                     - timer-set-time
         13,824   0%                                        timer--time-setter
          5,120   0%                                     re-search-backward
         34,848   0%                                  - run-with-timer
         34,848   0%                                   - run-at-time
         16,992   0%                                    - timer-activate
         16,992   0%                                     - timer--activate
         16,992   0%                                        timer--time-less-p
         10,944   0%                                      timer-relative-time
          6,912   0%                                    - timer-set-time
          6,912   0%                                       timer--time-setter
         12,104   0%                                 - seed7--block-name
         12,104   0%                                    seed7-re-search-forward
         34,848   0%                                - seed7-re-search-backward
         34,848   0%                                 - run-with-timer
         34,848   0%                                  - run-at-time
         16,992   0%                                   - timer-activate
         16,992   0%                                    - timer--activate
         16,992   0%                                       timer--time-less-p
         10,944   0%                                     timer-relative-time
          6,912   0%                                   - timer-set-time
          6,912   0%                                      timer--time-setter
         16,565   0%                                  seed7-re-search-forward
         61,908   1%                                 seed7-re-search-forward
         40,928   0%                               - seed7--current-line-nth-word
         40,928   0%                                - thing-at-point
         32,744   0%                                 - bounds-of-thing-at-point
         16,368   0%                                  - #<byte-code-function EE9>
         16,368   0%                                   - forward-thing
         16,368   0%                                      format
          8,192   0%                                    re-search-forward
          8,184   0%                                  - #<byte-code-function A1D>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
         23,552   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         57,436   1%                              - seed7--line-ends-a-statement-p
         34,908   0%                                 looking-at
         22,528   0%                               - forward-sexp
         22,528   0%                                  seed7--forward-sexp-function
          4,224   0%                              - seed7-re-search-forward-closest
          4,224   0%                                 seed7-re-search-forward
        145,456   2%                            - seed7-calc-indent
         30,712   0%                             - seed7-line-is-defun-end
         20,472   0%                                looking-back
          7,168   0%                              - seed7-line-starts-with-any
          7,168   0%                                 seed7-line-starts-with
          3,072   0%                              - seed7-move-to-line
          3,072   0%                                 seed7-to-previous-non-empty-line
         28,648   0%                             - seed7-line-inside-a-block-cached
         28,648   0%                              - seed7-line-inside-a-block
         15,360   0%                               - seed7--safe-enclosing-block-bounds
         15,360   0%                                - seed7--block-end-pos-for
          8,192   0%                                 - seed7-to-block-forward
          5,120   0%                                    seed7-re-search-forward
          3,072   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          5,120   0%                                 - seed7--line-ends-a-statement-p
          3,072   0%                                    looking-at
          2,048   0%                                  - forward-sexp
          2,048   0%                                     seed7--forward-sexp-function
         11,240   0%                               - seed7-re-search-backward
          8,712   0%                                - run-with-timer
          8,712   0%                                 - run-at-time
          4,248   0%                                  - timer-activate
          4,248   0%                                   - timer--activate
          4,248   0%                                      timer--time-less-p
          2,736   0%                                    timer-relative-time
          1,728   0%                                  - timer-set-time
          1,728   0%                                     timer--time-setter
          2,528   0%                                  re-search-backward
          2,048   0%                                 replace-regexp-in-string
         14,744   0%                             - seed7-line-inside-parens-pair-column
         14,744   0%                              - seed7-line-inside-parens-pair
         14,744   0%                               - seed7-re-search-backward
         10,648   0%                                - run-with-timer
         10,648   0%                                 - run-at-time
          5,192   0%                                  - timer-activate
          5,192   0%                                   - timer--activate
          5,192   0%                                      timer--time-less-p
          3,344   0%                                    timer-relative-time
          2,112   0%                                  - timer-set-time
          2,112   0%                                     timer--time-setter
          4,096   0%                                  re-search-backward
          9,048   0%                             - seed7-line-inside-argument-list-section
          5,976   0%                              - seed7-re-search-backward
          3,072   0%                                 re-search-backward
          2,904   0%                               - run-with-timer
          2,904   0%                                - run-at-time
          1,416   0%                                 - timer-activate
          1,416   0%                                  - timer--activate
          1,416   0%                                     timer--time-less-p
            912   0%                                   timer-relative-time
            576   0%                                 - timer-set-time
            576   0%                                    timer--time-setter
          3,072   0%                              - seed7-line-is-procfunc-beg-of-decl
          3,072   0%                                 seed7-line-starts-with
          8,184   0%                             - seed7--current-line-nth-word
          8,184   0%                              - thing-at-point
          8,184   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function B9A>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          7,968   0%                             - seed7-line-inside-array-definition-block
          7,968   0%                              - seed7-re-search-backward
          4,096   0%                                 re-search-backward
          3,872   0%                               - run-with-timer
          3,872   0%                                - run-at-time
          1,888   0%                                 - timer-activate
          1,888   0%                                  - timer--activate
          1,888   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
          7,968   0%                             - seed7-line-inside-set-definition-block
          7,968   0%                              - seed7-re-search-backward
          4,096   0%                                 re-search-backward
          3,872   0%                               - run-with-timer
          3,872   0%                                - run-at-time
          1,888   0%                                 - timer-activate
          1,888   0%                                  - timer--activate
          1,888   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
          7,968   0%                             - seed7-line-inside-assign-statement-continuation
          7,968   0%                              - seed7-assign-op-pos
