        3836  92% - ...
        3836  92%  - pel-profile-all
        3836  92%   - pel-profile-indent
        3836  92%    - pel-profile-indentation-test-of
        3836  92%     - call-interactively
        3836  92%      - apply
        3836  92%       - call-interactively@ido-cr+-record-current-command
        3836  92%        - #<primitive-function call-interactively>
        3836  92%         - funcall-interactively
        3777  91%          - pel-profile-all
        3777  91%           - pel-profile-indent
        3777  91%            - pel-profile-indentation-test-of
        3777  91%             - call-interactively
        3777  91%              - apply
        3777  91%               - call-interactively@ido-cr+-record-current-command
        3777  91%                - #<primitive-function call-interactively>
        3777  91%                 - funcall-interactively
        3777  91%                  - seed7-complete-statement-or-indent
        3777  91%                   - seed7-indent-region
        3777  91%                    - seed7--indent-one-line
        3777  91%                     - seed7-calc-indent
        2388  57%                      - seed7--indent-search-boundary
        2388  57%                       - seed7--indent-search-boundary-uncached
        2363  57%                        - syntax-ppss
        2350  56%                           parse-partial-sexp
           2   0%                           syntax-ppss--update-stats
           2   0%                           syntax-ppss--data
           1   0%                           make-closure
           1   0%                           syntax-table
           1   0%                           syntax-ppss-toplevel-pos
           2   0%                          seed7-to-indent
         845  20%                      - seed7-line-is-defun-end
         767  18%                       - seed7-end-of-defun
         655  15%                        - seed7-top-block-name
         655  15%                         - seed7--to-top
         651  15%                          - seed7-re-search-backward
         491  11%                           - seed7-inside-comment-p
         491  11%                            - syntax-ppss
         490  11%                               parse-partial-sexp
         145   3%                           - run-with-timer
         145   3%                            - run-at-time
          95   2%                             - timer-activate
          95   2%                              - timer--activate
          95   2%                               - timer--time-less-p
           1   0%                                  timer--time
          41   0%                             - timer-set-time
          41   0%                                timer--time-setter
           9   0%                               timer-relative-time
          10   0%                             re-search-backward
           3   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           2   0%                           - #<byte-code-function 092>
           1   0%                              cancel-timer
           3   0%                          - run-with-timer
           3   0%                           - run-at-time
           3   0%                            - timer-activate
           3   0%                             - timer--activate
           3   0%                                timer--time-less-p
          96   2%                        - seed7-re-search-forward
          35   0%                         - seed7-inside-comment-p
          35   0%                          - syntax-ppss
          30   0%                             parse-partial-sexp
           4   0%                           - syntax-propertize
           4   0%                              seed7-mode-syntax-propertize
           1   0%                             #<byte-code-function C97>
          34   0%                         - seed7-inside-string-p
          34   0%                          - syntax-ppss
          34   0%                             parse-partial-sexp
          16   0%                        - seed7-re-search-backward
          13   0%                         - seed7-inside-comment-p
          13   0%                          - syntax-ppss
          13   0%                             parse-partial-sexp
           3   0%                         - run-with-timer
           3   0%                          - run-at-time
           3   0%                           - timer-activate
           3   0%                            - timer--activate
           3   0%                               timer--time-less-p
          76   1%                       - seed7-beg-of-defun
          49   1%                        - seed7-re-search-backward
          35   0%                         - seed7-inside-comment-p
          35   0%                          - syntax-ppss
          35   0%                             parse-partial-sexp
          11   0%                         - run-with-timer
          11   0%                          - run-at-time
           8   0%                           - timer-activate
           8   0%                            - timer--activate
           8   0%                               timer--time-less-p
           3   0%                           - timer-set-time
           3   0%                              timer--time-setter
           2   0%                           re-search-backward
           1   0%                           seed7-inside-string-p
          23   0%                        - seed7-re-search-backward-closest
          23   0%                         - seed7-re-search-backward
