         199  86% - ...
         199  86%  - #<primitive-function call-interactively>
         199  86%   - funcall-interactively
         199  86%    - pel-profile-all
         199  86%     - pel-profile-indent
         199  86%      - pel-profile-indentation-test-of
         199  86%       - call-interactively
         199  86%        - apply
         199  86%         - call-interactively@ido-cr+-record-current-command
         199  86%          - #<primitive-function call-interactively>
         199  86%           - funcall-interactively
         189  81%            - seed7-complete-statement-or-indent
         189  81%             - seed7-indent-region
         189  81%              - seed7--indent-one-line
         189  81%               - seed7-calc-indent
         102  44%                - seed7--indent-search-boundary
         102  44%                 - seed7--indent-search-boundary-uncached
         101  43%                  - syntax-ppss
         101  43%                     parse-partial-sexp
          32  13%                - seed7-line-is-defun-end
          28  12%                 - seed7-end-of-defun
          25  10%                  - seed7-top-block-name
          25  10%                   - seed7--to-top
          23   9%                    - seed7-re-search-backward
          14   6%                     - run-with-timer
          14   6%                      - run-at-time
           8   3%                       - timer-activate
           8   3%                        - timer--activate
           8   3%                           timer--time-less-p
           5   2%                       - timer-set-time
           5   2%                          timer--time-setter
           1   0%                         timer-relative-time
           8   3%                     - seed7-inside-comment-p
           8   3%                      - syntax-ppss
           8   3%                         parse-partial-sexp
           1   0%                       re-search-backward
           2   0%                    - run-with-timer
           2   0%                     - run-at-time
           1   0%                      - timer-set-time
           1   0%                         timer--time-setter
           1   0%                      - timer-activate
           1   0%                       - timer--activate
           1   0%                          timer--time-less-p
           2   0%                  - seed7-re-search-backward
           2   0%                   - seed7-inside-comment-p
           2   0%                    - syntax-ppss
           2   0%                       parse-partial-sexp
           1   0%                  - seed7-re-search-forward
           1   0%                   - seed7-inside-string-p
           1   0%                    - syntax-ppss
           1   0%                       #<byte-code-function FF1>
           2   0%                 - seed7-beg-of-defun
           2   0%                  - seed7-re-search-backward
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           1   0%                     re-search-backward
           1   0%                 - seed7-move-to-line
           1   0%                  - seed7-to-previous-non-empty-line
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           1   0%                 - seed7--safe-current-line-defun-start-indent
           1   0%                  - seed7-to-block-backward
           1   0%                     seed7-inside-line-indent-before-comment-p
          23   9%                - seed7-line-inside-a-block-cached
          23   9%                 - seed7-line-inside-a-block
          14   6%                  - seed7--safe-enclosing-block-bounds
          14   6%                   - seed7--block-end-pos-for
          14   6%                    - seed7-to-block-forward
          13   5%                     - seed7-end-of-defun
          12   5%                      - seed7-top-block-name
          12   5%                       - seed7--to-top
          12   5%                        - seed7-re-search-backward
           7   3%                         - run-with-timer
           7   3%                          - run-at-time
           4   1%                           - timer-activate
           4   1%                            - timer--activate
