          87  86% - ...
          87  86%  - pel-profile-indent
          87  86%   - pel-profile-indentation-test-of
          87  86%    - call-interactively
          87  86%     - apply
          87  86%      - call-interactively@ido-cr+-record-current-command
          87  86%       - #<primitive-function call-interactively>
          87  86%        - funcall-interactively
          61  60%         - seed7-complete-statement-or-indent
          61  60%          - seed7-indent-region
          61  60%           - seed7--indent-one-line
          61  60%            - seed7-calc-indent
          22  21%             - seed7-line-is-defun-end
          20  19%              - seed7-end-of-defun
          18  17%               - seed7-top-block-name
          18  17%                - seed7--to-top
          17  16%                 - seed7-re-search-backward
          11  10%                  - run-with-timer
          11  10%                   - run-at-time
           8   7%                    - timer-activate
           8   7%                     - timer--activate
           8   7%                      - timer--time-less-p
           1   0%                         timer--time
           3   2%                    - timer-set-time
           3   2%                       timer--time-setter
           5   4%                  - seed7-inside-comment-p
           5   4%                   - syntax-ppss
           5   4%                      parse-partial-sexp
           1   0%                    #<byte-code-function 612>
           1   0%                 - run-with-timer
           1   0%                  - run-at-time
           1   0%                   - timer-activate
           1   0%                    - timer--activate
           1   0%                       timer--time-less-p
           2   1%               - seed7-re-search-forward
           1   0%                - seed7-inside-comment-p
           1   0%                 - syntax-ppss
           1   0%                    parse-partial-sexp
           1   0%                - seed7-inside-string-p
           1   0%                 - syntax-ppss
           1   0%                    parse-partial-sexp
           1   0%              - seed7--safe-current-line-defun-start-indent
           1   0%               - seed7-to-block-backward
           1   0%                - seed7-re-search-backward
           1   0%                 - run-with-timer
           1   0%                  - run-at-time
           1   0%                   - timer-set-time
           1   0%                      timer--time-setter
           1   0%              - seed7-beg-of-defun
           1   0%               - seed7-top-block-name
           1   0%                - seed7--block-name
           1   0%                   seed7-re-search-forward
          21  20%             - seed7-line-inside-a-block-cached
          21  20%              - seed7-line-inside-a-block
          15  14%               - seed7--safe-enclosing-block-bounds
          15  14%                - seed7--block-end-pos-for
          15  14%                 - seed7-to-block-forward
          14  13%                  - seed7-end-of-defun
          14  13%                   - seed7-top-block-name
          13  12%                    - seed7--to-top
          13  12%                     - seed7-re-search-backward
           8   7%                      - run-with-timer
           8   7%                       - run-at-time
           5   4%                        - timer-activate
           5   4%                         - timer--activate
           5   4%                            timer--time-less-p
           3   2%                        - timer-set-time
           3   2%                           timer--time-setter
           5   4%                      - seed7-inside-comment-p
           5   4%                       - syntax-ppss
           5   4%                          parse-partial-sexp
           1   0%                    - seed7--block-name
           1   0%                     - seed7-re-search-forward
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           1   0%                  - seed7-re-search-forward
           1   0%                   - seed7-inside-string-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           6   5%               - seed7-re-search-backward
           5   4%                - run-with-timer
           5   4%                 - run-at-time
           3   2%                  - timer-set-time
           3   2%                     timer--time-setter
           2   1%                  - timer-activate
           2   1%                   - timer--activate
           2   1%                      timer--time-less-p
           1   0%                - seed7-inside-comment-p
           1   0%                 - syntax-ppss
           1   0%                    parse-partial-sexp
           4   3%             - seed7-line-inside-argument-list-section
           4   3%              - seed7-re-search-backward
           4   3%               - run-with-timer
           4   3%                - run-at-time
           3   2%                 - timer-activate
           3   2%                  - timer--activate
           3   2%                     timer--time-less-p
           1   0%                 - timer-set-time
           1   0%                    timer--time-setter
           3   2%             - seed7-line-inside-parens-pair-column
           3   2%              - seed7-line-inside-parens-pair
           3   2%               - seed7-re-search-backward
           3   2%                - run-with-timer
           3   2%                 - run-at-time
           3   2%                  - timer-activate
           3   2%                   - timer--activate
           3   2%                      timer--time-less-p
           2   1%             - seed7-comment-column
           2   1%              - seed7-calc-indent
           1   0%               - seed7-line-inside-parens-pair-column
           1   0%                - seed7-line-inside-parens-pair
           1   0%                 - seed7-re-search-backward
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%               - seed7-line-at-endof-array-definition-block
           1   0%                - seed7-move-to-line
           1   0%                 - seed7-to-previous-non-empty-line
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           2   1%             - seed7-line-inside-assign-statement-continuation
           1   0%              - seed7-assign-op-pos
           1   0%               - seed7-re-search-backward
           1   0%                - seed7-inside-string-p
           1   0%                 - syntax-ppss
           1   0%                    parse-partial-sexp
           1   0%              - seed7-statement-end-pos
           1   0%               - seed7-forward-char-pos
           1   0%                - seed7-re-search-forward
           1   0%                 - seed7-inside-string-p
           1   0%                  - syntax-ppss
           1   0%                     parse-partial-sexp
           2   1%             - seed7-line-inside-until-logic-expression
           2   1%              - seed7-re-search-backward
           2   1%               - run-with-timer
           2   1%                - run-at-time
           2   1%                 - timer-activate
           2   1%                  - timer--activate
           2   1%                     timer--time-less-p
           2   1%             - seed7-line-inside-func-return-statement
           2   1%              - seed7-re-search-backward
           2   1%               - run-with-timer
           2   1%                - run-at-time
           2   1%                 - timer-activate
           2   1%                  - timer--activate
           2   1%                     timer--time-less-p
           1   0%             - seed7-position-of-end-of-statement
           1   0%              - seed7-line-code-ends-with
           1   0%               - seed7-re-search-backward
           1   0%                - run-with-timer
           1   0%                 - run-at-time
