     61,339,512  99% - ...
     61,339,512  99%  - call-interactively@ido-cr+-record-current-command
     61,339,512  99%   - #<primitive-function call-interactively>
     61,339,512  99%    - funcall-interactively
     61,339,512  99%     - smex
     61,339,512  99%      - smex-read-and-run
     61,339,512  99%       - execute-extended-command
     61,339,512  99%        - command-execute
     61,339,512  99%         - call-interactively
     61,339,512  99%          - apply
     61,339,512  99%           - call-interactively@ido-cr+-record-current-command
     61,339,512  99%            - #<primitive-function call-interactively>
     61,339,512  99%             - funcall-interactively
     61,339,512  99%              - pel-profile-all
     61,339,512  99%               - pel-profile-indent
     61,339,512  99%                - pel-profile-indentation-test-of
     59,769,980  97%                 - call-interactively
     59,769,980  97%                  - apply
     59,769,980  97%                   - call-interactively@ido-cr+-record-current-command
     59,769,980  97%                    - #<primitive-function call-interactively>
     59,769,980  97%                     - funcall-interactively
     59,769,964  97%                      - seed7-complete-statement-or-indent
     59,769,964  97%                       - seed7-indent-region
     59,769,964  97%                        - seed7--indent-one-line
     59,713,812  97%                         - seed7-calc-indent
     18,108,819  29%                          - seed7-line-inside-a-block-cached
     18,108,819  29%                           - seed7-line-inside-a-block
     13,607,162  22%                            - seed7--safe-enclosing-block-bounds
     13,607,162  22%                             - seed7--block-end-pos-for
     13,069,948  21%                              - seed7-to-block-forward
     10,372,694  16%                               - seed7-end-of-defun
      9,343,644  15%                                - seed7-top-block-name
      9,189,267  14%                                 - seed7--to-top
      8,898,867  14%                                  - seed7-re-search-backward
      8,814,592  14%                                   - run-with-timer
      8,814,592  14%                                    - run-at-time
      4,298,032   6%                                     - timer-activate
      4,298,032   6%                                      - timer--activate
      4,298,032   6%                                         timer--time-less-p
      2,768,208   4%                                       timer-relative-time
      1,748,352   2%                                     - timer-set-time
      1,748,352   2%                                        timer--time-setter
         78,400   0%                                     re-search-backward
          5,875   0%                                   - seed7-inside-comment-p
          5,875   0%                                    - syntax-ppss
          5,875   0%                                     - syntax-propertize
          5,875   0%                                        seed7-mode-syntax-propertize
        290,400   0%                                  - run-with-timer
        290,400   0%                                   - run-at-time
        141,600   0%                                    - timer-activate
        141,600   0%                                     - timer--activate
        141,600   0%                                        timer--time-less-p
         91,200   0%                                      timer-relative-time
         57,600   0%                                    - timer-set-time
         57,600   0%                                       timer--time-setter
        154,377   0%                                 - seed7--block-name
        154,377   0%                                    seed7-re-search-forward
        545,928   0%                                - seed7-re-search-forward
        220,256   0%                                 - internal--syntax-propertize
        220,256   0%                                  - syntax-propertize
        220,256   0%                                     seed7-mode-syntax-propertize
         12,809   0%                                 - seed7-inside-comment-p
         12,809   0%                                  - syntax-ppss
         12,809   0%                                   - syntax-propertize
         12,809   0%                                      seed7-mode-syntax-propertize
        290,400   0%                                - seed7-re-search-backward
        290,400   0%                                 - run-with-timer
        290,400   0%                                  - run-at-time
        141,600   0%                                   - timer-activate
        141,600   0%                                    - timer--activate
        141,600   0%                                       timer--time-less-p
         91,200   0%                                     timer-relative-time
         57,600   0%                                   - timer-set-time
         57,600   0%                                      timer--time-setter
         24,552   0%                                  match-string
      1,278,350   2%                               - seed7-re-search-forward
         10,232   0%                                - seed7-inside-comment-p
         10,232   0%                                 - syntax-ppss
         10,232   0%                                  - syntax-propertize
         10,232   0%                                     seed7-mode-syntax-propertize
        880,744   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        513,608   0%                               - seed7--current-line-nth-word
        513,608   0%                                - thing-at-point
        423,584   0%                                 - bounds-of-thing-at-point
        253,704   0%                                  - #<byte-code-function 6FA>
        253,704   0%                                   - forward-thing
        253,704   0%                                      format
        106,392   0%                                  - #<byte-code-function F5F>
        106,392   0%                                   - forward-thing
        106,392   0%                                      format
         63,488   0%                                    re-search-forward
         24,552   0%                                 seed7--end-regexp-for
        365,710   0%                              - seed7--line-ends-a-statement-p
        273,422   0%                                 looking-at
         92,288   0%                               - forward-sexp
         92,288   0%                                  seed7--forward-sexp-function
          5,120   0%                              - seed7-to-next-line-starts-with
          5,120   0%                                 seed7-re-search-forward
      2,502,049   4%                            - seed7-re-search-backward
      1,442,320   2%                             - run-with-timer
      1,442,320   2%                              - run-at-time
        703,280   1%                               - timer-activate
        703,280   1%                                - timer--activate
        703,280   1%                                   timer--time-less-p
        452,960   0%                                 timer-relative-time
        286,080   0%                               - timer-set-time
        286,080   0%                                  timer--time-setter
      1,059,729   1%                               re-search-backward
        986,120   1%                            - replace-regexp-in-string
         32,736   0%                               concat
        789,248   1%                            - seed7-calc-indent
        367,544   0%                             - seed7-line-inside-parens-pair-column
        367,544   0%                              - seed7-line-inside-parens-pair
        361,400   0%                               - seed7-re-search-backward
        355,256   0%                                - run-with-timer
        355,256   0%                                 - run-at-time
        173,224   0%                                  - timer-activate
        173,224   0%                                   - timer--activate
        173,224   0%                                      timer--time-less-p
        111,568   0%                                    timer-relative-time
         70,464   0%                                  - timer-set-time
         70,464   0%                                     timer--time-setter
          6,144   0%                                  re-search-backward
          6,144   0%                               - forward-sexp
          6,144   0%                                  seed7--forward-sexp-function
        181,529   0%                             - seed7-line-inside-a-block-cached
        181,529   0%                              - seed7-line-inside-a-block
        159,065   0%                               - seed7--safe-enclosing-block-bounds
        159,065   0%                                - seed7--block-end-pos-for
        135,065   0%                                 - seed7-to-block-forward
        130,969   0%                                  - seed7-end-of-defun
        116,149   0%                                   - seed7-top-block-name
        111,568   0%                                    - seed7--to-top
        108,664   0%                                     - seed7-re-search-backward
        107,448   0%                                      - run-with-timer
        107,448   0%                                       - run-at-time
         52,392   0%                                        - timer-activate
         52,392   0%                                         - timer--activate
         52,392   0%                                            timer--time-less-p
         33,744   0%                                          timer-relative-time
         21,312   0%                                        - timer-set-time
         21,312   0%                                           timer--time-setter
          1,216   0%                                        re-search-backward
          2,904   0%                                     - run-with-timer
          2,904   0%                                      - run-at-time
          1,416   0%                                       - timer-activate
          1,416   0%                                        - timer--activate
          1,416   0%                                           timer--time-less-p
            912   0%                                         timer-relative-time
            576   0%                                       - timer-set-time
            576   0%                                          timer--time-setter
          4,581   0%                                    - seed7--block-name
          4,581   0%                                       seed7-re-search-forward
          8,444   0%                                     seed7-re-search-forward
          2,904   0%                                   - seed7-re-search-backward
          2,904   0%                                    - run-with-timer
          2,904   0%                                     - run-at-time
          1,416   0%                                      - timer-activate
          1,416   0%                                       - timer--activate
          1,416   0%                                          timer--time-less-p
            912   0%                                        timer-relative-time
            576   0%                                      - timer-set-time
            576   0%                                         timer--time-setter
          2,048   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          1,024   0%                                  - seed7--current-line-nth-word
          1,024   0%                                   - thing-at-point
          1,024   0%                                    - bounds-of-thing-at-point
          1,024   0%                                       re-search-forward
          1,024   0%                                    seed7-re-search-forward
         21,824   0%                                 - seed7--line-ends-a-statement-p
         15,680   0%                                    looking-at
          6,144   0%                                  - forward-sexp
          6,144   0%                                     seed7--forward-sexp-function
         17,344   0%                               - seed7-re-search-backward
         11,616   0%                                - run-with-timer
         11,616   0%                                 - run-at-time
          5,664   0%                                  - timer-activate
          5,664   0%                                   - timer--activate
          5,664   0%                                      timer--time-less-p
          3,648   0%                                    timer-relative-time
          2,304   0%                                  - timer-set-time
          2,304   0%                                     timer--time-setter
          5,728   0%                                  re-search-backward
          5,120   0%                                 replace-regexp-in-string
        123,671   0%                             - seed7-line-is-defun-end
         60,951   0%                              - seed7-beg-of-defun
         27,889   0%                               - seed7-re-search-backward
         24,017   0%                                  re-search-backward
          3,872   0%                                - run-with-timer
          3,872   0%                                 - run-at-time
          1,888   0%                                  - timer-activate
          1,888   0%                                   - timer--activate
          1,888   0%                                      timer--time-less-p
          1,216   0%                                    timer-relative-time
            768   0%                                  - timer-set-time
            768   0%                                     timer--time-setter
         16,678   0%                               - seed7-re-search-backward-closest
         16,678   0%                                - seed7-re-search-backward
          8,934   0%                                   re-search-backward
          7,744   0%                                 - run-with-timer
          7,744   0%                                  - run-at-time
          3,776   0%                                   - timer-activate
          3,776   0%                                    - timer--activate
          3,776   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
         45,056   0%                              - seed7-line-starts-with-any
         45,056   0%                                 seed7-line-starts-with
         15,616   0%                                looking-back
          2,048   0%                              - seed7-move-to-line
          2,048   0%                                 seed7-to-previous-non-empty-line
         24,648   0%                             - seed7-line-at-endof-array-definition-block
         17,760   0%                              - seed7-line-code-ends-with
         17,760   0%                               - seed7-re-search-backward
         11,616   0%                                - run-with-timer
         11,616   0%                                 - run-at-time
          5,664   0%                                  - timer-activate
          5,664   0%                                   - timer--activate
          5,664   0%                                      timer--time-less-p
          3,648   0%                                    timer-relative-time
          2,304   0%                                  - timer-set-time
          2,304   0%                                     timer--time-setter
          6,144   0%                                  re-search-backward
          3,872   0%                              - backward-sexp
          3,872   0%                               - forward-sexp
          3,872   0%                                - seed7--forward-sexp-function
          1,936   0%                                 - seed7--at-array-definition-end-line-p
          1,936   0%                                  - seed7-line-code-ends-with
          1,936   0%                                   - seed7-re-search-backward
          1,936   0%                                    - run-with-timer
          1,936   0%                                     - run-at-time
            944   0%                                      - timer-activate
            944   0%                                       - timer--activate
            944   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          1,936   0%                                 - seed7--at-set-definition-end-line-p
          1,936   0%                                  - seed7-line-code-ends-with
          1,936   0%                                   - seed7-re-search-backward
          1,936   0%                                    - run-with-timer
          1,936   0%                                     - run-at-time
            944   0%                                      - timer-activate
            944   0%                                       - timer--activate
            944   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          1,024   0%                                looking-at
            968   0%                              - seed7-re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
