     86,948,613  99% - ...
     86,948,613  99%  - call-interactively@ido-cr+-record-current-command
     86,948,613  99%   - #<primitive-function call-interactively>
     86,948,613  99%    - funcall-interactively
     86,948,613  99%     - smex
     86,948,613  99%      - smex-read-and-run
     86,948,613  99%       - execute-extended-command
     86,948,613  99%        - command-execute
     86,948,613  99%         - call-interactively
     86,948,613  99%          - apply
     86,948,613  99%           - call-interactively@ido-cr+-record-current-command
     86,948,613  99%            - #<primitive-function call-interactively>
     86,948,613  99%             - funcall-interactively
     86,948,613  99%              - pel-profile-all
     86,948,613  99%               - pel-profile-indent
     86,948,613  99%                - pel-profile-indentation-test-of
     85,379,081  98%                 - call-interactively
     85,379,081  98%                  - apply
     85,379,081  98%                   - call-interactively@ido-cr+-record-current-command
     85,379,081  98%                    - #<primitive-function call-interactively>
     85,379,081  98%                     - funcall-interactively
     85,379,065  98%                      - seed7-complete-statement-or-indent
     85,379,065  98%                       - seed7-indent-region
     85,379,065  98%                        - seed7--indent-one-line
     85,379,065  98%                         - seed7-calc-indent
     28,485,129  32%                          - seed7-line-is-defun-end
     16,741,352  19%                           - seed7-end-of-defun
     15,354,808  17%                            - seed7-top-block-name
     15,346,624  17%                             - seed7--to-top
     15,027,184  17%                              - seed7-re-search-backward
     15,027,184  17%                               - run-with-timer
     15,027,184  17%                                - run-at-time
      7,327,328   8%                                 - timer-activate
      7,327,328   8%                                  - timer--activate
      7,327,328   8%                                     timer--time-less-p
      4,719,248   5%                                   timer-relative-time
      2,980,608   3%                                 - timer-set-time
      2,980,608   3%                                    timer--time-setter
        319,440   0%                              - run-with-timer
        319,440   0%                               - run-at-time
        155,760   0%                                - timer-activate
        155,760   0%                                 - timer--activate
        155,760   0%                                    timer--time-less-p
        100,320   0%                                  timer-relative-time
         63,360   0%                                - timer-set-time
         63,360   0%                                   timer--time-setter
          8,184   0%                             - seed7--block-name
          8,184   0%                                match-string
        449,162   0%                            - seed7-re-search-forward
        178,524   0%                             - seed7-inside-comment-p
        178,524   0%                              - syntax-ppss
        178,524   0%                               - syntax-propertize
        178,524   0%                                  seed7-mode-syntax-propertize
         43,062   0%                             - internal--syntax-propertize
         43,062   0%                              - syntax-propertize
         43,062   0%                                 seed7-mode-syntax-propertize
        319,440   0%                            - seed7-re-search-backward
        319,440   0%                             - run-with-timer
        319,440   0%                              - run-at-time
        155,760   0%                               - timer-activate
        155,760   0%                                - timer--activate
        155,760   0%                                   timer--time-less-p
        100,320   0%                                 timer-relative-time
         63,360   0%                               - timer-set-time
         63,360   0%                                  timer--time-setter
        270,072   0%                              match-string-no-properties
         73,656   0%                              match-string
      4,768,984   5%                           - seed7-beg-of-defun
      2,341,245   2%                            - seed7-re-search-backward
      2,004,712   2%                             - run-with-timer
      2,004,712   2%                              - run-at-time
        977,512   1%                               - timer-activate
        977,512   1%                                - timer--activate
        977,512   1%                                   timer--time-less-p
        629,568   0%                                 timer-relative-time
        397,632   0%                               - timer-set-time
        397,632   0%                                  timer--time-setter
        336,533   0%                               re-search-backward
        669,661   0%                            - seed7-re-search-backward-closest
        669,661   0%                             - seed7-re-search-backward
        412,173   0%                                re-search-backward
        257,488   0%                              - run-with-timer
        257,488   0%                               - run-at-time
        125,552   0%                                - timer-activate
        125,552   0%                                 - timer--activate
        125,552   0%                                    timer--time-less-p
         80,864   0%                                  timer-relative-time
         51,072   0%                                - timer-set-time
         51,072   0%                                   timer--time-setter
        576,079   0%                            - seed7-top-block-name
        324,208   0%                             - seed7--to-top
        220,632   0%                              - seed7-re-search-backward
        117,056   0%                                 re-search-backward
        103,576   0%                               - run-with-timer
        103,576   0%                                - run-at-time
         50,504   0%                                 - timer-activate
         50,504   0%                                  - timer--activate
         50,504   0%                                     timer--time-less-p
         32,528   0%                                   timer-relative-time
         20,544   0%                                 - timer-set-time
         20,544   0%                                    timer--time-setter
        103,576   0%                              - run-with-timer
        103,576   0%                               - run-at-time
         50,504   0%                                - timer-activate
         50,504   0%                                 - timer--activate
         50,504   0%                                    timer--time-less-p
         32,528   0%                                  timer-relative-time
         20,544   0%                                - timer-set-time
         20,544   0%                                   timer--time-setter
        251,871   0%                             - seed7--block-name
