      6,255,503  99% - ...
      6,255,503  99%  - #<primitive-function call-interactively>
      6,255,503  99%   - funcall-interactively
      6,255,503  99%    - smex
      6,255,503  99%     - smex-read-and-run
      6,255,503  99%      - execute-extended-command
      6,255,503  99%       - command-execute
      6,255,503  99%        - call-interactively
      6,255,503  99%         - apply
      6,255,503  99%          - call-interactively@ido-cr+-record-current-command
      6,255,503  99%           - #<primitive-function call-interactively>
      6,255,503  99%            - funcall-interactively
      6,255,503  99%             - pel-profile-all
      6,255,503  99%              - pel-profile-dir
      6,255,503  99%               - pel-profile-indent
      6,255,503  99%                - pel-profile-indentation-test-of
      4,691,603  74%                 - call-interactively
      4,691,603  74%                  - apply
      4,691,603  74%                   - call-interactively@ido-cr+-record-current-command
      4,691,603  74%                    - #<primitive-function call-interactively>
      4,691,603  74%                     - funcall-interactively
      4,691,587  74%                      - seed7-complete-statement-or-indent
      4,691,587  74%                       - seed7-indent-region
      4,691,587  74%                        - seed7--indent-one-line
      4,687,443  74%                         - seed7-calc-indent
      1,031,061  16%                          - seed7-line-inside-a-block-cached
      1,026,917  16%                           - seed7-line-inside-a-block
        609,661   9%                            - seed7--safe-enclosing-block-bounds
        609,661   9%                             - seed7--block-end-pos-for
        601,469   9%                              - seed7-to-block-forward
        244,407   3%                               - seed7-re-search-forward
        107,744   1%                                - seed7-inside-string-p
         29,008   0%                                 - syntax-ppss
         29,008   0%                                    make-closure
         20,720   0%                                - seed7-inside-comment-p
         12,432   0%                                 - syntax-ppss
         12,432   0%                                    make-closure
        122,416   1%                               - seed7--current-line-nth-word
        114,128   1%                                - thing-at-point
        114,128   1%                                 - bounds-of-thing-at-point
         32,736   0%                                  - #<byte-code-function 644>
         32,736   0%                                   - forward-thing
         32,736   0%                                      format
         32,736   0%                                  - #<byte-code-function C7F>
         32,736   0%                                   - forward-thing
         32,736   0%                                      format
         24,864   0%                                    make-closure
         16,576   0%                                  - seq-some
         16,576   0%                                     make-closure
          3,072   0%                                    re-search-forward
        107,752   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         12,432   0%                                - seed7-inside-comment-p
