      6,767,096  99% - ...
      6,767,096  99%  - #<primitive-function call-interactively>
      6,767,096  99%   - funcall-interactively
      6,767,096  99%    - smex
      6,767,096  99%     - smex-read-and-run
      6,767,096  99%      - execute-extended-command
      6,767,096  99%       - command-execute
      6,767,096  99%        - call-interactively
      6,767,096  99%         - apply
      6,767,096  99%          - call-interactively@ido-cr+-record-current-command
      6,767,096  99%           - #<primitive-function call-interactively>
      6,767,096  99%            - funcall-interactively
      6,767,096  99%             - pel-profile-all
      6,767,096  99%              - pel-profile-dir
      6,767,096  99%               - pel-profile-indent
      6,767,096  99%                - pel-profile-indentation-test-of
      5,199,052  76%                 - call-interactively
      5,199,052  76%                  - apply
      5,199,052  76%                   - call-interactively@ido-cr+-record-current-command
      5,199,052  76%                    - #<primitive-function call-interactively>
      5,199,052  76%                     - funcall-interactively
      5,199,036  76%                      - seed7-complete-statement-or-indent
      5,199,036  76%                       - seed7-indent-region
      5,199,036  76%                        - seed7--indent-one-line
      5,190,748  76%                         - seed7-calc-indent
      1,315,599  19%                          - seed7-line-inside-a-block-cached
      1,315,599  19%                           - seed7-line-inside-a-block
        763,607  11%                            - seed7--safe-enclosing-block-bounds
        763,607  11%                             - seed7--block-end-pos-for
        750,103  11%                              - seed7-to-block-forward
        276,344   4%                               - seed7-re-search-forward
         95,312   1%                                - seed7-inside-string-p
         12,432   0%                                 - syntax-ppss
         12,432   0%                                    make-closure
         24,864   0%                                - seed7-inside-comment-p
         12,432   0%                                 - syntax-ppss
         12,432   0%                                    make-closure
        181,456   2%                               - seed7--current-line-nth-word
        173,168   2%                                - thing-at-point
        156,800   2%                                 - bounds-of-thing-at-point
         74,592   1%                                    make-closure
         24,552   0%                                  - #<byte-code-function 0B8>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
         24,552   0%                                  - #<byte-code-function 806>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
          4,144   0%                                  - seq-some
          4,144   0%                                     make-closure
          4,096   0%                                    re-search-forward
        163,935   2%                               - seed7-end-of-defun
        123,327   1%                                - seed7-top-block-name
        112,992   1%                                 - seed7--to-top
        100,064   1%                                  - seed7-re-search-backward
         83,536   1%                                   - run-with-timer
         83,536   1%                                    - run-at-time
         35,744   0%                                     - timer-activate
         35,744   0%                                      - timer--activate
         35,744   0%                                         timer--time-less-p
         26,752   0%                                       timer-relative-time
         16,896   0%                                     - timer-set-time
         16,896   0%                                        timer--time-setter
          4,144   0%                                       timer-create
          8,288   0%                                   - seed7-inside-string-p
          8,288   0%                                    - syntax-ppss
          8,288   0%                                       make-closure
          4,144   0%                                     make-closure
          4,096   0%                                     re-search-backward
         12,928   0%                                  - run-with-timer
         12,928   0%                                   - run-at-time
          4,992   0%                                    - timer-activate
          4,992   0%                                     - timer--activate
          4,992   0%                                        timer--time-less-p
          4,864   0%                                      timer-relative-time
          3,072   0%                                    - timer-set-time
          3,072   0%                                       timer--time-setter
         10,335   0%                                 - seed7--block-name
         10,335   0%                                  - seed7-re-search-forward
          4,144   0%                                     seed7-inside-string-p
         25,360   0%                                - seed7-re-search-backward
         12,928   0%                                 - run-with-timer
         12,928   0%                                  - run-at-time
          4,992   0%                                   - timer-activate
          4,992   0%                                    - timer--activate
          4,992   0%                                       timer--time-less-p
          4,864   0%                                     timer-relative-time
          3,072   0%                                   - timer-set-time
          3,072   0%                                      timer--time-setter
          8,288   0%                                   make-closure
          4,144   0%                                   seed7-inside-string-p
          8,192   0%                                  seed7-re-search-forward
         95,424   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          4,144   0%                                  seed7-inside-comment-p
         16,368   0%                                 seed7--end-regexp-for
          8,288   0%                               - seed7-inside-line-indent-before-comment-p
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
          4,144   0%                               - seed7-inside-comment-p
          4,144   0%                                - syntax-ppss
          4,144   0%                                   make-closure
          5,312   0%                              - seed7--line-ends-a-statement-p
          3,264   0%                                 looking-at
          2,048   0%                               - forward-sexp
          2,048   0%                                  seed7--forward-sexp-function
        291,224   4%                            - seed7-re-search-backward
        166,760   2%                             - run-with-timer
        166,760   2%                              - run-at-time
         72,024   1%                               - timer-activate
         72,024   1%                                - timer--activate
         72,024   1%                                   timer--time-less-p
         58,064   0%                                 timer-relative-time
         36,672   0%                               - timer-set-time
         36,672   0%                                  timer--time-setter
         99,600   1%                               re-search-backward
         16,576   0%                             - seed7-inside-comment-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
          8,288   0%                               seed7-inside-string-p
        150,112   2%                              replace-regexp-in-string
         78,888   1%                            - seed7-calc-indent
         28,936   0%                             - seed7-line-is-defun-end
         12,176   0%                              - seed7-line-starts-with-any
         12,176   0%                                 seed7-line-starts-with
          9,592   0%                              - seed7-beg-of-defun
          3,664   0%                               - seed7-re-search-backward-closest
          3,664   0%                                - seed7-re-search-backward
          2,048   0%                                   re-search-backward
          1,616   0%                                 - run-with-timer
          1,616   0%                                  - run-at-time
            624   0%                                   - timer-activate
            624   0%                                    - timer--activate
            624   0%                                       timer--time-less-p
            608   0%                                     timer-relative-time
            384   0%                                   - timer-set-time
            384   0%                                      timer--time-setter
          1,832   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            808   0%                                - run-with-timer
            808   0%                                 - run-at-time
            312   0%                                  - timer-activate
            312   0%                                   - timer--activate
            312   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          6,144   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
         10,400   0%                             - seed7-line-inside-a-block-cached
         10,400   0%                              - seed7-line-inside-a-block
          5,120   0%                               - seed7--safe-enclosing-block-bounds
          5,120   0%                                - seed7--block-end-pos-for
          5,120   0%                                 - seed7--line-ends-a-statement-p
          3,072   0%                                    looking-at
          2,048   0%                                  - forward-sexp
          2,048   0%                                     seed7--forward-sexp-function
          4,256   0%                               - seed7-re-search-backward
          3,232   0%                                - run-with-timer
          3,232   0%                                 - run-at-time
          1,248   0%                                  - timer-activate
          1,248   0%                                   - timer--activate
          1,248   0%                                      timer--time-less-p
          1,216   0%                                    timer-relative-time
            768   0%                                  - timer-set-time
            768   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          1,024   0%                                 replace-regexp-in-string
         10,232   0%                               seed7-line-after-short-func-end
          4,472   0%                             - seed7-line-inside-parens-pair-column
          4,472   0%                              - seed7-line-inside-parens-pair
          4,472   0%                               - seed7-re-search-backward
          2,424   0%                                - run-with-timer
          2,424   0%                                 - run-at-time
            936   0%                                  - timer-activate
            936   0%                                   - timer--activate
            936   0%                                      timer--time-less-p
            912   0%                                    timer-relative-time
            576   0%                                  - timer-set-time
            576   0%                                     timer--time-setter
          2,048   0%                                  re-search-backward
          3,856   0%                             - seed7-line-inside-array-definition-block
          3,856   0%                              - seed7-re-search-backward
          2,240   0%                                 re-search-backward
          1,616   0%                               - run-with-timer
          1,616   0%                                - run-at-time
            624   0%                                 - timer-activate
            624   0%                                  - timer--activate
            624   0%                                     timer--time-less-p
            608   0%                                   timer-relative-time
            384   0%                                 - timer-set-time
            384   0%                                    timer--time-setter
          3,856   0%                             - seed7-line-inside-set-definition-block
          3,856   0%                              - seed7-re-search-backward
          2,240   0%                                 re-search-backward
          1,616   0%                               - run-with-timer
          1,616   0%                                - run-at-time
            624   0%                                 - timer-activate
            624   0%                                  - timer--activate
            624   0%                                     timer--time-less-p
            608   0%                                   timer-relative-time
            384   0%                                 - timer-set-time
            384   0%                                    timer--time-setter
          3,664   0%                             - seed7-line-inside-assign-statement-continuation
          3,664   0%                              - seed7-assign-op-pos
          3,664   0%                               - seed7-re-search-backward
          2,048   0%                                  re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          2,640   0%                             - seed7-line-at-endof-array-definition-block
          2,640   0%                              - seed7-line-code-ends-with
          2,640   0%                               - seed7-re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,048   0%                             - seed7-line-isa-string
          2,048   0%                                seed7-line-starts-with
          2,048   0%                               seed7-line-starts-with
          2,048   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          2,048   0%                                seed7-line-starts-with
          1,616   0%                             - seed7-line-at-endof-set-definition-block
          1,616   0%                              - seed7-line-code-ends-with
          1,616   0%                               - seed7-re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                             - seed7--current-line-nth-word
          1,024   0%                              - thing-at-point
          1,024   0%                               - bounds-of-thing-at-point
          1,024   0%                                  re-search-forward
          1,024   0%                               seed7-line-after-func-return-logic-operator-column
          1,024   0%                               seed7-line-indent-step
          4,144   0%                              seed7--on-lineof
          3,072   0%                              seed7--indent-offset-for
        806,089  11%                          - seed7-line-is-defun-end
        305,397   4%                           - seed7-line-starts-with-any
        305,397   4%                              seed7-line-starts-with
        219,584   3%                             looking-back
        104,140   1%                           - seed7-beg-of-defun
         39,544   0%                            - seed7-re-search-backward-closest
         39,544   0%                             - seed7-re-search-backward
         26,616   0%                                re-search-backward
         12,928   0%                              - run-with-timer
         12,928   0%                               - run-at-time
          4,992   0%                                - timer-activate
          4,992   0%                                 - timer--activate
          4,992   0%                                    timer--time-less-p
          4,864   0%                                  timer-relative-time
          3,072   0%                                - timer-set-time
          3,072   0%                                   timer--time-setter
         36,932   0%                            - seed7-re-search-backward
         16,160   0%                             - run-with-timer
         16,160   0%                              - run-at-time
          6,240   0%                               - timer-activate
          6,240   0%                                - timer--activate
          6,240   0%                                   timer--time-less-p
          6,080   0%                                 timer-relative-time
          3,840   0%                               - timer-set-time
          3,840   0%                                  timer--time-setter
         12,484   0%                               re-search-backward
          4,144   0%                               make-closure
          4,144   0%                               seed7-inside-string-p
         92,352   1%                           - seed7-move-to-line
         92,352   1%                            - seed7-to-previous-non-empty-line
         12,432   0%                             - seed7-inside-comment-p
         12,432   0%                              - syntax-ppss
         12,432   0%                                 make-closure
         49,728   0%                           - seed7--current-line-nth-word
         45,584   0%                            - thing-at-point
         45,584   0%                             - bounds-of-thing-at-point
         37,296   0%                                make-closure
          4,144   0%                              - seq-some
          4,144   0%                                 make-closure
         34,888   0%                           - seed7--safe-current-line-defun-start-indent
         34,888   0%                            - seed7-to-block-backward
         20,512   0%                             - seed7--current-line-nth-word
         20,512   0%                              - thing-at-point
         20,512   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function 802>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          8,184   0%                                - #<byte-code-function 636>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          4,144   0%                                  make-closure
         10,232   0%                             - seed7-re-search-backward
          4,144   0%                                seed7-inside-comment-p
          4,040   0%                              - run-with-timer
          4,040   0%                               - run-at-time
          1,560   0%                                - timer-activate
          1,560   0%                                 - timer--activate
          1,560   0%                                    timer--time-less-p
          1,520   0%                                  timer-relative-time
            960   0%                                - timer-set-time
            960   0%                                   timer--time-setter
          2,048   0%                                re-search-backward
          4,144   0%                               seed7-inside-line-indent-before-comment-p
        505,660   7%                          - seed7--current-line-nth-word
        505,660   7%                           - thing-at-point
        505,660   7%                            - bounds-of-thing-at-point
        473,684   6%                             - #<byte-code-function B4F>
        473,684   6%                              - forward-thing
        465,500   6%                               - forward-word
        465,500   6%                                - internal--syntax-propertize
        465,500   6%                                 - syntax-propertize
        457,212   6%                                    seed7-mode-syntax-propertize
          8,184   0%                                 format
          8,288   0%                             - seq-some
          8,288   0%                                make-closure
          8,184   0%                             - #<byte-code-function 094>
          8,184   0%                              - forward-thing
          8,184   0%                                 format
          4,144   0%                               make-closure
          3,072   0%                               re-search-forward
        423,800   6%                          - seed7-line-inside-parens-pair-column
        423,800   6%                           - seed7-line-inside-parens-pair
        331,648   4%                            - seed7-re-search-backward
        222,720   3%                             - run-with-timer
        222,720   3%                              - run-at-time
         78,000   1%                               - timer-activate
         78,000   1%                                - timer--activate
         78,000   1%                                   timer--time-less-p
         76,000   1%                                 timer-relative-time
         48,000   0%                               - timer-set-time
         48,000   0%                                  timer--time-setter
         20,720   0%                                 timer-create
         75,776   1%                               re-search-backward
         16,576   0%                               seed7-inside-string-p
         12,432   0%                             - seed7-inside-comment-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
          4,144   0%                               make-closure
         92,152   1%                            - forward-sexp
         92,152   1%                               seed7--forward-sexp-function
        399,274   5%                          - seed7-comment-column
        206,806   3%                           - seed7-line-code-ends-with
        204,166   3%                            - seed7-move-to-line
        204,166   3%                             - seed7-to-previous-non-empty-line
        203,142   3%                              - seed7-inside-comment-p
        203,142   3%                               - syntax-ppss
        203,142   3%                                  syntax-table
          2,640   0%                            - seed7-re-search-backward
          1,616   0%                             - run-with-timer
          1,616   0%                              - run-at-time
            624   0%                               - timer-activate
            624   0%                                - timer--activate
            624   0%                                   timer--time-less-p
            608   0%                                 timer-relative-time
            384   0%                               - timer-set-time
            384   0%                                  timer--time-setter
          1,024   0%                               re-search-backward
        184,148   2%                           - seed7-calc-indent
         41,204   0%                            - seed7-line-is-defun-end
         22,183   0%                             - seed7-beg-of-defun
         12,623   0%                              - seed7-re-search-backward
         11,815   0%                                 re-search-backward
            808   0%                               - run-with-timer
            808   0%                                - run-at-time
            312   0%                                 - timer-activate
            312   0%                                  - timer--activate
            312   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          4,744   0%                              - seed7-re-search-backward-closest
          4,744   0%                               - seed7-re-search-backward
          3,128   0%                                  re-search-backward
          1,616   0%                                - run-with-timer
          1,616   0%                                 - run-at-time
            624   0%                                  - timer-activate
            624   0%                                   - timer--activate
            624   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
         12,877   0%                             - seed7-line-starts-with-any
         12,877   0%                                seed7-line-starts-with
          6,144   0%                               looking-back
         30,488   0%                            - seed7-line-inside-a-block-cached
         30,488   0%                             - seed7-line-inside-a-block
         24,344   0%                              - seed7-re-search-backward
         21,816   0%                               - run-with-timer
         21,816   0%                                - run-at-time
          8,424   0%                                 - timer-activate
          8,424   0%                                  - timer--activate
          8,424   0%                                     timer--time-less-p
          8,208   0%                                   timer-relative-time
          5,184   0%                                 - timer-set-time
          5,184   0%                                    timer--time-setter
          2,528   0%                                 re-search-backward
          5,120   0%                              - seed7--safe-enclosing-block-bounds
          5,120   0%                               - seed7--block-end-pos-for
          5,120   0%                                - seed7--line-ends-a-statement-p
          3,072   0%                                   looking-at
          2,048   0%                                 - forward-sexp
          2,048   0%                                    seed7--forward-sexp-function
          1,024   0%                                replace-regexp-in-string
         24,672   0%                            - seed7-line-inside-parens-pair-column
         24,672   0%                             - seed7-line-inside-parens-pair
         24,672   0%                              - seed7-re-search-backward
         22,624   0%                               - run-with-timer
         22,624   0%                                - run-at-time
          8,736   0%                                 - timer-activate
          8,736   0%                                  - timer--activate
          8,736   0%                                     timer--time-less-p
          8,512   0%                                   timer-relative-time
          5,376   0%                                 - timer-set-time
          5,376   0%                                    timer--time-setter
          2,048   0%                                 re-search-backward
         24,056   0%                            - seed7-line-inside-array-definition-block
         24,056   0%                             - seed7-re-search-backward
         21,816   0%                              - run-with-timer
         21,816   0%                               - run-at-time
          8,424   0%                                - timer-activate
          8,424   0%                                 - timer--activate
          8,424   0%                                    timer--time-less-p
          8,208   0%                                  timer-relative-time
          5,184   0%                                - timer-set-time
          5,184   0%                                   timer--time-setter
          2,240   0%                                re-search-backward
         24,056   0%                            - seed7-line-inside-set-definition-block
