          54  56% - ...
          54  56%  - pel-profile-dir
          54  56%   - pel-profile-indent
          54  56%    - pel-profile-indentation-test-of
          54  56%     - call-interactively
          54  56%      - apply
          54  56%       - call-interactively@ido-cr+-record-current-command
          54  56%        - #<primitive-function call-interactively>
          54  56%         - funcall-interactively
          47  49%          - pel-profile-all
          47  49%           - pel-profile-dir
          47  49%            - pel-profile-indent
          47  49%             - pel-profile-indentation-test-of
          47  49%              - call-interactively
          47  49%               - apply
          47  49%                - call-interactively@ido-cr+-record-current-command
          47  49%                 - #<primitive-function call-interactively>
          47  49%                  - funcall-interactively
          47  49%                   - seed7-complete-statement-or-indent
          47  49%                    - seed7-indent-region
          46  48%                     - seed7--indent-one-line
          46  48%                      - seed7-calc-indent
          21  22%                       - seed7-comment-column
          19  20%                        - seed7-calc-indent
           4   4%                         - seed7-line-starts-with-open-paren-after-logic-operator
           4   4%                          - seed7-move-to-line
           4   4%                           - seed7-to-previous-non-empty-line
           4   4%                            - seed7-inside-comment-p
           4   4%                             - syntax-ppss
           4   4%                                parse-partial-sexp
           4   4%                         - seed7-line-after-short-func-end
           4   4%                          - seed7-move-to-line
           4   4%                           - seed7-to-previous-non-empty-line
           4   4%                            - seed7-inside-comment-p
           4   4%                             - syntax-ppss
           4   4%                                parse-partial-sexp
           3   3%                         - seed7-line-inside-parens-pair-column
           3   3%                          - seed7-line-inside-parens-pair
           3   3%                           - seed7-re-search-backward
           3   3%                            - seed7-inside-comment-p
           3   3%                             - syntax-ppss
           2   2%                                parse-partial-sexp
           1   1%                                syntax-ppss--update-stats
           3   3%                         - seed7-line-at-endof-array-definition-block
           3   3%                          - seed7-move-to-line
           3   3%                           - seed7-to-previous-non-empty-line
           3   3%                            - seed7-inside-comment-p
           3   3%                             - syntax-ppss
           3   3%                                parse-partial-sexp
           3   3%                         - seed7-line-after-func-return-logic-operator-column
           3   3%                          - seed7-move-to-line
           3   3%                           - seed7-to-previous-non-empty-line
           3   3%                            - seed7-inside-comment-p
           3   3%                             - syntax-ppss
           3   3%                                parse-partial-sexp
           1   1%                         - seed7-line-is-defun-end
           1   1%                          - seed7-move-to-line
           1   1%                           - seed7-to-previous-non-empty-line
           1   1%                            - seed7-inside-comment-p
           1   1%                             - syntax-ppss
           1   1%                                parse-partial-sexp
           1   1%                         - seed7--indent-search-boundary
           1   1%                          - seed7--indent-search-boundary-uncached
           1   1%                           - syntax-ppss
           1   1%                              parse-partial-sexp
           1   1%                        - seed7-inside-comment-p
           1   1%                         - syntax-ppss
           1   1%                            parse-partial-sexp
           1   1%                        - seed7-line-code-ends-with
           1   1%                         - seed7-move-to-line
           1   1%                          - seed7-to-previous-non-empty-line
           1   1%                           - seed7-inside-comment-p
           1   1%                            - syntax-ppss
           1   1%                               parse-partial-sexp
          17  17%                       - seed7-line-is-defun-end
           9   9%                        - seed7-end-of-defun
           6   6%                         - seed7-top-block-name
           6   6%                          - seed7--to-top
           6   6%                           - seed7-re-search-backward
           4   4%                            - seed7-inside-comment-p
           4   4%                             - syntax-ppss
           4   4%                                parse-partial-sexp
           1   1%                            - run-with-timer
           1   1%                             - run-at-time
           1   1%                                timer-relative-time
           1   1%                              re-search-backward
           2   2%                         - seed7-re-search-forward
           1   1%                          - seed7-inside-comment-p
           1   1%                           - syntax-ppss
           1   1%                              parse-partial-sexp
           1   1%                         - seed7-re-search-backward
           1   1%                          - seed7-inside-comment-p
           1   1%                           - syntax-ppss
           1   1%                              parse-partial-sexp
           4   4%                        - seed7-beg-of-defun
           3   3%                         - seed7-re-search-backward
           2   2%                          - seed7-inside-comment-p
           2   2%                           - syntax-ppss
           2   2%                              parse-partial-sexp
           1   1%                            re-search-backward
           1   1%                         - seed7-top-block-name
           1   1%                          - seed7--block-name
           1   1%                           - seed7-re-search-forward
           1   1%                            - seed7-inside-comment-p
           1   1%                             - syntax-ppss
