         103  75% - ...
         103  75%  - call-interactively
         103  75%   - apply
         103  75%    - call-interactively@ido-cr+-record-current-command
         103  75%     - #<primitive-function call-interactively>
         103  75%      - funcall-interactively
         101  73%       - pel-profile-all
         101  73%        - pel-profile-dir
         101  73%         - pel-profile-indent
         101  73%          - pel-profile-indentation-test-of
         101  73%           - call-interactively
         101  73%            - apply
         101  73%             - call-interactively@ido-cr+-record-current-command
         101  73%              - #<primitive-function call-interactively>
         101  73%               - funcall-interactively
         101  73%                - seed7-complete-statement-or-indent
         101  73%                 - seed7-indent-region
         101  73%                  - seed7--indent-one-line
         101  73%                   - seed7-calc-indent
          34  24%                    - seed7--indent-search-boundary
          34  24%                     - seed7--indent-search-boundary-uncached
          33  24%                      - syntax-ppss
          32  23%                         parse-partial-sexp
           1   0%                         syntax-ppss-toplevel-pos
          22  16%                    - seed7-line-inside-a-block-cached
          22  16%                     - seed7-line-inside-a-block
          16  11%                      - seed7--safe-enclosing-block-bounds
          16  11%                       - seed7--block-end-pos-for
          15  10%                        - seed7-to-block-forward
          13   9%                         - seed7-end-of-defun
          11   8%                          - seed7-top-block-name
          10   7%                           - seed7--to-top
           8   5%                            - seed7-re-search-backward
           7   5%                             - seed7-inside-comment-p
           7   5%                              - syntax-ppss
           7   5%                                 parse-partial-sexp
           1   0%                             - run-with-timer
           1   0%                              - run-at-time
           1   0%                                 timer-relative-time
           1   0%                            - run-with-timer
           1   0%                             - run-at-time
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           1   0%                           - seed7--block-name
           1   0%                            - seed7-re-search-forward
           1   0%                             - seed7-inside-string-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           2   1%                            seed7-re-search-forward
           1   0%                         - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                           seed7-re-search-forward
           3   2%                      - seed7-calc-indent
           1   0%                       - seed7--indent-search-boundary
           1   0%                        - seed7--indent-search-boundary-uncached
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                       - seed7-line-after-short-func-end
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                       - seed7-line-inside-parens-pair-column
           1   0%                        - seed7-line-inside-parens-pair
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           3   2%                      - seed7-re-search-backward
